revision no., SLOC, developers, age
599dc60f6dc97d3ef8efdd294ca2e89fbf498f54, 93084, 1, 1
e67802264a1274167494d770ff66c110d1cd5998, 104364, 10, 1
1f668df5141dfcea9bb9e96844734d38c8d7fd54, 104433, 16, 2
cee677699fb14a4fada8aa510291af6c01c093db, 106932, 21, 2
b843c8a0ea40b0089e522f11b40eee9cb0801232, 107388, 24, 2
4b6bc29bf27c49f3545eac13d922d1ef03c655a7, 117182, 29, 2
d204f77251fb7559ea8ee1186a4796c26706c56b, 121516, 34, 3
d4755e8c5c4f2cdec48a95d26000ede1572f3e48, 125151, 35, 3
30ef2326b90a2048c3889fb73e581fe854f8296f, 125830, 36, 3
7b3768138c3c38add07327623210ed23ff3c7518, 127028, 36, 3
4db0cbc74151e78bb59a02b094fee7677705aa30, 132157, 39, 4
99a8747e8246f8eabc8c60a850f2e2651995f8a1, 133158, 39, 4
8e3796f8d62d8af68ad9c963351fb09bf3211328, 163293, 43, 4
bab1b90edc55251ceb5e3033d588347b48cceca4, 168762, 47, 4
63bc0b3847366bc21adc7bfcf5f03e223cf4d8f8, 183673, 52, 5
2c3f80477d9cb29fc20e92aa60c53f1b170d1ee9, 187829, 52, 5
dfa01a56ba325e03bac00a44612ba0c80e1f945c, 191463, 55, 5
a8cb4a7860490e1a05b5f03d02b04ca73a7be79e, 189039, 60, 5
6057fc71862c6fe6215993bedbc309bd6c5527f2, 189848, 61, 6
676043c31461c5a978de209a23b0f4e37d201403, 191317, 64, 6
6833fa41489d46b5da1c337e1f59e436cc4ea97b, 192258, 65, 6
8208d5d0beb20871ef93b89b959567871b5187b6, 194594, 67, 6
c10ba357ca68ff264b69ba6fa5a9b322fb31c66a, 198001, 69, 7
c7dbc6548811f37bfeda4013ab70e342d50707b7, 203964, 72, 7
3c99a0f73539e5a3c8ceeb02e6c5a21ed4985f71, 236581, 73, 7
ea42e70cb98713571704b2a48fd88cffc7bcbfb8, 240022, 77, 7
67e4d7dc63a6654b848d9966991ca2b507b78aa7, 284068, 80, 8
0fabb2039b3e85ae7b7b712e5dc1b7ba22929440, 218304, 84, 8
bf3374426abe1382718120830572cd5775c4bf82, 251321, 88, 8
3fa927a42e893709ac78f7d9419c22979b05bf3f, 263525, 89, 8
ea0e0b3f15852a062a0b6578f729d768e848f7d1, 267456, 93, 9
bd4d743db9dadbc92ecd8d2a278a86f3ecab2448, 267287, 98, 9
4ab6881617789f6db0e1c2f53db92c3c7513fb19, 271032, 100, 9
2840e7b7645130f79cb92c5b899228c5ab826bd5, 271623, 102, 9
14e94d742e985488490cbbb74e6e1dc9923bc4c2, 285876, 104, 10
b4b26b735c0bc87fb8ca975c330e7f6604b17de7, 288054, 111, 10
b05a3f7e42359e2a067d40f1edf10b6431390012, 306180, 119, 10
b8a67c236227bc74ca8ab8b492638f9cc85b3c88, 419917, 121, 10
4c36a26af5d1093badc88401bfebf8454fdf0f34, 442589, 127, 11
8b865c01cd659006a721f4db3d6796d618c35d3c, 420145, 134, 11
168ffbfb67302c7ee2d2d17941c0b3f8324d00e5, 419174, 135, 11
d0981c279b9705e076045c7af7faf6e90937cd96, 426948, 139, 11
4e0e9eb994da96c19262ec2f2a2c33ed9b53852d, 436548, 140, 12
b3ceab896aa6369cf4cd6c62ae3b0e2180ff8ae6, 501205, 142, 12
aaba317c763657d7c309a1c3e96b58f5924afd29, 497518, 143, 12
0b228270338234cc46985b13aea839d48d483dba, 505214, 171, 12
42fca2f145b81d8b359164f17341bfc111360f22, 510771, 176, 13
1e513658de9733299de052b95d45f16388254019, 535655, 189, 13
6097de2db982c7af424b2d3db7e897e86db1b9e3, 572449, 202, 13
1727a165dd165d2ce392e7a31691db19fb093a5f, 573628, 202, 13
c59ca9e477d23884997046d61d9ea20c78ee06bb, 576982, 209, 14
a5a648c7c66689f9a7fe026d673d7f26c82a0311, 589343, 216, 14
