revision no., SLOC, developers, age
c14d891d44f0afff64e56ed7c9702df1d807b1ee, 0, 1, 1
266eb6ff422cf97eef1e56e78d0a9e73e9aef34a, 537167, 85, 1
3ce1ae3e0b9429490445293b8df0a38a6c473b81, 464375, 121, 1
f1f6691d0be42cf1d14cfb9c2b7a3638c1380078, 515950, 168, 2
e0411ae51dad04edaab9365590ce47161606af0e, 641509, 224, 2
df28fc8f2d514e86cf39adb62053ab73134f2034, 803626, 266, 2
863cfe9a7aa89c905a3e7a6945413c7e985433f2, 855464, 321, 2
2d253b7c83f8135c4962884258d2a58582b50c4d, 986055, 385, 3
ffa922142b76c1fe44fcdece8b66085af74235f9, 1099965, 438, 3
6e349c90bc127c826cce15052ddb81b017ea0b96, 1242575, 499, 3
1a2a571b157327f75acd56bd594ef0863481dc32, 1420689, 545, 3
05100ec8f5b7926f990c6f61b04331fb4be4e99c, 1376789, 620, 4
84ea2d04c0f80098e6361f5eb783c6e6ec8ce2f1, 1544229, 755, 4
719f9c66f051914fe3d41e7815afd541e7ed6a7f, 1725472, 871, 4
a1b75b94f61d90054e3b432e8be3c897383450bd, 1894773, 957, 4
d9720f50db7dbe830e4b9acd302e7f799a2a85f1, 2085948, 1058, 5
c0321e429d3de7aa357b60f0805df7da315aef68, 2275231, 1157, 5
58aed8bd582f18d6d06bdb240d80db98f1c7bdcc, 2523973, 1277, 5
c9523469b7432f5c7ac2275f816b70d080ff88ab, 2731327, 1376, 5
303415d111a6d90829f4633cee4b2c6b38eed2d5, 2959747, 1488, 6
c5029bdfa9b4f585cc8a2a4856be8ff96a2ddb08, 3213989, 1637, 6
acfc3437eee90f82deff5f8394a5a68cbe0d6023, 3421351, 1776, 6
1a2b89a14c460d8bbbdc5274cb40c8db536b14d0, 3687784, 1885, 6
f72f54673e1dfff61630762b1824031217084272, 3889000, 2033, 7
8e8844df2ffa0c3aca118469b6477648e63f83c2, 0, 2211, 7
781c55e7805abe5882179d894ac1dea7575f0530, 4360723, 3025, 7
9b93a46f137e987a6be734decc9daeb28d09c655, 4537328, 3319, 7
6119a59cd027dc95156d29c3d922d673e55ad1f5, 4685894, 3512, 8
e8afa1a7cf31e35d4ba5e0ebb089dd43e70f4c3b, 4837704, 3629, 8
