revision no., SLOC, developers, age
14bed17efc5bab7cd19a79c3892cfbf7fcdeffd8, 293152, 1, 1
495f1f62cd3c0d3938b1abddc7e5e9e582969702, 296707, 1, 2
a4c95820883257145e8ba20754a67145e27f81b9, 295005, 5, 2
d1d5e9da1c7c2e53d2de56192f5752c4e96556c5, 363829, 8, 2
34dad96ccf75a7640c122c987bb27350449d1994, 364695, 10, 3
67b5109698b6bb8d0f4ade8a8a6b03946b673845, 368788, 15, 3
6dbde0745963402f956e44e156aff8f7dcad1290, 369409, 17, 3
755986dfda3c53b233b5206511738af3e45dbb5f, 365777, 18, 3
8d7680fce206fbeb0b00f47d33aa68d07cbcfa9e, 392602, 19, 4
8363f642a582f03afdef5adea0991dc9a2d108c9, 428801, 23, 4
33baf82229c91206f8a69dd735d9661493814730, 478820, 25, 4
5c99409014dc5c036bedc83925fa80c70798a136, 477557, 27, 4
4af0283e17036049e835c1c2837c0b43c0ac13b6, 499367, 29, 5
bdb50b59f28603add99c2f0862513a4b6ea64b78, 502792, 32, 5
1673d85fb625be0477b9bbcde06b7cdd19bf4e9b, 459768, 39, 5
6c9632a39f21a6168ca2444647d2cd84cb6c1943, 460243, 41, 5
bb071ffa0a6a0d7210d96a0218daffd5f3ecf158, 460631, 42, 6
e7377f4feffee04f87944ef6e10d1f14714f9658, 452047, 42, 6
511115cf9439ad85e19f12b9d2461a06a57802e1, 401577, 43, 6
4f3144248acfaf131b9c5c9fc1c2f5adde52a55a, 391573, 43, 6
fceb312cdfd85deb30db85ef91d1f9f657205e11, 397784, 43, 7
0b99f2cadeaa675a717c91bf27ebd2fdf536b151, 312815, 45, 7
ab18de24e94b01f19f2da69e2e67d560fced400b, 314105, 64, 7
3e4a85f88d90640debc33716f9de2c79b033f931, 315626, 75, 7
7b8ab126c9b15cbef6dcf4ac1bed03e5a16e633e, 317413, 86, 8
b7475d72c54f2c98c59cb3263a220db7faf4e464, 284230, 90, 8
607c1f53de95e572ff63b4e293b31650d92892df, 279586, 96, 8
28edaf42c282b1c25b2c10ebcb7f08d730c4910b, 280618, 100, 8
c66f112f046fef01cbf58fbde2c2af87452589ff, 283674, 103, 9
930fa7dd3c4519d426e35bd3376308a99fac88a5, 266870, 105, 9
f5557bcea38f03539b28752c486b1c518a8302a8, 267538, 106, 9
bd48661f1b243fd9bc6622d287040ec0b784a60a, 268054, 106, 9
6fcba1bead7608fb480ab943ab9689bc66f4e009, 268086, 106, 10
