revision no., SLOC, developers, age
7eec25e393727b16bb916b50d82b0aa3084e065c, 0, 0, 1
e049613391aa1df68c9969b4424296a8e2c41bdc, 70005, 0, 1
72a1acce92ca9261ee33209f253402a04cbb2c14, 75468, 0, 1
f661935c24571a9f4feef19a187d75bfcd8532b8, 100977, 0, 2
a973b85527ddd2507787f24387a0e493ab622ace, 97932, 0, 2
b5622e11dd4122959ec3deeac12686ff573a4f77, 99394, 0, 2
410847fac6c1413d744895055168358cbd963474, 100708, 0, 2
f60c2e242b32c6ebff289f9088a0029f8b72a5e1, 105028, 0, 3
07bd261c1bc30fe145ee743c06f33c0f795f5e94, 109224, 0, 3
bed08a376d0e2dd3b9fa9f31cbce99d15126c65f, 111529, 0, 3
c7a02249f5eee028b4183b23eda05862a95eec61, 128011, 0, 3
b9889bd22565c3316d86843d5172e454435f64d0, 131221, 0, 4
9c89341fd6538b709af134f20156f6aa8d3e81d0, 115168, 0, 4
7aae6ba45d70c8886f8c8274199d82b4e5a4b7d3, 115623, 0, 4
39559d4817d27fbeaf85196d2129bed8b9a00f2d, 140362, 0, 4
f38e0a935dfe43df70e4f9f733dfac979ad633e1, 139959, 0, 5
4ba6a73d548f884420198a988c51e03edd3880bc, 442963, 0, 5
77582df921f3a084931fe39464612ded2c6a3df3, 450246, 0, 5
a5ccba28eab166f206c2b322b5287680c3318e01, 476798, 0, 5
1476213e52cdf26cf0db4e3d5b07a87f5bfb6605, 464188, 0, 6
ba2a0328d145f0527a6b7867a8379074e7b17ef7, 501879, 0, 6
b2f52819290c172ef2a0ace692b0da9c3c500617, 507321, 0, 6
ec753efd43b5a41fee179a430662431e93dd0a58, 465975, 0, 6
d1bfeb75203ee5c011134ce2bfd970fd6d316cd4, 515028, 0, 7
34d5c36c2b458c837776d970a437d92300bba6ee, 519454, 0, 7
8096f1c4b2b6eefa7b347e3655b5a64afb841ad0, 539469, 0, 7
b4c0867df1097a6e3f6fd1e35435b658636dffda, 549784, 0, 7
fc6a077cc728d035cc86d08d4a0dfe719fc69abd, 559192, 0, 8
f93f44e739ebd4fce3b7220c7500fa2c9debd1a5, 566446, 0, 8
290aaf7c4e74e064cdbdcbf11e0b4d7ad64b376e, 572304, 0, 8
bc44bd6a529306e9547c3964e3369e4c09cb72d9, 582979, 0, 8
6a835464e4a96e7dfee4057367375072de720c61, 582897, 0, 9
09d543ea3ab581fa4d8c9ea05977a309ee92f9c6, 583768, 28, 9
749f8b3ec1fe144a5f510ecb2e9ab9b198185755, 584280, 47, 9
33cbf93cedf153f502f8bd2980c71d2cc0025eda, 586168, 65, 9
d8378289abb4cec79b11ae132c2cee16dea969a0, 606868, 85, 10
b8aafe1486ca84d601125a8f58c5916f3b00f468, 608073, 97, 10
f77600e0f6a3498f32e36860daf5e6f4032b6787, 635756, 107, 10
0ac7c98a1728180abc4cea9c3a97258f017dd601, 621928, 138, 10
fa75be4552e33648897d2c91ffb58e26e2f2a8a2, 722167, 149, 11
97d7738cfd08af3eccf4d1d8384dedfe3637586b, 639120, 169, 11
c9a77f84f11f7c8f3246e789ea4ee5a0bea68f70, 738064, 188, 11
d4278599f8bb4bc1d4787907d2b194a64394b71b, 630639, 204, 11
1a41b818b672d87d73c0804fd54fe32e01b37a00, 626642, 224, 12
f91a3b1c8edb750bc648eafa19248d1c160094c4, 762457, 232, 12
a1e6d1db01d1f2003737fd7e697ab671bcd926cc, 763951, 237, 12
ed44be6c35adc1600e51936ea2bfc9e2564dc683, 772325, 241, 12
cc89c31968f541e96952c987d34b90f80386156c, 759918, 252, 13
9dbcc6e9d76475a0c24df42b16d5db786008b2d4, 635117, 258, 13
dd06ccc67e65e58c4cd4a82eeb39807ac7056372, 774547, 265, 13
9c71f768de969ac8d9f9b5963fb539e6254c84a3, 765790, 279, 13
e687a903816dca4e97156c1f60c9b2f72738e866, 638573, 289, 14
69c311e8f5ed065df973de3304615ac42ec96d57, 768985, 290, 14
a535df3f9a42da0d62e5d13deb51a42e13d0d23f, 769440, 290, 14
