revision no., SLOC, developers, age
7eec25e393727b16bb916b50d82b0aa3084e065c, 0, 0, 1
e049613391aa1df68c9969b4424296a8e2c41bdc, 70005, 0, 1
72a1acce92ca9261ee33209f253402a04cbb2c14, 75468, 0, 1
f661935c24571a9f4feef19a187d75bfcd8532b8, 100977, 0, 2
52f072a0c4f1410dd6045b5a760d0f69ca8c65c9, 97932, 0, 2
b5622e11dd4122959ec3deeac12686ff573a4f77, 100951, 0, 2
410847fac6c1413d744895055168358cbd963474, 100708, 0, 2
f60c2e242b32c6ebff289f9088a0029f8b72a5e1, 105028, 0, 3
07bd261c1bc30fe145ee743c06f33c0f795f5e94, 109224, 0, 3
bed08a376d0e2dd3b9fa9f31cbce99d15126c65f, 111529, 0, 3
c7a02249f5eee028b4183b23eda05862a95eec61, 128011, 0, 3
b9889bd22565c3316d86843d5172e454435f64d0, 131221, 0, 4
9c89341fd6538b709af134f20156f6aa8d3e81d0, 115168, 0, 4
7aae6ba45d70c8886f8c8274199d82b4e5a4b7d3, 115623, 0, 4
39559d4817d27fbeaf85196d2129bed8b9a00f2d, 140362, 0, 4
f38e0a935dfe43df70e4f9f733dfac979ad633e1, 139959, 0, 5
4ba6a73d548f884420198a988c51e03edd3880bc, 442963, 0, 5
77582df921f3a084931fe39464612ded2c6a3df3, 450246, 0, 5
a5ccba28eab166f206c2b322b5287680c3318e01, 476798, 0, 5
1476213e52cdf26cf0db4e3d5b07a87f5bfb6605, 464188, 0, 6
ba2a0328d145f0527a6b7867a8379074e7b17ef7, 501879, 0, 6
b2f52819290c172ef2a0ace692b0da9c3c500617, 507321, 0, 6
ec753efd43b5a41fee179a430662431e93dd0a58, 465975, 0, 6
d1bfeb75203ee5c011134ce2bfd970fd6d316cd4, 515028, 0, 7
34d5c36c2b458c837776d970a437d92300bba6ee, 519454, 0, 7
8096f1c4b2b6eefa7b347e3655b5a64afb841ad0, 539469, 0, 7
b4c0867df1097a6e3f6fd1e35435b658636dffda, 549784, 0, 7
fc6a077cc728d035cc86d08d4a0dfe719fc69abd, 559192, 0, 8
f93f44e739ebd4fce3b7220c7500fa2c9debd1a5, 566446, 0, 8
290aaf7c4e74e064cdbdcbf11e0b4d7ad64b376e, 572304, 0, 8
c7d81def23898338102444c1a34996e922d6c956, 603738, 0, 8
6a835464e4a96e7dfee4057367375072de720c61, 582897, 0, 9
09d543ea3ab581fa4d8c9ea05977a309ee92f9c6, 583768, 31, 9
749f8b3ec1fe144a5f510ecb2e9ab9b198185755, 584280, 58, 9
33cbf93cedf153f502f8bd2980c71d2cc0025eda, 586168, 80, 9
f64596ab77b33f074f9c91ffd4e1a9c85b25dbe8, 606868, 99, 10
d553a7fce5bd3de757f98f9dd3b74a19d823172c, 608073, 111, 10
33be6a3a9ac3d5ba55aa3b5ed8b0857b135ca920, 635756, 120, 10
4949ee3a75ab6c56960e8a86a6ecb1d54d17a24a, 621928, 150, 10
f0856cc114a198a8cb269989db439c9f33a46532, 637301, 163, 11
0d328677636fecd29af032c59309a36c98981381, 639120, 188, 11
9bf292d4079f53a01860ac983e3cae889523f3bf, 761509, 221, 11
a8568e8f8fa2ac279fab2fa7d01e25545bb82446, 770548, 249, 11
f63e460c4c591c176cff07a6a179677420bad2f8, 756612, 270, 12
7511f4012460033bfaa5d335ec6178ef40e16969, 627123, 285, 12
e289313c150d8248721bca73eada9a7b3984835e, 687842, 295, 12
773755c8e745124c36a2ab57892f64fe52e452d7, 810395, 302, 12
dda7ed28c62fd161671bfcdc298aff6da6e1af67, 993951, 321, 13
4f6f4527d188faeea236daf1080d399671004539, 1005642, 334, 13
156a31f18b1a5d179341a8f06bf9befd5d3a8550, 1010938, 345, 13
6712fd39c528d349cda4721aa294550c1485e4f3, 641924, 360, 13
532f6b6f9f97c23f02ed8aa9d9300156514507a3, 1018079, 369, 14
65e66a5f9817a4629d0300afc61f8eba5e5880ca, 644509, 376, 14
c24fd467172fb25cdfdc7ea4eee17e08189c294d, 1031188, 382, 14
9d99eb9fed1b36a73c53cb7e3fe5eb4d9735b26e, 1034321, 384, 14
4638c2707d373d0daaa77da653b66f935766fd74, 1034353, 384, 15
