revision no., SLOC, developers, age
a76b3a6700da9dfe44c0b48ad3f43964cb14af9a, 27440, 1, 1
3e6bd09d4d7f2dfa410f068ba8aa3d7a4da8b9ae, 28422, 1, 1
91b8e5162b1a28f77a5000bf22b5ab6de8174213, 27382, 1, 1
c2e2891b9d1aabf7e35f3857b0752c160948427a, 27557, 1, 1
138f63bbd0d97c334743694e2e0bc1676d213b29, 1313282, 5, 2
215850a8e63c13843d6414b93a9eb47d5953cf55, 1333842, 8, 2
9c010e659f0bb4b26c704c3f40163566f3cd9f38, 1285469, 10, 2
157c910ddc2c7f2cc9d48cced6e6081f743f9565, 1300850, 10, 2
a24d27d9d2e52c61a144910b2462b96ddad971db, 1317121, 15, 3
7843a44e98f0217dc21e86a0086b9d203d4e1f53, 1370254, 18, 3
76ad4b9cd26da79b6cefc7d5012e4855d055ae0e, 1427094, 20, 3
6ba2b4d5cae5ebcb04a201838841ee5f22c34cf7, 1433945, 40, 3
6c865154d39192241d4b13af89e44e65f04dfe70, 1448312, 48, 4
a1c7d0d46bd8c92884af0d8b42b764ba7af67e60, 1459962, 74, 4
937d3bee5fbe6ca84f0031cefe7f709be5389cff, 1462391, 74, 4
2cd539c27fefb26dc99c4c9fb3399b1bd0a4cff6, 1511267, 83, 4
054dc7b83c5bbaf7e177ae41821a3d0acee4f243, 1541248, 94, 5
ef163beeeb79b67b7ac20ff58137e006073daf11, 1616189, 113, 5
7b3631ef3c87e2defd6cca5d30d58fb2c526c693, 1682314, 134, 5
89a45edea0dfacb7f736f32c3aa2ee69d79e800d, 1699965, 134, 5
b8624b856b03b7111d913736b8b26c91473c0be8, 1740558, 140, 6
c74724f2612bc9ec01166ae437711e899a077305, 1759074, 142, 6
19f95ed8750885f307ebdeb91a2538540de55489, 1780344, 148, 6
782d27450314229fe2a624c39a3c8a4470a23afe, 1780507, 149, 6
5b946a38ed456faf13490e74b1a3b3b6fa73c90b, 1798041, 151, 7
e6b40771c2d9acbafdc15b3f7a1dd0ce56f94109, 1805963, 153, 7
