revision no., SLOC, developers, age
faf063f8769c49b480e62307f0584e1d0f3ab9d8, 254237, 1, 1
943778ebcd99cf0b7e6702daef829ff143865c65, 265364, 18, 20
f62ae046c85d61e2669a53545430132b2dabae81, 263263, 20, 20
a2ed62dd398b375f3335b6163425d679c52687e1, 266381, 27, 20
d159e2522a6d710169e0ef78832a14ab846f11d7, 267662, 38, 21
c772580897f98197bdbf2d11d9b9052469cb8642, 282728, 45, 21
a3f62d48551640c02f177935a4dab8ad6560abb8, 201965, 57, 21
a4a56facc59d5c62fc922740c25553903ef0cdb6, 197286, 58, 21
9bbaf0d9066d9892d925cf63c572b9d44a4c6f02, 167169, 60, 22
19b467ae812bb4496dcc0d7c8c40aaa719c1ab86, 194158, 70, 22
9c56e44b3baad61e151f766dadc3e6fa6a65ba2d, 233986, 70, 22
dc8588f5d567db26391fc0173284dcd8cc16d1a9, 232366, 71, 22
6568fabfd1f14db895191178ba83177fee032caf, 268791, 75, 23
d6b893f5013f2576722d2c19a325817a9cdbcae1, 278925, 79, 23
