revision no., SLOC, developers, age
dfb2beeb282233128b77c47a774608b3920765eb, 14820, 1, 1
9337603e85f0cd28d36b9ad3d0fa640ac18632fa, 18543, 2, 1
8db3abcd2eac7c22cab10213c84b5b3861c92b07, 33941, 6, 1
5ca09c5cdbab3c2c841ee4c42abb5fc80b94419c, 32254, 7, 1
9a6e9fa9e2323a24125596b4191bc0415149d2e8, 13348, 8, 1
045755e9a3ef432c58388fb5a288bf5f8f481f59, 13267, 10, 2
010af46277e2d2e7a96588ade3fee18c8f986524, 13325, 11, 2
b7627bd9c8273b91cb5ab52cd4ca64b99037ce6a, 14168, 14, 2
f942dc4700544f377a7802176d3df9f2dc2c02e5, 14205, 14, 2
6180aab09d8707484c3807035d5acc17b2288059, 15460, 16, 3
ae1bbe9894bdb2688ab960c93dea197fdeda0375, 14246, 16, 3
9c2ab4c04b8f5ca86ee329467cc74713127071a3, 41034, 16, 3
84cac24ac75bdf15618075b35b27f00a51fa4ad5, 49053, 17, 3
4e0c1dbafd3137a1da1d2159546389f7fae6525f, 48976, 18, 4
45b8413abfbe6906f74af162c747b573c0387a34, 59892, 19, 4
31c5bf6f47656315966a25970e22762300de6e74, 60510, 23, 4
49b5b568b3294e2a86d33d77e656a6b7a2b4d2fb, 61804, 23, 4
8dcdfe56657aa06fd4f42ce7b69ea8644c5d3467, 67959, 25, 5
9a35c087e3060bcd86e0af5010b8935ca582713a, 68237, 25, 5
60d73d45c34554dea96786b8e13c60dc323469ce, 68280, 27, 5
4bd16068434d33af53a84ebbd67723f6442da8d6, 76721, 31, 5
f1e14173537c0573ca8773dcad39e5ef2c1d80f7, 71717, 34, 6
67e82d568edfa61940443311462ba0627b19e240, 74346, 34, 6
83e21c6cf2e0da961581d51b66bb6bdd8f1fae3b, 74007, 34, 6
9b6e542bfae4907a8b9148ee221a17d9df460926, 206961, 37, 6
777d50cd5938f91a4e0c2a9e7e4ac50ec117b9d0, 190364, 40, 7
60e8a6b4426e7d5e7ec629b3367bf52271d2c8f2, 186920, 42, 7
8662843058dad71a4d2452bc2bcdf48e7814c4d4, 186628, 46, 7
a01eb2d8bc5287dfe81cc7ac36fe3733d4b60929, 188547, 47, 7
ccee9a7e82b0974918397366ebbccba15163d1f9, 189819, 52, 8
caabd96741fb3113dc96127ae32826ada643992a, 189885, 53, 8
858664124de97921a551367656c0ba7cf4aecf3d, 189978, 57, 8
93459f875ca233c6afb77a6eb3096a6f1fd94b5c, 190430, 59, 8
97377e98e16a3575fa0c46bc4699613446cbb175, 178425, 61, 9
a94d37a9eb7f304e7f5792d7d5bd238bb44a0d89, 158620, 61, 9
cdef38de3446a4b84b83485746a6a00acfd995d9, 176607, 61, 9
9954fdaebf91f87169ab15d775836e13af035f48, 176656, 63, 9
ae58541d0b6d7f27c07e6504c743165f64a2051b, 183250, 64, 10
0f201f4a6c132ac98ea9b9e23ea19b71db015415, 176767, 64, 10
639ae6cb6e5e36fc0e6db0112706756993bfc213, 176771, 64, 10
3150ced43998fcd6db8198e8dbdbeff2cbf2ccbe, 176981, 64, 10
f34217bb4911899541b7e95ba61ad3bef8da96b1, 180311, 64, 11
c97d6264021387b08978876c11bc4e1a95ee47b1, 180358, 65, 11
