revision no., SLOC, developers, age
092fb77a98e874eb8e6087eef585e818796fab0d, 0, 1, 1
fe94473b6cf4ab9a5667c7fcab9d0cb2c2b93d17, 4729, 4, 1
58f0ea0a65aa2b02bd513e7940142c6a606e3279, 9249, 6, 1
ad0b2f024b0c4c8c38236d8888e7cd585e995d83, 19460, 15, 2
54826a40993811b4cf1b302518c2abb1c49952cd, 28401, 30, 2
4b1bbf70469ebbdb59f2514f0b929d7ab46d5c49, 42341, 37, 2
72b002ddc462761ade30efa963ac98859743aad8, 50841, 42, 2
7d12fcee9db07ca8900619c12b22e817b5e457f3, 59433, 53, 3
50b13c99a7e3486a200ee245692f25a09fafba45, 82257, 76, 3
56acc86f4f0514450e16c1a80bd0b3b32c63a85d, 112702, 91, 3
e242459ea2d6ec9b6d5e911cce9d7d09b918f06f, 121752, 95, 3
ad115034667a0fbb077e8cbf5a8468cdb665f6a7, 105842, 110, 4
ffca6a6502c50f82fde48c7c469a39f2e2720608, 114521, 115, 4
