revision no., SLOC, developers, age
e32551b18f4560056d2d482f5e1505b1b98fa82a, 2470, 2, 1
20c6c071f5dfe6942438d97364e74f424217c94b, 6501, 5, 1
325be37a7bbb513359c77ebe5cee1cfc143ec0c1, 9605, 9, 1
f9f5199fb819ca7897ef895f9a4a86aecb147446, 12332, 11, 1
ae653153d30946a7706369486dc646a9a3839a7c, 13373, 13, 2
a68f81a2b44b2e8737e953b774166d08721a1b63, 14108, 17, 2
214d3eca806493162f53b83a9f498b7cdc206e53, 15264, 17, 2
6f313a734d26b13cb77de68638dc1b9913891c07, 15549, 19, 2
b8da0ad19d9dfcf88c4cd6dcf7b8aa73fc5016d7, 15617, 19, 3
42feb3c0aa0e3c40e7f384f24458ad07cff250a4, 16532, 20, 3
04930c203ab0172159973cfbe29fac39658ea608, 17399, 25, 3
212fcc465abe7e7806a9b0a21385bd645cd13177, 17556, 25, 3
52e1ee435f702c6b613eec2c2ee3db0baae3b6b4, 18338, 31, 4
a962af3ae65f3a9d92e9ad783db92bf55f9ca523, 20740, 50, 4
d90adf0dff664bfe6a7f9b7e6ba0e008ca261a40, 22044, 60, 4
e016a49a83276fc061df86b1b4d72ec8c4efdd29, 22918, 67, 4
2020af07c2a7f58538874ce652b52a6883f7ada0, 24577, 78, 5
3f6b6682ecfbdebefd93bfa503b8f6bd70fee005, 27233, 91, 5
468abaf4588392bcf7d7e243c707bb41bc17532c, 29256, 99, 5
72f28cc2cb57bbcc4e773069dad6cf75343fb396, 30827, 104, 5
7ddf5daac0d632ec2a1868d8c0e69bee086f25ee, 32371, 108, 6
8cc799a5dece8e2358037a147458a5f9c3d9727a, 35710, 113, 6
ad10b896abfd40c47b4fa452534dfcc89464c964, 30617, 117, 6
4c0101752d33121d372a162ca05f79bc51aadb3f, 37931, 119, 6
8140c02df8f3d663fcce6ca0410e2437f2da02e6, 39395, 121, 7
d4af357ee2b163b6ba3d7454ae97a52b0124edb8, 42108, 129, 7
a73b50011cb4551eee930aef170179b6a4a74e0c, 43314, 134, 7
7288f08ed046ada8ccc67bff25b167b714753664, 45276, 136, 7
436348698f5a7539a612e147b8cb3b08baf86e6d, 44547, 143, 8
2f5bbffa204e086143db19241c46be0c06277944, 45120, 149, 8
687d0db167ed0314fe887c9d65ccb0db0e5ca579, 47519, 152, 8
9a06b15fe6927f99e21cccf146cda2ae49ba5ba0, 48380, 158, 8
3d0dc3b00a1b95771546b842212a9172cb9c01d7, 55248, 163, 9
2759d5b47fdf1c7d5fa4a431ca3625223912fbd3, 56937, 172, 9
134414491055faf7e61136b4f466753480b2206c, 53765, 177, 44
f956063b15f639b61f85a7a1e70c3a01661e5c09, 54378, 180, 44
bba368c5c5feab138b872fa924b57856de32ba8d, 56041, 185, 45
2159145a00dcc48c3dc06a84321cf45aadcaf081, 56850, 191, 45
4e520409df38a8373aefa410a2068c4ad701be30, 58289, 195, 45
f41a7c4685314294b081996370378c8fb080d1d8, 58702, 199, 45
21640c372055fdeb7de738ba9b32fcc238f98b42, 59143, 202, 46
1f13f639176101dd4b410ad80467907353d03f6a, 59401, 206, 46
