variadic function templates, variadic class templates, alias class templates
0, //0, //0

old substitutes of variadic function templates, old substitutes of variadic class templates, old substitutes of alias class templates
1, //0, //3

variadic function templates

variadic class templates

alias class templates

potential variadic function templates
MCThunkNew, //libcore/include/thunk.h, //60
MCThunkNew, //libcore/include/thunk.h, //63
MCThunkNew, //libcore/include/thunk.h, //66
MCThunkNew, //libcore/include/thunk.h, //69
MCThunkNew, //libcore/include/thunk.h, //72

potential variadic class templates

potential alias class templates
arg_type, //engine/src/exec-interface-field-chunk.cpp, //359
return_type, //engine/src/exec-interface-field-chunk.cpp, //358
value_type, //engine/src/exec-interface-field-chunk.cpp, //348
