object defined with implicit instantiated type, file, line
config_arg, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Monero/latest version/src/p2p/net_node.inl, //402
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Monero/latest version/src/p2p/network_throttle-detail.cpp, //370
point, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Monero/latest version/src/p2p/network_throttle-detail.cpp, //336
time_from_epoh, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Monero/latest version/src/p2p/network_throttle-detail.cpp, //338
arg, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Monero/latest version/contrib/otshell_utils/runoptions.cpp, //26
hash_a, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Monero/latest version/tests/unit_tests/BlockchainDB.cpp, //87
hash_b, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Monero/latest version/tests/unit_tests/BlockchainDB.cpp, //88
create_and_destroy_connections, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Monero/latest version/tests/unit_tests/epee_levin_protocol_handler_async.cpp, //293
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Monero/latest version/tests/core_tests/chain_switch_1.cpp, //173
rec, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Monero/latest version/contrib/otshell_utils/utils.cpp, //611
found, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Monero/latest version/contrib/otshell_utils/utils.cpp, //532
obj, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Monero/latest version/contrib/otshell_utils/utils.cpp, //420
the_stream_ptr, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Monero/latest version/contrib/otshell_utils/utils.cpp, //430
found, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Monero/latest version/contrib/otshell_utils/utils.cpp, //520
pair, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Monero/latest version/contrib/otshell_utils/utils.cpp, //310
a, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Monero/latest version/contrib/otshell_utils/utils.cpp, //753
split_values, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Monero/latest version/src/wallet/wallet2.cpp, //1115
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Monero/latest version/src/wallet/wallet2.cpp, //431
it, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Monero/latest version/src/wallet/wallet2.cpp, //447
it_ki, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Monero/latest version/src/wallet/wallet2.cpp, //436
range, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/Monero/latest version/src/wallet/wallet2.cpp, //811
