object defined with implicit instantiated type, file, line
version, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/OneSixInstance.cpp, //428
readString, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/RawLibrary.cpp, //16
override, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/settings/SettingsObject.cpp, //41
passthrough, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/settings/SettingsObject.cpp, //57
list, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/application/dialogs/IconPickerDialog.cpp, //133
left, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/MinecraftVersionList.cpp, //111
right, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/MinecraftVersionList.cpp, //112
list, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/LegacyInstance.cpp, //93
f, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/application/GuiUtil.cpp, //62
version, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/application/pages/ModFolderPage.cpp, //93
worker, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/forge/ForgeMirrors.cpp, //21
worker, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/net/MD5EtagDownload.cpp, //86
updateTask, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/application/pages/VersionPage.cpp, //228
version, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/application/pages/VersionPage.cpp, //366
patch, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/application/pages/VersionPage.cpp, //301
metacache, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/OneSixUpdate.cpp, //123
metacache, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/MultiMC5/latest version/logic/minecraft/OneSixUpdate.cpp, //97
