object defined with implicit instantiated type, file, line
iter, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWCharPool.cpp, //261

object defined with explicit instantiated type, file, line
m_vcs_filters, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/ui/Windows/filter/ManageFiltersDlg.h, //90
m_displaystatus, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWSfile.h, //77
pr, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWSfileV3.cpp, //895
iter, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWSfileV3.cpp, //421
m_hmac, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWSfileV3.h, //80
m_vEmptyGroups, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWSfileV3.h, //94
vextns, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/os/windows/run.cpp, //255
vpaths, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/os/windows/run.cpp, //254
m_OrigDisplayStatus, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.h, //571
m_bsSupportedFunctions, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.h, //617
m_redo_iter, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.h, //629
m_undo_iter, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.h, //628
m_vEmptyGroups, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.h, //607
m_vnodes_modified, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.h, //598
m_vpcommands, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.h, //627
in_tokens, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/VerifyFormat.cpp, //508
out_entries, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/VerifyFormat.cpp, //508
m_TypeNames, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/Tools/Windows/I18N/ResText/ResModule.h, //134
m_currentView, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/ui/wxWidgets/passwordsafeframe.h, //520
Flt_citer, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWSFilters.cpp, //208
typeFreqs, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWCharPool.cpp, //237
sc, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWCharPool.cpp, //421
m_sc, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWCharPool.cpp, //327
leets, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWCharPool.cpp, //295
pr, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //3326
cmd_Iter, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //661
aryGroups, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //3045
setGroups, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //1428
iter, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //1502
vGTU_DUPLICATE_UUID, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //752
vGTU_INVALID_UUID, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //752
iter, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //3304
iter, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //3316
cmd_iter, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //647
sd_iter, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //148
sorted_dependents, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //147
vGTU_ALIASES, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //1631
vGTU_EmptyPassword, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //1630
vGTU_EmptyTitle, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //1632
vGTU_NONUNIQUE, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //1632
vGTU_PWH, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //1630
vGTU_SHORTCUTS, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //1631
vGTU_TEXT, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //1630
vGTU_UUID, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //1630
vPWPolicies, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //588
m_vSavedEntryStatus, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //2803
file_nums, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //1049
files, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //1048
iter, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/PWScore.cpp, //1055
m_mapRenamedPolicies, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/XML/XMLFileHandlers.h, //162
m_vEmptyGroups, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/core/XML/XMLFileHandlers.h, //163
m_vlanguagefiles, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/ui/Windows/ThisMfcApp.h, //60
event, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/os/linux/xsendstring.cpp, //299
mruList, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/ui/wxWidgets/RecentDBList.h, //52
mruList, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/ui/wxWidgets/RecentDBList.h, //41
vShortcuts, ///media/data/home/wudi/CPPTemplateExperiment_NewPaper_revised/Projects/PasswordSafe/latest version/src/ui/Windows/MainManage.cpp, //397
