class template, instantiations, multiple overload instantiations, loc, definition file path, line
UserlandFSUtil::Reference, //32, //7, //68, //src/tests/add-ons/kernel/file_systems/userlandfs/r5/headers/shared/Referencable.h, //31
TList, //22, //13, //51, //headers/libs/print/libprint/PrintUtils.h, //66
BLayoutBuilder::Group, //87, //2, //296, //headers/os/interface/LayoutBuilder.h, //50
DoublyLinkedList, //330, //194, //456, //headers/private/kernel/util/DoublyLinkedList.h, //112
DoublyLinkedListLinkImpl, //0, //0, //11, //headers/private/kernel/util/DoublyLinkedList.h, //35
BObjectList, //687, //269, //515, //headers/os/support/ObjectList.h, //114
BPrivate::AutoDeleter, //5, //4, //47, //headers/private/shared/AutoDeleter.h, //28
AutoLocker, //559, //48, //68, //src/tests/add-ons/kernel/file_systems/userlandfs/r5/headers/shared/AutoLocker.h, //83
Rectangle, //3, //3, //45, //src/add-ons/print/drivers/gutenprint/Rectangle.h, //16
BPrivate::AutoLocker, //221, //52, //93, //headers/private/shared/AutoLocker.h, //62
Vector, //129, //30, //360, //headers/private/userlandfs/shared/Vector.h, //48
VectorIterator, //3, //2, //73, //headers/private/userlandfs/shared/Vector.h, //118
Stack, //94, //16, //427, //src/add-ons/translators/rtf/Stack.h, //15
RequestMemberArray, //16, //4, //88, //src/tests/add-ons/kernel/file_systems/userlandfs/r5/src/test/netfs/headers/shared/RequestMemberArray.h, //15
FixedWidthPointer, //32, //13, //43, //headers/private/kernel/util/FixedWidthPointer.h, //21
BOpenHashTable, //128, //98, //290, //headers/private/kernel/util/OpenHashTable.h, //85
BaseCacheStrategy, //8, //1, //29, //src/tests/system/kernel/slab/Slab.h, //159
Cache, //12, //5, //58, //src/tests/system/kernel/slab/Slab.h, //118
LocalCache, //2, //2, //28, //src/tests/system/kernel/slab/Slab.h, //520
MergedLinkCacheStrategy, //3, //2, //54, //src/tests/system/kernel/slab/Slab.h, //201
TypedCache, //3, //3, //22, //src/tests/system/kernel/slab/Slab.h, //274
SinglyLinkedList, //48, //22, //159, //headers/private/kernel/util/SinglyLinkedList.h, //91
CppUnit::TestCaller, //48, //47, //61, //headers/tools/cppunit/cppunit/TestCaller.h, //103
Chain, //6, //3, //33, //src/tests/add-ons/kernel/file_systems/bfs/r5/Chain.h, //15
BReference, //565, //137, //101, //headers/os/support/Referenceable.h, //41
List, //54, //23, //108, //headers/private/media/TList.h, //6
BLayoutBuilder::Base, //3, //0, //27, //headers/os/interface/LayoutBuilder.h, //35
Imf::TypedAttribute, //226, //23, //140, //src/add-ons/translators/exr/openexr/ilmimf/ImfAttribute.h, //133
HashMap, //37, //17, //165, //headers/private/userlandfs/shared/HashMap.h, //62
DoublyLinkedListLink, //55, //30, //5, //headers/private/kernel/util/DoublyLinkedList.h, //27
DoublyLinkedListMemberGetLink, //20, //19, //13, //headers/private/kernel/util/DoublyLinkedList.h, //70
BlockingQueue, //12, //2, //130, //src/tests/add-ons/kernel/file_systems/userlandfs/r5/src/test/netfs/headers/shared/BlockingQueue.h, //38
CharSampleBuffer, //1, //1, //12, //src/apps/mediaplayer/media_node_framework/audio/SampleBuffer.h, //135
FloatSampleBuffer, //1, //1, //12, //src/apps/mediaplayer/media_node_framework/audio/SampleBuffer.h, //59
IntSampleBuffer, //1, //1, //12, //src/apps/mediaplayer/media_node_framework/audio/SampleBuffer.h, //78
SampleBuffer, //0, //0, //27, //src/apps/mediaplayer/media_node_framework/audio/SampleBuffer.h, //22
ShortSampleBuffer, //1, //1, //12, //src/apps/mediaplayer/media_node_framework/audio/SampleBuffer.h, //97
UCharSampleBuffer, //1, //1, //12, //src/apps/mediaplayer/media_node_framework/audio/SampleBuffer.h, //116
BPrivate::HashMap, //27, //5, //207, //headers/private/shared/HashMap.h, //75
Range, //15, //5, //53, //headers/libs/print/libprint/JobSetupDlg.h, //34
array_delete, //4, //2, //6, //src/apps/cortex/support/array_delete.h, //46
vector, //26, //3, //473, //headers/cpp/stl_vector.h, //155
StackDeleter, //2, //1, //11, //headers/private/kernel/util/Stack.h, //98
DoublyLinkedListCLink, //8, //4, //13, //headers/private/kernel/util/DoublyLinkedList.h, //88
DoublyLinkedListStandardGetLink, //0, //0, //13, //headers/private/kernel/util/DoublyLinkedList.h, //51
FSShell::AutoLocker, //8, //6, //83, //headers/private/fs_shell/fssh_auto_locker.h, //62
BStackOrHeapArray, //18, //14, //26, //headers/os/support/StackOrHeapArray.h, //12
MultiHashTable, //4, //3, //124, //headers/private/kernel/util/MultiHashTable.h, //24
NetBufferField, //9, //9, //12, //headers/private/net/NetBufferUtilities.h, //83
NetBufferFieldReader, //0, //0, //47, //headers/private/net/NetBufferUtilities.h, //23
NetBufferHeaderReader, //34, //21, //19, //headers/private/net/NetBufferUtilities.h, //101
NetBufferPrepend, //21, //21, //15, //headers/private/net/NetBufferUtilities.h, //143
DatagramSocket, //20, //1, //195, //headers/private/net/ProtocolUtilities.h, //108
MulticastFilter, //14, //3, //122, //src/add-ons/kernel/network/protocols/ipv4/multicast.h, //196
MulticastGroupInterface, //35, //4, //228, //src/add-ons/kernel/network/protocols/ipv4/multicast.h, //129
DefaultDefaultItemCreator, //0, //0, //4, //src/add-ons/kernel/network/ppp/shared/libkernelppp/headers/TemplateList.h, //43
TemplateList, //42, //11, //233, //src/add-ons/kernel/network/ppp/shared/libkernelppp/headers/TemplateList.h, //54
list, //99, //7, //365, //headers/cpp/stl_list.h, //247
TMessageItemTest, //29, //0, //419, //src/tests/kits/app/bmessage/MessageItemTest.h, //171
AVLTree, //31, //1, //656, //src/tests/add-ons/kernel/file_systems/userlandfs/r5/src/test/ramfs/AVLTree.h, //135
SinglyLinkedListLinkImpl, //0, //0, //13, //headers/private/kernel/util/SinglyLinkedList.h, //28
GenericIndexIterator, //10, //0, //130, //src/add-ons/kernel/file_systems/packagefs/indices/IndexImpl.h, //28
BPrivate::AutoLockerReadLocking, //2, //2, //11, //headers/private/shared/AutoLocker.h, //31
BPrivate::AutoLockerStandardLocking, //0, //0, //11, //headers/private/shared/AutoLocker.h, //16
BPrivate::AutoLockerWriteLocking, //2, //2, //11, //headers/private/shared/AutoLocker.h, //46
UserlandFSUtil::DLList, //36, //17, //241, //src/tests/add-ons/kernel/file_systems/userlandfs/r5/headers/shared/DLList.h, //87
UserlandFSUtil::DLListLink, //12, //4, //7, //src/tests/add-ons/kernel/file_systems/userlandfs/r5/headers/shared/DLList.h, //37
UserlandFSUtil::DLListLinkImpl, //0, //0, //11, //src/tests/add-ons/kernel/file_systems/userlandfs/r5/headers/shared/DLList.h, //48
UserlandFSUtil::DLListStandardGetLink, //0, //0, //13, //src/tests/add-ons/kernel/file_systems/userlandfs/r5/headers/shared/DLList.h, //65
AddressSet, //2, //1, //62, //src/add-ons/kernel/network/protocols/ipv4/multicast.h, //46
CSmartPtr, //61, //23, //57, //src/add-ons/media/plugins/ape_reader/MAClib/SmartPtr.h, //16
BPrivate::HashMapElement, //3, //1, //25, //headers/private/shared/HashMap.h, //42
BPrivate::OpenHashElementArray, //14, //1, //108, //headers/private/shared/OpenHashTable.h, //133
BPrivate::OpenHashTable, //18, //1, //216, //headers/private/shared/OpenHashTable.h, //89
BPrivate::SynchronizedHashMap, //1, //1, //61, //headers/private/shared/HashMap.h, //207
__malloc_alloc_template, //15, //3, //58, //headers/cpp/stl_alloc.h, //146
GPArray, //13, //1, //16, //src/add-ons/print/drivers/gutenprint/GPArray.h, //12
AllocationDescriptorList, //17, //3, //149, //src/add-ons/kernel/file_systems/udf/AllocationDescriptorList.h, //33
FileEntry, //14, //2, //53, //src/add-ons/kernel/file_systems/udf/Icb.h, //42
RunQueueLinkImpl, //1, //0, //12, //src/system/kernel/scheduler/RunQueue.h, //27
Heap, //18, //1, //164, //headers/private/kernel/util/Heap.h, //75
HeapLinkImpl, //1, //0, //14, //headers/private/kernel/util/Heap.h, //26
MinMaxHeap, //19, //0, //287, //headers/private/kernel/util/MinMaxHeap.h, //70
MinMaxHeapLinkImpl, //1, //0, //14, //headers/private/kernel/util/MinMaxHeap.h, //27
RunQueue, //24, //1, //218, //src/system/kernel/scheduler/RunQueue.h, //59
IteratableSplayTree, //8, //6, //212, //headers/private/kernel/util/SplayTree.h, //353
_List_base, //5, //3, //36, //headers/cpp/stl_list.h, //202
__allocator, //3, //3, //11, //headers/cpp/stl_alloc.h, //853
allocator, //9, //4, //30, //headers/cpp/stl_alloc.h, //733
debug_alloc, //10, //1, //26, //headers/cpp/stl_alloc.h, //247
simple_alloc, //7, //5, //11, //headers/cpp/stl_alloc.h, //228
DefaultDefaultItemCreator, //0, //0, //4, //src/tests/add-ons/kernel/file_systems/userlandfs/r5/src/test/ramfs/List.h, //39
List, //27, //1, //233, //src/tests/add-ons/kernel/file_systems/userlandfs/r5/src/test/ramfs/List.h, //50
BThreadedTestCaller, //26, //15, //157, //headers/tools/cppunit/ThreadedTestCaller.h, //17
VectorMap, //38, //3, //242, //headers/private/kernel/util/VectorMap.h, //76
_AudioChannelCluster, //0, //0, //11, //src/add-ons/kernel/drivers/audio/usb/AudioControlInterface.h, //43
RtList, //4, //2, //42, //src/add-ons/media/media-add-ons/mixer/RtList.h, //21
FSShell::AutoLockerReadLocking, //0, //0, //11, //headers/private/fs_shell/fssh_auto_locker.h, //31
FSShell::AutoLockerStandardLocking, //0, //0, //11, //headers/private/fs_shell/fssh_auto_locker.h, //16
FSShell::AutoLockerWriteLocking, //0, //0, //11, //headers/private/fs_shell/fssh_auto_locker.h, //46
Mapping, //0, //0, //11, //src/apps/cortex/Persistence/XMLElementMapping.h, //70
BPrivate::DiskDevice::AutoLockerDiskSystemLoading, //1, //0, //11, //headers/private/kernel/disk_device_manager/KDiskDeviceUtils.h, //127
BPrivate::DiskDevice::AutoLockerPartitionRegistration, //1, //0, //12, //headers/private/kernel/disk_device_manager/KDiskDeviceUtils.h, //108
AVLTreeMap, //58, //4, //289, //headers/private/kernel/util/AVLTreeMap.h, //48
SynchronizedHashMap, //3, //2, //61, //headers/private/userlandfs/shared/HashMap.h, //168
raw_storage_iterator, //4, //1, //25, //headers/cpp/stl_raw_storage_iter.h, //37
SplayTree, //3, //3, //212, //headers/private/kernel/util/SplayTree.h, //46
AutoLockerReadLocking, //7, //5, //11, //src/tests/add-ons/kernel/file_systems/userlandfs/r5/headers/shared/AutoLocker.h, //52
AutoLockerWriteLocking, //7, //4, //11, //src/tests/add-ons/kernel/file_systems/userlandfs/r5/headers/shared/AutoLocker.h, //67
DefaultDefaultItemCreator, //0, //0, //4, //src/add-ons/kernel/file_systems/reiserfs/List.h, //32
List, //25, //1, //201, //src/add-ons/kernel/file_systems/reiserfs/List.h, //43
SLList, //19, //2, //111, //src/add-ons/kernel/file_systems/ramfs/SLList.h, //108
SLListStandardGetValue, //0, //0, //8, //src/add-ons/kernel/file_systems/ramfs/SLList.h, //79
SLListStandardNodeAllocator, //0, //0, //12, //src/add-ons/kernel/file_systems/ramfs/SLList.h, //48
SLListValueNodeAllocator, //0, //0, //11, //src/add-ons/kernel/file_systems/ramfs/SLList.h, //64
SLListValueNodeGetValue, //0, //0, //8, //src/add-ons/kernel/file_systems/ramfs/SLList.h, //90
SinglyLinkedListLink, //9, //6, //6, //headers/private/kernel/util/SinglyLinkedList.h, //18
SinglyLinkedListMemberGetLink, //2, //2, //13, //headers/private/kernel/util/SinglyLinkedList.h, //66
OpenHashElementArray, //22, //2, //108, //src/add-ons/kernel/file_systems/ramfs/OpenHashTable.h, //133
OpenHashTable, //23, //4, //200, //src/add-ons/kernel/file_systems/ramfs/OpenHashTable.h, //90
