class template, instantiations, multiple overload instantiations, loc, definition file path, line
Rocket::Core::StringBase, //59, //3, //627, //src/libs/libRocket/Include/Rocket/Core/StringBase.h, //42
Rocket::Core::Vector2, //8, //2, //157, //src/libs/libRocket/Include/Rocket/Core/Vector2.h, //43
Filter, //2, //1, //69, //src/gamelogic/cgame/Filter.h, //26
Cvar::Cvar, //53, //6, //77, //src/common/Cvar.h, //99
Str::BasicStringRef, //7, //4, //146, //src/common/String.h, //38
Rocket::Core::Colour, //2, //2, //82, //src/libs/libRocket/Include/Rocket/Core/Colour.h, //43
Rocket::Core::ElementInstancerGeneric, //0, //0, //27, //src/libs/libRocket/Include/Rocket/Core/ElementInstancerGeneric.h, //46
Util::optional, //70, //7, //172, //src/common/Optional.h, //85
Util::uninitialized, //1, //1, //37, //src/common/Util.h, //112
Cvar::Range, //12, //1, //37, //src/common/Cvar.h, //193
Cvar::Callback, //4, //1, //32, //src/common/Cvar.h, //151
Cvar::Modified, //4, //1, //38, //src/common/Cvar.h, //171
Wrapper, //0, //0, //43, //src/libs/libRocket/Include/Rocket/Core/Python/WrapperIter.h, //48
rcScopedDelete, //29, //7, //10, //src/libs/recast/RecastAlloc.h, //105
Rocket::Core::Pool, //2, //2, //218, //src/libs/libRocket/Source/Core/Pool.h, //38
Resource::Handle, //5, //2, //17, //src/engine/framework/Resource.h, //61
Resource::Manager, //15, //2, //114, //src/engine/framework/Resource.h, //155
Rocket::Core::TypeConverter, //3, //3, //11, //src/libs/libRocket/Include/Rocket/Core/TypeConverter.h, //52
FS::DirectoryIterator, //12, //2, //41, //src/common/FileSystem.h, //180
Rocket::Core::Python::ElementWrapper, //0, //0, //27, //src/libs/libRocket/Include/Rocket/Core/Python/ElementWrapper.h, //46
DisjointSets, //2, //1, //64, //src/common/DisjointSets.h, //37
Rocket::Core::Python::Wrapper, //0, //0, //1, //src/libs/libRocket/Include/Rocket/Core/Python/Wrapper.h, //56
Audio::HandledResource, //3, //1, //45, //src/engine/audio/Sample.h, //38
Rocket::Core::Python::VectorInterface, //0, //0, //54, //src/libs/libRocket/Include/Rocket/Core/Python/VectorInterface.h, //47
Rocket::Core::Python::NameAccessorInvalid, //0, //0, //10, //src/libs/libRocket/Include/Rocket/Core/Python/NameIndexInterface.h, //38
