class template, instantiations, multiple overload instantiations, loc, definition file path, line
o3tl::detail::simple_pool_impl, //0, //0, //43, //main/o3tl/inc/o3tl/vector_pool.hxx, //34
com::sun::star::uno::Sequence, //6292, //185, //45, //main/cppu/inc/com/sun/star/uno/Sequence.h, //58
rtl::Reference, //779, //214, //98, //main/sal/inc/rtl/ref.hxx, //52
List, //729, //44, //133, //main/xml2cmp/source/support/list.hxx, //32
comphelper::OPropertyArrayUsageHelper, //34, //28, //42, //main/comphelper/inc/comphelper/proparrhlp.hxx, //54
preload::OUnoAutoPilot, //1, //1, //68, //main/extensions/source/preload/unoautopilot.hxx, //57
rtl::Static, //1, //1, //16, //main/sal/inc/rtl/instance.hxx, //360
ScfDelList, //19, //16, //44, //main/sc/source/filter/inc/ftools.hxx, //416
ScfRef, //185, //163, //27, //main/sc/source/filter/inc/ftools.hxx, //150
comphelper::OIdPropertyArrayUsageHelper, //15, //12, //43, //main/comphelper/inc/comphelper/IdPropArrayHelper.hxx, //46
basebmp::BinarySetterFunctionAccessorAdapter, //3, //2, //68, //main/basebmp/inc/basebmp/accessoradapters.hxx, //168
basebmp::CompositeIterator2D, //2, //2, //70, //main/basebmp/inc/basebmp/compositeiterator.hxx, //281
basebmp::ConstantColorBlendSetterAccessorAdapter, //2, //2, //77, //main/basebmp/inc/basebmp/colorblendaccessoradapter.hxx, //44
basebmp::JoinImageAccessorAdapter, //3, //3, //76, //main/basebmp/inc/basebmp/accessoradapters.hxx, //420
basebmp::BitmapRenderer, //3, //2, //712, //main/basebmp/source/bitmapdevice.cxx, //157
ary::SequentialIds, //16, //2, //75, //main/autodoc/inc/ary/sequentialids.hxx, //43
ary::symtree::Node, //36, //3, //205, //main/autodoc/inc/ary/symtreenode.hxx, //74
csv::Dyn, //282, //158, //92, //main/cosv/inc/cosv/tpl/dyn.hxx, //60
ary::stg::Base, //16, //1, //91, //main/autodoc/source/ary/inc/store/s_base.hxx, //49
ary::TypedId, //13, //8, //28, //main/autodoc/inc/ary/types.hxx, //87
formula::SimpleIntrusiveReference, //6, //6, //52, //main/formula/inc/formula/intruref.hxx, //40
ary::IteratorRange, //0, //0, //23, //main/autodoc/inc/ary/itrange.hxx, //42
vcl::DeleteOnDeinit, //4, //2, //10, //main/vcl/inc/vcl/lazydelete.hxx, //242
writerfilter::doctok::PLCF, //9, //2, //63, //main/writerfilter/source/doctok/PLCF.hxx, //57
writerfilter::doctok::XNoteHelper, //0, //0, //30, //main/writerfilter/source/doctok/XNoteHelper.hxx, //39
vos::ORef, //95, //16, //155, //main/vos/inc/vos/ref.hxx, //48
ary::SortedIds, //25, //5, //138, //main/autodoc/source/ary/inc/sortedids.hxx, //60
ary::stg::Storage, //25, //1, //160, //main/autodoc/source/ary/inc/store/s_storage.hxx, //44
osl::Guard, //19, //3, //21, //main/sal/inc/osl/mutex.hxx, //127
ucb_impl::RegexpMap, //3, //2, //26, //main/ucb/source/inc/regexpmap.hxx, //122
ucb_impl::RegexpMapConstIter, //5, //1, //18, //main/ucb/source/inc/regexpmap.hxx, //61
ucb_impl::RegexpMapEntry, //6, //1, //13, //main/ucb/source/inc/regexpmap.hxx, //37
ucb_impl::RegexpMapIter, //2, //1, //14, //main/ucb/source/inc/regexpmap.hxx, //94
rtl::StaticAggregate, //0, //0, //9, //main/sal/inc/rtl/instance.hxx, //392
cppu::AggImplInheritanceHelper5, //1, //1, //52, //main/cppuhelper/inc/cppuhelper/implbase5.hxx, //236
cppu::ImplHelper5, //1, //1, //13, //main/cppuhelper/inc/cppuhelper/implbase5.hxx, //73
cppu::ImplInheritanceHelper5, //1, //1, //50, //main/cppuhelper/inc/cppuhelper/implbase5.hxx, //167
cppu::WeakAggImplHelper5, //1, //1, //20, //main/cppuhelper/inc/cppuhelper/implbase5.hxx, //129
cppu::WeakImplHelper5, //1, //1, //18, //main/cppuhelper/inc/cppuhelper/implbase5.hxx, //96
XclExpRecordList, //41, //30, //43, //main/sc/source/filter/inc/xerecord.hxx, //328
XclExpValueRecord, //5, //2, //39, //main/sc/source/filter/inc/xerecord.hxx, //192
InheritedHelperInterfaceImpl, //7, //6, //37, //main/vbahelper/inc/vbahelper/vbahelperinterface.hxx, //62
salhelper::SingletonRef, //7, //4, //51, //main/salhelper/inc/salhelper/singletonref.hxx, //76
UniReference, //31, //5, //79, //main/xmloff/inc/xmloff/uniref.hxx, //39
ary::NameTreeNode, //10, //2, //90, //main/autodoc/source/ary/inc/nametreenode.hxx, //45
NamedCollection, //0, //0, //85, //main/forms/source/xforms/namedcollection.hxx, //34
csv::StringData, //9, //2, //52, //main/cosv/inc/cosv/stringdata.hxx, //39
chart::CommonFunctors::FirstOfPairEquals, //0, //0, //13, //main/chart2/source/inc/CommonFunctors.hxx, //147
