class template, instantiations, multiple overload instantiations, loc, definition file path, line
ary::TypedId, //13, //8, //28, //main/autodoc/inc/ary/types.hxx, //91
lux::Enum, //16, //5, //39, //main/autodoc/source/inc/luxenum.hxx, //48
csv::Dyn, //282, //158, //92, //main/cosv/inc/cosv/tpl/dyn.hxx, //64
salhelper::SingletonRef, //7, //4, //51, //main/salhelper/inc/salhelper/singletonref.hxx, //80
com::sun::star::uno::Reference, //15103, //779, //67, //main/cppu/inc/com/sun/star/uno/Reference.h, //182
com::sun::star::uno::Sequence, //7829, //190, //45, //main/cppu/inc/com/sun/star/uno/Sequence.h, //62
List, //1051, //53, //133, //main/xml2cmp/source/support/list.hxx, //36
formula::SimpleIntrusiveReference, //6, //6, //52, //main/formula/inc/formula/intruref.hxx, //44
CallFunction, //21, //16, //32, //main/autodoc/source/parser/inc/semantic/callf.hxx, //45
PeStatus, //11, //1, //81, //main/autodoc/source/parser/inc/semantic/callf.hxx, //70
PeStatusArray, //21, //15, //63, //main/autodoc/source/parser/inc/semantic/callf.hxx, //101
SubPeUse, //34, //27, //68, //main/autodoc/source/parser/inc/semantic/sub_peu.hxx, //44
basebmp::BinarySetterFunctionAccessorAdapter, //3, //2, //68, //main/basebmp/inc/basebmp/accessoradapters.hxx, //172
basebmp::JoinImageAccessorAdapter, //3, //3, //76, //main/basebmp/inc/basebmp/accessoradapters.hxx, //424
basebmp::TernarySetterFunctionAccessorAdapter, //3, //1, //88, //main/basebmp/inc/basebmp/accessoradapters.hxx, //288
basebmp::UnaryFunctionAccessorAdapter, //2, //2, //76, //main/basebmp/inc/basebmp/accessoradapters.hxx, //54
comphelper::SequenceAsVector, //8, //6, //79, //main/comphelper/inc/comphelper/sequenceasvector.hxx, //60
osl::ClearableGuard, //1, //1, //30, //main/sal/inc/osl/mutex.hxx, //165
osl::ResettableGuard, //1, //1, //25, //main/sal/inc/osl/mutex.hxx, //211
comphelper::OPropertyArrayUsageHelper, //35, //29, //42, //main/comphelper/inc/comphelper/proparrhlp.hxx, //58
rtl::StaticAggregate, //0, //0, //9, //main/sal/inc/rtl/instance.hxx, //396
cppu::AggImplInheritanceHelper7, //1, //0, //52, //main/cppuhelper/inc/cppuhelper/implbase7.hxx, //243
cppu::ImplHelper7, //1, //1, //13, //main/cppuhelper/inc/cppuhelper/implbase7.hxx, //80
cppu::ImplInheritanceHelper7, //1, //0, //50, //main/cppuhelper/inc/cppuhelper/implbase7.hxx, //174
cppu::WeakAggImplHelper7, //1, //1, //20, //main/cppuhelper/inc/cppuhelper/implbase7.hxx, //136
cppu::WeakImplHelper7, //1, //1, //18, //main/cppuhelper/inc/cppuhelper/implbase7.hxx, //103
osl::Guard, //59, //4, //21, //main/sal/inc/osl/mutex.hxx, //131
rtl::Reference, //832, //220, //98, //main/sal/inc/rtl/ref.hxx, //56
vcl::DeleteOnDeinit, //3, //1, //10, //main/vcl/inc/vcl/lazydelete.hxx, //246
rtl::Static, //1, //1, //16, //main/sal/inc/rtl/instance.hxx, //364
vos::ORef, //132, //21, //155, //main/vos/inc/vos/ref.hxx, //52
com::sun::star::uno::WeakReference, //51, //25, //16, //main/cppuhelper/inc/cppuhelper/weakref.hxx, //126
csv::ConstProcessor, //8, //5, //11, //main/cosv/inc/cosv/tpl/processor.hxx, //94
ScVbaFormat, //9, //0, //159, //main/sc/source/ui/vba/vbaformat.hxx, //44
o3tl::cow_wrapper, //20, //14, //86, //main/o3tl/inc/o3tl/cow_wrapper.hxx, //173
EStack, //8, //6, //36, //main/autodoc/source/inc/estack.hxx, //42
comphelper::MakeMap, //5, //4, //20, //main/comphelper/inc/comphelper/InlineContainer.hxx, //124
oox::Matrix, //7, //2, //49, //main/oox/inc/oox/helper/containerhelper.hxx, //102
writerfilter::TableManager, //29, //2, //640, //main/writerfilter/inc/resourcemodel/TableManager.hxx, //116
ucb_impl::RegexpMap, //3, //2, //26, //main/ucb/source/inc/regexpmap.hxx, //126
ucb_impl::RegexpMapConstIter, //5, //1, //18, //main/ucb/source/inc/regexpmap.hxx, //65
ucb_impl::RegexpMapEntry, //6, //1, //13, //main/ucb/source/inc/regexpmap.hxx, //41
ucb_impl::RegexpMapIter, //2, //1, //14, //main/ucb/source/inc/regexpmap.hxx, //98
sd::slidesorter::model::Enumeration, //1, //1, //8, //main/sd/source/ui/slidesorter/inc/model/SlsEnumeration.hxx, //40
salhelper::BoundedQueue, //3, //1, //24, //main/salhelper/inc/salhelper/queue.hxx, //146
salhelper::Queue, //5, //1, //22, //main/salhelper/inc/salhelper/queue.hxx, //103
salhelper::QueueBase, //7, //2, //28, //main/salhelper/inc/salhelper/queue.hxx, //54
basegfx::BasicRange, //4, //2, //207, //main/basegfx/inc/basegfx/range/basicrange.hxx, //38
oox::drawingml::chart::ModelRef, //37, //12, //14, //main/oox/inc/oox/drawingml/chart/modelbase.hxx, //44
oox::drawingml::chart::ModelVector, //2, //2, //13, //main/oox/inc/oox/drawingml/chart/modelbase.hxx, //65
ScfRef, //185, //163, //27, //main/sc/source/filter/inc/ftools.hxx, //154
csv::SweList, //8, //2, //97, //main/cosv/inc/cosv/tpl/swelist.hxx, //71
csv::SweListCIterator, //3, //1, //24, //main/cosv/inc/cosv/tpl/swelist.hxx, //191
csv::SweListElement, //5, //2, //17, //main/cosv/inc/cosv/tpl/swelist.hxx, //43
csv::SweListIterator, //4, //2, //21, //main/cosv/inc/cosv/tpl/swelist.hxx, //164
csv::SweList_dyn, //8, //3, //95, //main/cosv/inc/cosv/tpl/swelist.hxx, //121
comphelper::service_decl::detail::OwnServiceImpl, //4, //1, //30, //main/comphelper/inc/comphelper/servicedecl.hxx, //159
ary::StdConstIterator, //18, //8, //19, //main/autodoc/inc/ary/stdconstiter.hxx, //44
DynamicList, //16, //2, //36, //main/xml2cmp/source/support/list.hxx, //109
dxcanvas::COMReference, //10, //2, //45, //main/canvas/source/directx/dx_winstuff.hxx, //125
UniReference, //35, //5, //79, //main/xmloff/inc/xmloff/uniref.hxx, //43
ary::Dyn_StdConstIterator, //33, //12, //16, //main/autodoc/inc/ary/stdconstiter.hxx, //74
ary::SCI_Vector, //5, //0, //47, //main/autodoc/source/ary/inc/sci_impl.hxx, //47
ary::SortedIds, //25, //5, //138, //main/autodoc/source/ary/inc/sortedids.hxx, //64
ary::stg::Storage, //25, //1, //160, //main/autodoc/source/ary/inc/store/s_storage.hxx, //48
oox::RefMap, //14, //11, //1, //main/oox/inc/oox/helper/refmap.hxx, //48
oox::RefVector, //23, //19, //103, //main/oox/inc/oox/helper/refvector.hxx, //48
connectivity::jdbc::GlobalRef, //2, //1, //56, //main/connectivity/source/inc/java/GlobalRef.hxx, //50
connectivity::jdbc::LocalRef, //4, //2, //42, //main/connectivity/source/inc/java/LocalRef.hxx, //51
cppu::WeakAggComponentImplHelper1, //1, //1, //23, //main/cppuhelper/inc/cppuhelper/compbase1.hxx, //111
cppu::WeakComponentImplHelper1, //2, //2, //27, //main/cppuhelper/inc/cppuhelper/compbase1.hxx, //60
wwSortedArray, //1, //1, //59, //main/sw/source/filter/ww8/dump/ww8scan.cxx, //100
XclExpRecordList, //41, //30, //43, //main/sc/source/filter/inc/xerecord.hxx, //332
COMPMOD_NAMESPACE::OMultiInstanceAutoRegistration, //2, //1, //21, //main/extensions/source/inc/componentmodule.hxx, //178
COMPMOD_NAMESPACE::OOneInstanceAutoRegistration, //2, //1, //21, //main/extensions/source/inc/componentmodule.hxx, //220
connectivity::mysqlc::OPropertyArrayUsageHelper, //5, //1, //41, //main/mysqlc/source/mysqlc_subcomponent.hxx, //118
connectivity::mysqlc::OSubComponent, //2, //2, //28, //main/mysqlc/source/mysqlc_subcomponent.hxx, //83
sw::UnoImplPtr, //14, //1, //21, //main/sw/inc/unobaseclass.hxx, //111
binfilter::UniReference, //260, //18, //79, //main/binfilter/inc/bf_xmloff/uniref.hxx, //46
sfx::IdentItemWrapper, //0, //0, //10, //main/sfx2/inc/sfx2/itemwrapper.hxx, //167
sfx::SingleItemWrapper, //3, //1, //25, //main/sfx2/inc/sfx2/itemwrapper.hxx, //98
sfx::ValueItemWrapper, //0, //0, //10, //main/sfx2/inc/sfx2/itemwrapper.hxx, //142
framework::CheckedIterator, //2, //2, //87, //main/framework/inc/classes/checkediterator.hxx, //83
framework::SetNodeHash, //5, //5, //20, //main/framework/inc/classes/filtercachedata.hxx, //472
sd::toolpanel::MethodGuard, //2, //2, //18, //main/sd/source/ui/toolpanel/MethodGuard.hxx, //41
comphelper::OIdPropertyArrayUsageHelper, //15, //12, //43, //main/comphelper/inc/comphelper/IdPropArrayHelper.hxx, //50
sd::toolpanel::RootControlFactoryWithArg, //0, //0, //15, //main/sd/source/ui/inc/taskpane/TaskPaneControlFactory.hxx, //77
frm::OMultiInstanceAutoRegistration, //4, //1, //21, //main/forms/source/inc/forms_module.hxx, //129
frm::OOneInstanceAutoRegistration, //4, //1, //21, //main/forms/source/inc/forms_module.hxx, //172
pcr::HandlerComponentBase, //9, //9, //23, //main/extensions/source/propctrlr/propertyhandler.hxx, //400
slideshow::internal::ListenerContainerBase, //0, //0, //110, //main/slideshow/source/inc/listenercontainer.hxx, //63
slideshow::internal::ThreadSafeListenerContainer, //0, //0, //5, //main/slideshow/source/inc/listenercontainer.hxx, //290
slideshow::internal::ThreadUnsafeListenerContainer, //3, //1, //5, //main/slideshow/source/inc/listenercontainer.hxx, //305
Collection, //1, //1, //220, //main/forms/source/xforms/collection.hxx, //59
basegfx::B2DConnectedRanges, //1, //1, //82, //main/basegfx/inc/basegfx/range/b2dconnectedranges.hxx, //70
PolygonPointList, //0, //0, //316, //main/basegfx/source/inc/PolygonPoint.hxx, //127
SimpleBezierEntry, //1, //1, //47, //main/basegfx/source/inc/PolygonPoint.hxx, //68
SimplePointEntry, //1, //1, //25, //main/basegfx/source/inc/PolygonPoint.hxx, //35
canvas::BaseMutexHelper, //2, //2, //11, //main/canvas/inc/canvas/base/basemutexhelper.hxx, //46
canvas::GraphicDeviceBase, //2, //1, //219, //main/canvas/inc/canvas/base/graphicdevicebase.hxx, //111
canvas::IntegerBitmapBase, //3, //1, //59, //main/canvas/inc/canvas/base/integerbitmapbase.hxx, //73
inprocserv::ComSmart, //14, //2, //83, //main/embedserv/source/inprocserv/smartpointer.hxx, //49
oox::OptValue, //42, //7, //20, //main/oox/inc/oox/helper/helper.hxx, //198
csv::StringData, //9, //2, //52, //main/cosv/inc/cosv/stringdata.hxx, //43
ary::symtree::Node, //36, //3, //205, //main/autodoc/inc/ary/symtreenode.hxx, //78
basebmp::PixelIterator, //4, //2, //118, //main/basebmp/inc/basebmp/pixeliterator.hxx, //206
basebmp::StandardAccessor, //4, //2, //25, //main/basebmp/inc/basebmp/accessor.hxx, //41
ary::stg::Base, //16, //1, //91, //main/autodoc/source/ary/inc/store/s_base.hxx, //53
ary::stg::const_filter_iterator, //3, //2, //32, //main/autodoc/source/ary/inc/store/s_iterator.hxx, //195
ary::stg::const_iterator, //5, //2, //29, //main/autodoc/source/ary/inc/store/s_iterator.hxx, //93
ary::stg::filter_iterator, //5, //4, //29, //main/autodoc/source/ary/inc/store/s_iterator.hxx, //145
ary::stg::iterator, //5, //2, //27, //main/autodoc/source/ary/inc/store/s_iterator.hxx, //53
cppu::AggImplInheritanceHelper2, //1, //1, //52, //main/cppuhelper/inc/cppuhelper/implbase2.hxx, //236
cppu::ImplHelper2, //1, //1, //13, //main/cppuhelper/inc/cppuhelper/implbase2.hxx, //73
cppu::ImplInheritanceHelper2, //2, //1, //50, //main/cppuhelper/inc/cppuhelper/implbase2.hxx, //167
cppu::WeakAggImplHelper2, //1, //1, //20, //main/cppuhelper/inc/cppuhelper/implbase2.hxx, //129
cppu::WeakImplHelper2, //4, //2, //18, //main/cppuhelper/inc/cppuhelper/implbase2.hxx, //96
LinkedList, //37, //15, //99, //main/hwpfilter/source/list.hxx, //46
ary::SequentialIds, //16, //2, //75, //main/autodoc/inc/ary/sequentialids.hxx, //47
canvas::FloatBitmapBase, //0, //0, //63, //main/canvas/inc/canvas/base/floatbitmapbase.hxx, //73
canvas::BitmapCanvasBase, //1, //1, //47, //main/canvas/inc/canvas/base/bitmapcanvasbase.hxx, //72
cppu::WeakAggComponentImplHelper7, //1, //1, //23, //main/cppuhelper/inc/cppuhelper/compbase7.hxx, //111
cppu::WeakComponentImplHelper7, //1, //1, //27, //main/cppuhelper/inc/cppuhelper/compbase7.hxx, //60
ScfDelList, //19, //16, //44, //main/sc/source/filter/inc/ftools.hxx, //415
myImplHelpers::StyleMapperImpl, //4, //2, //57, //main/sw/source/filter/ww8/writerwordglue.cxx, //254
ScBitMaskCompressedArray, //24, //2, //401, //main/sc/inc/compressedarray.hxx, //444
xmloff::OColumnImport, //2, //1, //33, //main/xmloff/source/forms/elementimport.hxx, //645
xmloff::OContainerImport, //5, //3, //66, //main/xmloff/source/forms/elementimport.hxx, //602
basebmp::StridedArrayIterator, //4, //1, //42, //main/basebmp/inc/basebmp/stridedarrayiterator.hxx, //44
store::OStoreHandle, //0, //0, //13, //main/store/source/store.cxx, //54
