class template, instantiations, multiple overload instantiations, loc, definition file path, line
TLinkedList, //44, //6, //208, //source/src/bot/bot_util.h, //42
TMultiChoice, //6, //2, //70, //source/src/bot/bot_util.h, //480
TPriorList, //1, //1, //137, //source/src/bot/bot_util.h, //307
vector, //191, //54, //145, //source/src/tools.h, //362
hashtable, //31, //11, //112, //source/src/tools.h, //569
modelcacheentry, //3, //1, //36, //source/src/modelcache.h, //1
modelcachelist, //3, //3, //23, //source/src/modelcache.h, //45
ringbuf, //1, //1, //51, //source/src/tools.h, //698
consolebuffer, //3, //2, //24, //source/src/console.h, //3
databuf, //5, //3, //55, //source/src/tools.h, //194
bitbuf, //3, //2, //33, //source/src/tools.h, //324
projectilestate, //1, //1, //21, //source/src/server.h, //89

function template, instantiations, multiple overload instantiations, loc, definition file path, line
max, //132, //22, //4, //source/src/tools.h, //48
min, //141, //28, //4, //source/src/tools.h, //53
swap, //26, //3, //6, //source/src/tools.h, //35
modelcache::allocate, //3, //1, //45, //source/src/modelcache.h, //98
modelcache::release, //0, //0, //4, //source/src/modelcache.h, //149
endiansame, //41, //1, //1, //source/src/tools.h, //824
vector::sort, //19, //1, //4, //source/src/tools.h, //433
tristrip::addtriangles, //1, //1, //18, //source/src/tristrip.h, //56
databuf::databuf, //13, //1, //1, //source/src/tools.h, //209
stream::getlil, //2, //1, //1, //source/src/tools.h, //871
stream::putlil, //4, //1, //1, //source/src/tools.h, //867
glmatrixf::mul, //1, //1, //7, //source/src/geom.h, //207
endiansame, //40, //1, //1, //source/src/tools.h, //823
endianswap, //3, //1, //1, //source/src/tools.h, //817
endianswap, //3, //1, //1, //source/src/tools.h, //822
stream::get, //2, //1, //1, //source/src/tools.h, //870
stream::getbig, //0, //0, //1, //source/src/tools.h, //872
stream::put, //2, //1, //1, //source/src/tools.h, //866
stream::putbig, //0, //0, //1, //source/src/tools.h, //868
vector::search, //1, //1, //4, //source/src/tools.h, //439
putfloat_, //3, //3, //5, //source/src/protocol.cpp, //82
putint_, //3, //3, //7, //source/src/protocol.cpp, //15
putuint_, //3, //3, //23, //source/src/protocol.cpp, //40
sendstring_, //3, //3, //7, //source/src/protocol.cpp, //99

