class template, instantiations, multiple overload instantiations, loc, definition file path, line
TLinkedList, //44, //6, //208, //source/src/bot/bot_util.h, //42
TMultiChoice, //6, //2, //70, //source/src/bot/bot_util.h, //480
TPriorList, //1, //1, //137, //source/src/bot/bot_util.h, //307
hashtable, //21, //9, //104, //source/src/tools.h, //383
vector, //132, //43, //125, //source/src/tools.h, //196
databuf, //4, //3, //46, //source/src/tools.h, //138
ringbuf, //1, //1, //46, //source/src/tools.h, //503
modelcacheentry, //3, //1, //36, //source/src/modelcache.h, //1
modelcachelist, //3, //3, //23, //source/src/modelcache.h, //45
projectilestate, //1, //1, //21, //source/src/server.cpp, //110
consolebuffer, //3, //2, //24, //source/src/console.h, //3

function template, instantiations, multiple overload instantiations, loc, definition file path, line
max, //108, //18, //4, //source/src/tools.h, //48
min, //112, //20, //4, //source/src/tools.h, //53
swap, //26, //3, //6, //source/src/tools.h, //35
databuf::databuf, //30, //1, //1, //source/src/tools.h, //151
vector::sort, //14, //1, //4, //source/src/tools.h, //266
vector::search, //1, //1, //4, //source/src/tools.h, //272
modelcache::allocate, //3, //1, //45, //source/src/modelcache.h, //98
modelcache::release, //0, //0, //4, //source/src/modelcache.h, //149
tristrip::addtriangles, //1, //1, //18, //source/src/tristrip.h, //56
glmatrixf::mul, //1, //1, //7, //source/src/geom.h, //207

