class template, instantiations, multiple overload instantiations, loc, definition file path, line
btAlignedObjectArray, //42, //19, //246, //extern/bullet2/src/LinearMath/btAlignedObjectArray.h, //46
ntlVector3Dim, //147, //5, //287, //intern/elbeem/intern/ntl_vector3dim.h, //116
CTR_TaggedIndex, //8, //1, //108, //intern/container/CTR_TaggedIndex.h, //62
CTR_UHeap, //4, //1, //153, //intern/container/CTR_UHeap.h, //101
MEM_SmartPtr, //60, //25, //58, //intern/memutil/MEM_SmartPtr.h, //110
MT::Vector3, //82, //3, //113, //extern/solid/include/MT/Vector3.h, //38
FTVector, //4, //3, //146, //extern/bFTGL/include/FTVector.h, //10
GEN_Map, //27, //20, //98, //intern/moto/include/GEN_Map.h, //36
ntlMatrix4x4, //108, //5, //433, //intern/elbeem/intern/ntl_matrices.h, //17
MT::Transform, //14, //2, //128, //extern/solid/include/MT/Transform.h, //33
MT::Interval, //22, //2, //45, //extern/solid/include/MT/Interval.h, //39
CTR_TaggedSetOps, //9, //4, //145, //intern/container/CTR_TaggedSetOps.h, //74
NM_Scalar, //26, //1, //44, //intern/moto/include/NM_Scalar.h, //36
KX_RayCast::Callback, //3, //3, //16, //source/gameengine/Ketsji/KX_RayCast.h, //87
btAlignedAllocator, //5, //4, //29, //extern/bullet2/src/LinearMath/btAlignedAllocator.h, //34
MT::Tuple3, //5, //3, //60, //extern/solid/include/MT/Tuple3.h, //38
AlgoTable, //4, //4, //14, //extern/solid/src/DT_AlgoTable.h, //30
DT_DuoPack, //13, //2, //15, //extern/solid/src/complex/DT_BBoxTree.h, //146
DT_HybridPack, //3, //2, //10, //extern/solid/src/complex/DT_BBoxTree.h, //133
DT_ObjectData, //7, //1, //17, //extern/solid/src/complex/DT_BBoxTree.h, //99
DT_Pack, //9, //2, //11, //extern/solid/src/complex/DT_BBoxTree.h, //119
DT_RootData, //5, //2, //10, //extern/solid/src/complex/DT_BBoxTree.h, //86
FTList, //1, //1, //67, //extern/bFTGL/include/FTList.h, //10
MT::Matrix3x3, //44, //2, //267, //extern/solid/include/MT/Matrix3x3.h, //41
MT::Quaternion, //56, //2, //137, //extern/solid/include/MT/Quaternion.h, //39
DT_Array, //1, //1, //32, //extern/solid/src/convex/DT_Array.h, //34
CTR_Map, //0, //0, //98, //intern/container/CTR_Map.h, //36
AnimChannel, //75, //15, //68, //intern/elbeem/intern/attributes.h, //22
dArray, //8, //5, //42, //extern/ode/dist/ode/src/array.h, //84
GEN_Map, //0, //0, //98, //source/kernel/gen_system/GEN_Map.h, //36
MEM_RefCountPtr, //0, //0, //65, //intern/memutil/MEM_RefCountPtr.h, //175
HalfArray, //1, //1, //37, //source/gameengine/SceneGraph/SG_Tree.cpp, //175
MEM_CacheLimiter, //5, //2, //43, //intern/memutil/MEM_CacheLimiter.h, //126
MEM_CacheLimiterHandle, //10, //2, //46, //intern/memutil/MEM_CacheLimiter.h, //76
MT::Tuple4, //1, //1, //52, //extern/solid/include/MT/Tuple4.h, //38
GEN_SmartPtr, //0, //0, //58, //source/kernel/gen_system/GEN_SmartPtr.h, //106
GEN_DataCache, //0, //0, //32, //source/kernel/gen_system/GEN_DataCache.h, //39
Scalar_traits, //74, //3, //1, //extern/solid/include/MT_Scalar.h, //44
btAlignedAllocator::rebind, //0, //0, //3, //extern/bullet2/src/LinearMath/btAlignedAllocator.h, //68
