class template, instantiations, multiple overload instantiations, loc, definition file path, line
threading::InputMessage, //0, //0, //10, //src/threading/MsgThread.h, //380
threading::OutputMessage, //2, //1, //10, //src/threading/MsgThread.h, //409
threading::Queue, //12, //3, //133, //src/threading/Queue.h, //29
H3, //2, //1, //43, //src/H3.h, //65

function template, instantiations, multiple overload instantiations, loc, definition file path, line
match_not_and, //1, //1, //10, //src/RuleMatcher.cc, //469
match_not_and, //1, //1, //12, //src/RuleMatcher.cc, //482
match_or, //5, //1, //9, //src/RuleMatcher.cc, //442
match_or, //5, //1, //12, //src/RuleMatcher.cc, //454
plugin::Manager::Components, //1, //1, //15, //src/plugin/Manager.h, //103
atoi_n, //12, //3, //33, //src/util.cc, //416
CompositeHash::AlignAndPadType, //13, //1, //4, //src/CompHash.h, //54
CompositeHash::AlignType, //13, //1, //4, //src/CompHash.h, //60
delete_each, //2, //1, //6, //src/util.h, //94
CompositeHash::SizeAlignType, //0, //0, //4, //src/CompHash.h, //66

