class template, instantiations, multiple overload instantiations, loc, definition file path, line
capnproto::Array, //12, //3, //52, //c++/src/capnproto/type-safety.h, //112
capnproto::ArrayPtr, //104, //6, //28, //c++/src/capnproto/type-safety.h, //61
capnproto::Quantity, //72, //37, //114, //c++/src/capnproto/type-safety.h, //269
capnproto::UnitRatio, //11, //9, //28, //c++/src/capnproto/type-safety.h, //218
capnproto::benchmark::ProducerConsumerQueue, //8, //1, //38, //c++/src/capnproto/benchmark/common.h, //85
capnproto::internal::IndexingIterator, //12, //10, //34, //c++/src/capnproto/list.h, //94
capnproto::internal::TemporaryPointer, //1, //1, //8, //c++/src/capnproto/list.h, //78
capnproto::benchmark::capnp::NoScratch::ArrayMessageReader, //0, //0, //5, //c++/src/capnproto/benchmark/capnproto-common.h, //141
capnproto::benchmark::capnp::NoScratch::MessageReader, //0, //0, //5, //c++/src/capnproto/benchmark/capnproto-common.h, //134
capnproto::benchmark::capnp::UseScratch::ArrayMessageReader, //0, //0, //6, //c++/src/capnproto/benchmark/capnproto-common.h, //199
capnproto::benchmark::capnp::UseScratch::MessageReader, //0, //0, //6, //c++/src/capnproto/benchmark/capnproto-common.h, //191
capnproto::internal::WireValue, //6, //1, //9, //c++/src/capnproto/layout.h, //129
capnproto::Id, //2, //2, //11, //c++/src/capnproto/type-safety.h, //188
capnproto::NoInfer, //8, //1, //3, //c++/src/capnproto/type-safety.h, //47
capnproto::List, //0, //0, //48, //c++/src/capnproto/list.h, //142
capnproto::List, //0, //0, //36, //c++/src/capnproto/list.h, //205
capnproto::List, //0, //0, //39, //c++/src/capnproto/list.h, //251
capnproto::List, //0, //0, //39, //c++/src/capnproto/list.h, //300
capnproto::internal::FieldSizeForType, //3, //1, //1, //c++/src/capnproto/list.h, //59
capnproto::internal::FieldSizeForType, //0, //0, //3, //c++/src/capnproto/list.h, //73
capnproto::internal::IsPrimitive, //1, //1, //1, //c++/src/capnproto/list.h, //41
capnproto::internal::IsPrimitive, //0, //0, //3, //c++/src/capnproto/list.h, //55
capnproto::benchmark::protobuf::BenchmarkMethods, //0, //0, //131, //c++/src/capnproto/benchmark/protobuf-common.h, //176
capnproto::benchmark::protobuf::BenchmarkTypes::BenchmarkMethods, //0, //0, //2, //c++/src/capnproto/benchmark/protobuf-common.h, //355
capnproto::benchmark::protobuf::ReusableMessages::Message, //0, //0, //4, //c++/src/capnproto/benchmark/protobuf-common.h, //61
capnproto::benchmark::protobuf::SingleUseMessages::Message, //0, //0, //6, //c++/src/capnproto/benchmark/protobuf-common.h, //41
capnproto::benchmark::capnp::BenchmarkMethods, //0, //0, //130, //c++/src/capnproto/benchmark/capnproto-common.h, //239
capnproto::benchmark::capnp::BenchmarkTypes::BenchmarkMethods, //0, //0, //1, //c++/src/capnproto/benchmark/capnproto-common.h, //410
capnproto::benchmark::null::BenchmarkMethods, //0, //0, //45, //c++/src/capnproto/benchmark/null-common.h, //103
capnproto::benchmark::null::BenchmarkTypes::BenchmarkMethods, //0, //0, //1, //c++/src/capnproto/benchmark/null-common.h, //171
capnproto::benchmark::null::List, //1, //1, //11, //c++/src/capnproto/benchmark/null-common.h, //51

function template, instantiations, multiple overload instantiations, loc, definition file path, line
capnproto::move, //4, //1, //1, //c++/src/capnproto/type-safety.h, //54
capnproto::Quantity::Quantity, //4, //1, //2, //c++/src/capnproto/type-safety.h, //320
capnproto::Quantity::operator-=, //1, //1, //4, //c++/src/capnproto/type-safety.h, //409
capnproto::Quantity::operator>, //2, //1, //3, //c++/src/capnproto/type-safety.h, //399
capnproto::arrayPtr, //6, //1, //3, //c++/src/capnproto/type-safety.h, //100
capnproto::operator*, //79, //1, //4, //c++/src/capnproto/type-safety.h, //444
capnproto::operator+, //11, //1, //3, //c++/src/capnproto/type-safety.h, //583
capnproto::operator+=, //7, //1, //3, //c++/src/capnproto/type-safety.h, //587
capnproto::Quantity::operator!=, //0, //0, //3, //c++/src/capnproto/type-safety.h, //383
