class template, instantiations, multiple overload instantiations, loc, definition file path, line
scoped_refptr, //22645, //1809, //85, //base/memory/ref_counted.h, //266
base::WeakPtrFactory, //1678, //1593, //24, //base/memory/weak_ptr.h, //260
scoped_ptr, //43306, //7116, //60, //base/memory/scoped_ptr.h, //312
IDMap, //112, //69, //175, //base/id_map.h, //34
IDMap::Iterator, //6, //4, //57, //base/id_map.h, //155
ObserverList, //559, //285, //17, //base/observer_list.h, //208
ObserverListBase, //1558, //19, //107, //base/observer_list.h, //64
base::BasicStringPiece, //48, //4, //145, //base/strings/string_piece.h, //162
base::RepeatingTimer, //105, //95, //1, //base/timer/timer.h, //237
ScopedVector, //2127, //415, //90, //base/memory/scoped_vector.h, //19
content::ClientStateNotification, //21, //2, //30, //content/common/gpu/media/video_accelerator_unittest_helpers.h, //22
base::WeakPtr, //2403, //519, //37, //base/memory/weak_ptr.h, //193
base::RefCountedThreadSafe, //614, //557, //18, //base/memory/ref_counted.h, //173
base::DelayTimer, //17, //12, //12, //base/timer/timer.h, //251
base::LazyInstance, //639, //499, //46, //base/lazy_instance.h, //124
base::RefCounted, //263, //247, //16, //base/memory/ref_counted.h, //123
base::ThreadLocalPointer, //50, //37, //21, //base/threading/thread_local.h, //84
net::EventWaiter, //4, //2, //18, //net/test/event_waiter.h, //14
url::CanonOutputT, //12, //4, //64, //url/url_canon.h, //28
content::WebContentsUserData, //131, //64, //22, //content/public/browser/web_contents_user_data.h, //31
media::CallbackHolder, //8, //3, //54, //media/base/callback_holder.h, //16
extensions::ApiResourceManager, //98, //22, //280, //extensions/browser/api/api_resource_manager.h, //109
extensions::BrowserContextKeyedAPIFactory, //400, //91, //116, //extensions/browser/browser_context_keyed_api_factory.h, //72
base::DeleteHelper, //101, //99, //8, //base/sequenced_task_runner_helpers.h, //35
PrefMember, //32, //6, //131, //base/prefs/pref_member.h, //163
syncer::EnumSet, //24, //5, //118, //sync/internal_api/public/base/enum_set.h, //43
net::ExpiringCache, //4, //2, //89, //net/base/expiring_cache.h, //74
base::win::GenericScopedHandle, //10, //10, //56, //base/win/scoped_handle.h, //34
IPC::MessageSchema, //1523, //1, //19, //ipc/ipc_message_utils.h, //788
IPC::ParamDeserializer, //0, //0, //9, //ipc/ipc_message_utils.h, //847
IPC::SyncMessageSchema, //251, //1, //68, //ipc/ipc_message_utils.h, //861
base::SupportsWeakPtr, //2, //2, //12, //base/memory/weak_ptr.h, //298
content::RendererDataMemoizingStore, //2, //2, //124, //content/browser/renderer_data_memoizing_store.h, //30
ScopedObserver, //169, //59, //30, //base/scoped_observer.h, //18
pp::CompletionCallbackFactory, //79, //50, //407, //ppapi/utility/completion_callback_factory.h, //189
cc::OcclusionTracker, //83, //4, //285, //cc/trees/occlusion_tracker.h, //34
gfx::InsetsBase, //0, //0, //44, //ui/gfx/geometry/insets_base.h, //15
cc::ListContainer, //128, //5, //660, //cc/quads/list_container.h, //25
content::Details, //238, //70, //8, //content/public/browser/notification_details.h, //47
content::Source, //577, //46, //8, //content/public/browser/notification_source.h, //45
linked_ptr, //701, //194, //68, //media/cdm/ppapi/linked_ptr.h, //80
pp::CompletionCallbackWithOutput, //99, //33, //29, //ppapi/cpp/completion_callback.h, //187
TestCompletionCallbackWithOutput, //50, //18, //59, //ppapi/tests/test_utils.h, //191
url::StringPieceReplacements, //2, //2, //27, //url/url_canon_stdstring.h, //57
base::internal::CallbackListBase, //5, //1, //95, //base/callback_list.h, //76
cc::LayerIterator, //38, //3, //141, //cc/layers/layer_iterator.h, //104
cc::ScopedPtrVector, //83, //29, //158, //cc/base/scoped_ptr_vector.h, //21
extensions::ExtensionManagementPrefUpdater, //3, //2, //21, //chrome/browser/extensions/extension_management_test_util.h, //107
remoting::protocol::ProtobufMessageParser, //5, //4, //32, //remoting/protocol/protobuf_message_parser.h, //20
Singleton, //423, //401, //32, //base/memory/singleton.h, //215
content::BrowserChildProcessHostTypeIterator, //0, //0, //12, //content/public/browser/browser_child_process_host_iterator.h, //50
sdk_util::ScopedRef, //47, //22, //39, //native_client_sdk/src/libraries/sdk_util/scoped_ref.h, //35
ScopedPtrExpiringCache, //2, //2, //48, //chrome/browser/android/thumbnail/scoped_ptr_expiring_cache.h, //12
syncer::WeakHandle, //120, //18, //69, //sync/internal_api/public/util/weak_handle.h, //275
syncer::internal::WeakHandleCore, //3, //1, //114, //sync/internal_api/public/util/weak_handle.h, //128
base::LinkNode, //17, //4, //40, //base/containers/linked_list.h, //85
base::LinkedList, //8, //4, //20, //base/containers/linked_list.h, //142
blink::GarbageCollected, //0, //0, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //150
blink::Member, //96, //9, //6, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //155
base::BaseTimerMethodPointer, //0, //0, //13, //base/timer/timer.h, //204
base::OneShotTimer, //262, //209, //1, //base/timer/timer.h, //232
ScopedLsaMemory, //0, //0, //24, //cloud_print/service/win/local_security_policy.cc, //23
ScopedUserPrefUpdate, //2, //2, //17, //base/prefs/scoped_user_pref_update.h, //67
base::scoped_nsobject, //257, //182, //16, //base/mac/scoped_nsobject.h, //118
ui::TreeNode, //2, //2, //77, //ui/base/models/tree_node_model.h, //64
extensions::MockExtensionSystemFactory, //1, //1, //21, //extensions/browser/mock_extension_system.h, //65
ppapi::thunk::EnterResource, //288, //59, //27, //ppapi/thunk/enter.h, //173
base::ScopedGeneric, //10, //4, //65, //base/scoped_generic.h, //55
ppapi::thunk::EnterResourceNoLock, //64, //22, //11, //ppapi/thunk/enter.h, //211
url::RawCanonOutputW, //6, //2, //1, //url/url_canon.h, //180
PluginTest::Register, //23, //22, //10, //content/shell/tools/plugin/PluginTest.h, //146
content::ScopedFramebufferBinder, //7, //1, //7, //content/common/gpu/client/gl_helper.h, //119
content::ScopedTextureBinder, //17, //1, //6, //content/common/gpu/client/gl_helper.h, //128
blink::VisitorHelper, //0, //0, //5, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //208
base::win::EtwTraceConsumerBase, //5, //2, //79, //base/win/event_trace_consumer.h, //32
logging_win::LogFileReader::TraceConsumer, //1, //1, //8, //chrome/test/logging/win/log_file_reader.cc, //76
media::CdmWrapperImpl, //0, //0, //110, //media/cdm/ppapi/cdm_wrapper.h, //103
base::ScopedPtrHashMap, //64, //51, //99, //base/containers/scoped_ptr_hash_map.h, //23
base::AutoReset, //155, //24, //13, //base/auto_reset.h, //22
syncer::Immutable, //23, //17, //11, //sync/internal_api/public/util/immutable.h, //233
base::StringTokenizerT, //8, //5, //116, //base/strings/string_tokenizer.h, //92
media::CdmPromiseTemplate, //8, //2, //20, //media/base/cdm_promise.h, //76
media::MojoCdmPromise, //6, //2, //43, //media/mojo/services/mojo_cdm_promise.h, //18
content::RenderFrameObserverTracker, //7, //1, //19, //content/public/renderer/render_frame_observer_tracker.h, //38
content::RenderViewObserverTracker, //5, //1, //19, //content/public/renderer/render_view_observer_tracker.h, //38
url::Replacements, //59, //3, //82, //url/url_canon.h, //638
base::mac::ScopedBlock, //8, //7, //56, //base/mac/scoped_block.h, //21
policy::CloudPolicyValidator, //2, //2, //31, //components/policy/core/common/cloud/cloud_policy_validator.h, //309
extensions::BaseSetOperators, //1, //1, //213, //extensions/common/permissions/base_set_operators.h, //27
gfx::BreakList, //41, //4, //108, //ui/gfx/break_list.h, //27
net::internal::TestCompletionCallbackTemplate, //2, //2, //23, //net/base/test_completion_callback.h, //50
gpu::ScopedTransferBufferArray, //1, //1, //15, //gpu/command_buffer/client/transfer_buffer.h, //177
gin::Handle, //44, //28, //19, //gin/handle.h, //17
net::NoopEvictionHandler, //0, //0, //9, //net/base/expiring_cache.h, //20
disk_cache::StorageBlock, //31, //7, //195, //net/disk_cache/blockfile/storage_block.h, //31
base::TaskRunnerTest, //0, //0, //6, //base/test/task_runner_test_template.h, //102
WTF::RefCounted, //0, //0, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //20
WTF::RefPtr, //8, //5, //6, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //28
WTF::Vector, //6, //6, //7, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //68
blink::GarbageCollectedFinalized, //0, //0, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //153
pp::ArrayOutputAdapter, //0, //0, //18, //ppapi/cpp/array_output.h, //84
leveldb_proto::test::FakeDB, //35, //3, //96, //components/leveldb_proto/testing/fake_db.h, //21
nacl_io::TypedFsFactory, //8, //7, //12, //native_client_sdk/src/libraries/nacl_io/typed_fs_factory.h, //13
media::Ranges, //64, //7, //81, //media/base/ranges.h, //23
base::RefCountedDeleteOnMessageLoop, //6, //6, //27, //base/memory/ref_counted_delete_on_message_loop.h, //34
PrintingTest, //0, //0, //20, //printing/printing_test.h, //19
content::ContentDecryptorDelegate::TrackableCallback, //6, //4, //23, //content/renderer/pepper/content_decryptor_delegate.h, //142
content::RemoteMediaStreamTrackAdapter, //2, //0, //54, //content/renderer/media/remote_media_stream_impl.cc, //78
cc::AdditionGroup, //8, //1, //17, //cc/base/synced_property.h, //141
cc::SyncedProperty, //13, //1, //59, //cc/base/synced_property.h, //25
CheckReturnValue, //1, //1, //27, //courgette/memory_allocator.h, //19
WDResult, //21, //8, //14, //components/webdata/common/web_data_results.h, //64
autofill::FormGroupMatchesByGUIDFunctor, //6, //1, //14, //components/autofill/core/browser/personal_data_manager.cc, //45
autofill::IsEmptyFunctor, //2, //2, //11, //components/autofill/core/browser/personal_data_manager.cc, //77
STLValueDeleter, //29, //19, //7, //base/stl_util.h, //190
disk_cache::simple_util::ImmutableArray, //1, //1, //15, //net/disk_cache/simple/simple_test_util.h, //22
base::win::ScopedCoMem, //12, //2, //33, //base/win/scoped_co_mem.h, //23
ObserverListThreadSafe, //61, //18, //112, //base/observer_list_threadsafe.h, //94
syncer::Ordinal, //69, //6, //266, //sync/internal_api/public/base/ordinal.h, //58
ppapi::thunk::EnterInstanceAPI, //56, //12, //26, //ppapi/thunk/enter.h, //261
ui::ListModel, //9, //3, //89, //ui/base/models/list_model.h, //21
sandbox::ActualCallParams, //20, //11, //61, //sandbox/win/src/crosscall_params.h, //198
url::RawCanonOutputT, //13, //6, //22, //url/url_canon.h, //146
base::AlignedMemory, //0, //0, //29, //base/memory/aligned_memory.h, //78
base::AlignedMemory, //0, //0, //28, //base/memory/aligned_memory.h, //79
base::AlignedMemory, //0, //0, //27, //base/memory/aligned_memory.h, //80
base::AlignedMemory, //0, //0, //26, //base/memory/aligned_memory.h, //81
base::AlignedMemory, //0, //0, //25, //base/memory/aligned_memory.h, //82
base::AlignedMemory, //0, //0, //24, //base/memory/aligned_memory.h, //83
base::AlignedMemory, //0, //0, //23, //base/memory/aligned_memory.h, //84
base::AlignedMemory, //0, //0, //22, //base/memory/aligned_memory.h, //85
base::AlignedMemory, //0, //0, //21, //base/memory/aligned_memory.h, //86
base::AlignedMemory, //0, //0, //20, //base/memory/aligned_memory.h, //87
base::AlignedMemory, //0, //0, //19, //base/memory/aligned_memory.h, //88
base::AlignedMemory, //0, //0, //18, //base/memory/aligned_memory.h, //89
base::AlignedMemory, //0, //0, //17, //base/memory/aligned_memory.h, //90
base::internal::CheckedNumeric, //176, //13, //126, //base/numerics/safe_math.h, //45
UniqueVector, //94, //9, //51, //tools/gn/unique_vector.h, //106
MockURLFetcherFactory, //7, //5, //26, //google_apis/gaia/mock_url_fetcher_factory.h, //43
dbus::Property, //192, //19, //278, //dbus/property.h, //355
google_apis::drive::DriveApiDataRequest, //0, //0, //48, //google_apis/drive/drive_api_requests.h, //102
content::WebMethodTask, //0, //0, //18, //content/shell/renderer/test_runner/web_task.h, //51
courgette::NoThrowBuffer, //7, //7, //130, //courgette/memory_allocator.h, //300
