class template, instantiations, multiple overload instantiations, loc, definition file path, line
scoped_refptr, //21525, //1749, //85, //base/memory/ref_counted.h, //266
base::ScopedGeneric, //8, //4, //61, //base/scoped_generic.h, //55
ObserverList, //545, //280, //17, //base/observer_list.h, //209
ObserverListBase, //1477, //19, //108, //base/observer_list.h, //64
ScopedObserver, //148, //45, //30, //base/scoped_observer.h, //18
base::RefCountedThreadSafe, //610, //551, //18, //base/memory/ref_counted.h, //173
base::BasicStringPiece, //40, //4, //145, //base/strings/string_piece.h, //162
base::WeakPtrFactory, //1568, //1489, //24, //base/memory/weak_ptr.h, //260
base::RefCounted, //256, //240, //16, //base/memory/ref_counted.h, //123
ScopedVector, //1800, //408, //89, //base/memory/scoped_vector.h, //18
base::LazyInstance, //623, //494, //46, //base/lazy_instance.h, //124
IDMap, //129, //68, //175, //base/id_map.h, //34
linked_hash_map, //6, //4, //130, //net/base/linked_hash_map.h, //31
dbus::Property, //154, //18, //195, //dbus/property.h, //353
base::OneShotTimer, //248, //201, //1, //base/timer/timer.h, //231
base::WeakPtr, //2187, //468, //37, //base/memory/weak_ptr.h, //193
net::internal::TestCompletionCallbackTemplate, //2, //2, //23, //net/base/test_completion_callback.h, //50
linked_ptr, //678, //188, //68, //media/cdm/ppapi/linked_ptr.h, //80
base::SupportsWeakPtr, //2, //2, //12, //base/memory/weak_ptr.h, //298
STLValueDeleter, //28, //18, //7, //base/stl_util.h, //183
WTF::Deque, //1, //1, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //80
WTF::HashCountedSet, //1, //1, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //108
WTF::HashMap, //2, //2, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //117
WTF::HashSet, //1, //1, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //87
WTF::LinkedHashSet, //1, //1, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //101
WTF::ListHashSet, //1, //1, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //94
WTF::OwnPtr, //7, //5, //6, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //35
WTF::RawPtr, //1, //1, //5, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //22
WTF::RefCounted, //0, //0, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //20
WTF::RefPtr, //8, //5, //6, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //28
WTF::Vector, //6, //6, //7, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //68
WTF::VectorDestructorBase, //0, //0, //4, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //53
WTF::VectorDestructorBase, //0, //0, //2, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //59
blink::GarbageCollected, //0, //0, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //150
blink::GarbageCollectedFinalized, //0, //0, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //153
blink::HeapDeque, //1, //1, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //185
blink::HeapHashCountedSet, //1, //1, //2, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //198
blink::HeapHashMap, //2, //2, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //202
blink::HeapHashSet, //4, //3, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //188
blink::HeapLinkedHashSet, //1, //1, //2, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //194
blink::HeapListHashSet, //1, //1, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //191
blink::HeapVector, //11, //8, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //182
blink::Member, //75, //9, //6, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //155
blink::Persistent, //6, //5, //6, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //169
blink::PersistentHeapVector, //1, //1, //1, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //205
blink::VisitorHelper, //0, //0, //5, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //208
blink::WeakMember, //5, //1, //6, //tools/clang/blink_gc_plugin/tests/heap/stubs.h, //162
base::debug::LeakTracker, //20, //8, //46, //base/debug/leak_tracker.h, //67
content::Source, //600, //48, //8, //content/public/browser/notification_source.h, //45
base::scoped_nsobject, //239, //171, //12, //base/mac/scoped_nsobject.h, //113
ppapi::thunk::EnterResource, //268, //56, //27, //ppapi/thunk/enter.h, //173
ppapi::thunk::EnterResourceNoLock, //66, //23, //11, //ppapi/thunk/enter.h, //211
base::BaseTimerMethodPointer, //0, //0, //13, //base/timer/timer.h, //203
syncer::EnumSet, //24, //5, //118, //sync/internal_api/public/base/enum_set.h, //43
syncer::Immutable, //23, //17, //11, //sync/internal_api/public/util/immutable.h, //233
syncer::WeakHandle, //120, //18, //69, //sync/internal_api/public/util/weak_handle.h, //275
extensions::BrowserContextKeyedAPIFactory, //393, //91, //118, //extensions/browser/browser_context_keyed_api_factory.h, //72
url::Replacements, //62, //3, //82, //url/url_canon.h, //638
url::StdStringReplacements, //3, //2, //27, //url/url_canon_stdstring.h, //56
ObserverListThreadSafe, //60, //17, //109, //base/observer_list_threadsafe.h, //94
cc::ScopedPtrVector, //80, //27, //158, //cc/base/scoped_ptr_vector.h, //21
pp::CompletionCallbackFactory, //77, //50, //407, //ppapi/utility/completion_callback_factory.h, //189
Singleton, //401, //386, //35, //base/memory/singleton.h, //216
content::WebContentsUserData, //121, //60, //22, //content/public/browser/web_contents_user_data.h, //31
IPC::MessageSchema, //1504, //1, //19, //ipc/ipc_message_utils.h, //805
IPC::SyncMessageSchema, //258, //1, //88, //ipc/ipc_message_utils.h, //878
content::Details, //266, //78, //8, //content/public/browser/notification_details.h, //47
ui::TreeNode, //2, //2, //77, //ui/base/models/tree_node_model.h, //64
leveldb_proto::ProtoDatabase, //40, //3, //16, //components/leveldb_proto/proto_database.h, //21
net::ClientSocketPoolBase, //6, //6, //157, //net/socket/client_socket_pool_base.h, //660
base::RepeatingTimer, //101, //92, //1, //base/timer/timer.h, //236
mojo::Array, //161, //19, //91, //mojo/public/cpp/bindings/array.h, //22
mojo::ScopedHandleBase, //21, //11, //48, //mojo/public/cpp/system/handle.h, //86
IDMap::Iterator, //6, //4, //57, //base/id_map.h, //155
PrefMember, //32, //6, //130, //base/prefs/pref_member.h, //163
base::internal::CallbackListBase, //5, //1, //95, //base/callback_list.h, //76
base::DeleteHelper, //85, //84, //8, //base/sequenced_task_runner_helpers.h, //35
cc::ListContainer, //126, //4, //661, //cc/quads/list_container.h, //25
ppapi::thunk::EnterInstanceAPI, //59, //13, //26, //ppapi/thunk/enter.h, //261
aura::WindowPropertyCaster, //19, //1, //5, //ui/aura/window_property.h, //54
disk_cache::StorageBlock, //31, //7, //195, //net/disk_cache/blockfile/storage_block.h, //31
base::StringTokenizerT, //8, //5, //116, //base/strings/string_tokenizer.h, //92
mojo::internal::SharedData, //7, //3, //44, //mojo/public/cpp/bindings/lib/shared_data.h, //15
mojo::internal::SharedPtr, //4, //2, //24, //mojo/public/cpp/bindings/lib/shared_ptr.h, //17
extensions::ApiResourceManager, //103, //24, //285, //extensions/browser/api/api_resource_manager.h, //109
base::win::GenericScopedHandle, //10, //10, //56, //base/win/scoped_handle.h, //34
forwarder2::FixedSizeStringBuilder, //1, //1, //28, //tools/android/forwarder2/common.h, //51
ScopedUserPrefUpdate, //2, //2, //17, //base/prefs/scoped_user_pref_update.h, //67
base::mac::ScopedBlock, //8, //7, //56, //base/mac/scoped_block.h, //21
base::LinkNode, //16, //3, //40, //base/containers/linked_list.h, //85
base::LinkedList, //6, //4, //20, //base/containers/linked_list.h, //142
pp::CompletionCallbackWithOutput, //93, //32, //29, //ppapi/cpp/completion_callback.h, //187
base::DelayTimer, //17, //12, //12, //base/timer/timer.h, //250
base::StackAllocator, //10, //7, //50, //base/containers/stack_container.h, //37
base::StackContainer, //0, //0, //23, //base/containers/stack_container.h, //138
base::StackVector, //17, //13, //24, //base/containers/stack_container.h, //229
base::AlignedData, //2, //2, //6, //base/containers/stack_container_unittest.cc, //105
STLElementDeleter, //5, //5, //7, //base/stl_util.h, //171
content::RenderFrameObserverTracker, //4, //1, //18, //content/public/renderer/render_frame_observer_tracker.h, //38
base::ThreadLocalPointer, //43, //35, //21, //base/threading/thread_local.h, //84
extensions::DeclarativeActionSet, //12, //4, //87, //extensions/browser/api/declarative/declarative_rule.h, //143
extensions::DeclarativeConditionSet, //11, //5, //104, //extensions/browser/api/declarative/declarative_rule.h, //60
extensions::DeclarativeRule, //9, //4, //113, //extensions/browser/api/declarative/declarative_rule.h, //198
remoting::protocol::ProtobufMessageReader, //4, //3, //31, //remoting/protocol/message_reader.h, //83
gpu::SharedState, //1, //1, //36, //gpu/command_buffer/common/command_buffer_shared.h, //16
gin::Handle, //53, //30, //19, //gin/handle.h, //17
