class template, instantiations, multiple overload instantiations, loc, definition file path, line
base::RefCountedThreadSafe, //467, //425, //18, //base/memory/ref_counted.h, //132
scoped_refptr, //12645, //1370, //54, //ppapi/native_client/src/include/ref_counted.h, //153
base::RefCounted, //199, //190, //16, //base/memory/ref_counted.h, //82
scoped_ptr, //23169, //4284, //57, //base/memory/scoped_ptr.h, //310
chromeos::CrosLibrary::Library, //1, //1, //26, //chrome/browser/chromeos/cros/cros_library.h, //71
IPC::SyncMessageSchema, //321, //1, //88, //ipc/ipc_message_utils.h, //794
base::BasicStringPiece, //5, //3, //18, //base/strings/string_piece.h, //218
base::StringTokenizerT, //6, //5, //116, //base/strings/string_tokenizer.h, //92
base::WeakPtrFactory, //859, //802, //24, //base/memory/weak_ptr.h, //268
base::AutoReset, //101, //10, //13, //base/auto_reset.h, //22
gfx::SizeBase, //1, //1, //40, //ui/gfx/size_base.h, //14
content::Details, //537, //119, //8, //content/public/browser/notification_details.h, //47
content::WebContentsUserData, //94, //46, //22, //content/public/browser/web_contents_user_data.h, //31
content::Source, //882, //67, //8, //content/public/browser/notification_source.h, //45
gfx::PointBase, //3, //1, //46, //ui/gfx/point_base.h, //18
gfx::RectBase, //20, //4, //326, //ui/gfx/rect_base.h, //27
scoped_ptr_malloc, //67, //23, //60, //base/memory/scoped_ptr.h, //579
base::SupportsWeakPtr, //5, //5, //15, //base/memory/weak_ptr.h, //306
IDMap, //79, //45, //162, //base/id_map.h, //34
ScopedVector, //889, //223, //84, //base/memory/scoped_vector.h, //17
base::WeakPtr, //1097, //248, //37, //base/memory/weak_ptr.h, //201
base::android::JavaRef, //77, //3, //61, //base/android/scoped_java_ref.h, //58
base::android::ScopedJavaLocalRef, //489, //12, //41, //base/android/scoped_java_ref.h, //83
pp::ext::Optional, //39, //4, //61, //ppapi/cpp/extensions/optional.h, //12
pp::ext::internal::FromVarConverter, //11, //5, //15, //ppapi/cpp/extensions/from_var_converter.h, //41
pp::ext::internal::FromVarConverter, //0, //0, //20, //ppapi/cpp/extensions/from_var_converter.h, //62
pp::ext::internal::FromVarConverterBase, //11, //10, //12, //ppapi/cpp/extensions/from_var_converter.h, //23
IPC::MessageSchema, //1233, //1, //19, //ipc/ipc_message_utils.h, //722
base::OneShotTimer, //211, //168, //1, //base/timer/timer.h, //210
base::DeleteHelper, //80, //78, //8, //base/sequenced_task_runner_helpers.h, //34
syncer::EnumSet, //24, //5, //118, //sync/internal_api/public/base/enum_set.h, //43
base::LazyInstance, //409, //327, //47, //base/lazy_instance.h, //121
linked_ptr, //535, //138, //67, //webkit/renderer/media/crypto/ppapi/linked_ptr.h, //80
extensions::DeclarativeRule, //9, //4, //110, //chrome/browser/extensions/api/declarative/declarative_rule.h, //181
base::scoped_nsobject, //164, //116, //12, //base/mac/scoped_nsobject.h, //113
cc::ProgramBinding, //25, //25, //33, //cc/output/program_binding.h, //51
net::SocketDataProviderArray, //10, //3, //19, //net/socket/socket_test_util.h, //543
syncer::WeakHandle, //142, //20, //69, //sync/internal_api/public/util/weak_handle.h, //275
Singleton, //310, //298, //35, //base/memory/singleton.h, //212
cc::ScopedPtrVector, //58, //15, //125, //cc/base/scoped_ptr_vector.h, //21
url_canon::Replacements, //54, //3, //82, //url/url_canon.h, //640
url_canon::StdStringReplacements, //2, //2, //36, //url/url_canon_stdstring.h, //70
base::StackVector, //19, //10, //24, //base/containers/stack_container.h, //222
RefCountedVector, //5, //2, //9, //chrome/common/ref_counted_util.h, //14
cc::RingBuffer, //6, //4, //76, //cc/debug/ring_buffer.h, //13
content::BrowserChildProcessHostTypeIterator, //0, //0, //12, //content/public/browser/browser_child_process_host_iterator.h, //49
base::win::GenericScopedHandle, //7, //7, //75, //base/win/scoped_handle.h, //39
base::win::ScopedCoMem, //11, //2, //30, //base/win/scoped_co_mem.h, //23
pp::CompletionCallbackFactory, //42, //32, //496, //ppapi/utility/completion_callback_factory.h, //193
ppapi::thunk::EnterResource, //203, //50, //27, //ppapi/thunk/enter.h, //176
ObserverList, //366, //197, //17, //base/observer_list.h, //184
net::MockCookieCallback, //0, //0, //6, //net/cookies/cookie_monster_unittest.cc, //613
base::BaseTimerMethodPointer, //0, //0, //13, //base/timer/timer.h, //182
