class template, instantiations, multiple overload instantiations, loc, definition file path, line
List, //80, //22, //201, //src/add-ons/kernel/file_systems/reiserfs/List.h, //43
TMessageItemTest, //29, //0, //419, //src/tests/kits/app/bmessage/MessageItemTest.h, //172
Array, //63, //16, //192, //src/apps/debugger/util/Array.h, //14
CppUnit::TestCaller, //48, //47, //61, //headers/tools/cppunit/cppunit/TestCaller.h, //103
DoublyLinkedList, //194, //116, //394, //headers/private/kernel/util/DoublyLinkedList.h, //117
AutoLocker, //275, //26, //68, //src/tests/add-ons/kernel/file_systems/userlandfs/r5/headers/shared/AutoLocker.h, //83
Chain, //6, //3, //33, //src/tests/add-ons/kernel/file_systems/bfs/r5/Chain.h, //15
Map, //24, //12, //145, //headers/private/media/TMap.h, //7
Stack, //84, //12, //415, //src/add-ons/kernel/file_systems/ramfs/Stack.h, //13
PackBits, //2, //2, //91, //src/libs/print/libprint/PackBits.cpp, //37
BPrivate::AutoDeleter, //1, //1, //39, //headers/build/private/shared/AutoDeleter.h, //40
UserlandFSUtil::DLList, //36, //17, //241, //src/tests/add-ons/kernel/file_systems/userlandfs/r5/headers/shared/DLList.h, //87
Vector, //75, //16, //360, //src/tests/add-ons/kernel/file_systems/userlandfs/r5/headers/shared/Vector.h, //48
BObjectList, //449, //153, //464, //headers/private/shared/ObjectList.h, //129
AutoLockerReadLocking, //4, //2, //11, //src/tests/add-ons/kernel/file_systems/userlandfs/r5/headers/shared/AutoLocker.h, //52
AutoLockerWriteLocking, //4, //2, //11, //src/tests/add-ons/kernel/file_systems/userlandfs/r5/headers/shared/AutoLocker.h, //67
DoublyLinkedListCLink, //6, //4, //13, //headers/private/kernel/util/DoublyLinkedList.h, //93
DoublyLinkedListLink, //25, //12, //7, //headers/private/kernel/util/DoublyLinkedList.h, //26
DoublyLinkedListLinkImpl, //0, //0, //13, //headers/private/kernel/util/DoublyLinkedList.h, //37
DoublyLinkedListMemberGetLink, //6, //6, //13, //headers/private/kernel/util/DoublyLinkedList.h, //75
DoublyLinkedListStandardGetLink, //0, //0, //13, //headers/private/kernel/util/DoublyLinkedList.h, //56
CppUnit::TestSuiteBuilder, //0, //0, //66, //headers/tools/cppunit/cppunit/extensions/TestSuiteBuilder.h, //24
KernelUtilsOrder::Ascending, //0, //0, //11, //headers/private/kernel/util/KernelUtilsOrder.h, //39
KernelUtilsOrder::Descending, //0, //0, //11, //headers/private/kernel/util/KernelUtilsOrder.h, //57
Ascending::Strategy, //0, //0, //1, //src/tests/system/kernel/util/OrderedMapTest.h, //153
CompareWrapper, //1, //1, //9, //src/tests/system/kernel/util/OrderedMapTest.h, //166
Descending::Strategy, //0, //0, //1, //src/tests/system/kernel/util/OrderedMapTest.h, //161
ImplicitKeyStrategy, //1, //1, //24, //src/tests/system/kernel/util/OrderedMapTest.h, //119
OrderedMapTest, //17, //5, //132, //src/tests/system/kernel/util/OrderedMapTest.h, //30
PairEntryStrategy, //1, //1, //23, //src/tests/system/kernel/util/OrderedMapTest.h, //89
SimpleValueStrategy, //6, //4, //26, //src/tests/system/kernel/util/OrderedMapTest.h, //55
TestIterator, //3, //3, //107, //src/tests/system/kernel/util/OrderedMapTest.h, //181
TestMap, //1, //1, //256, //src/tests/system/kernel/util/OrderedMapTest.h, //305
TestStrategy, //0, //0, //13, //src/tests/system/kernel/util/OrderedMapTest.h, //596
BPrivate::AutoLocker, //143, //30, //93, //headers/private/shared/AutoLocker.h, //62
ParameterCreator, //0, //0, //16, //src/tools/gensyscalls/arch/arm/arch_gensyscalls.h, //33
ReturnTypeCreator, //0, //0, //11, //src/tools/gensyscalls/arch/arm/arch_gensyscalls.h, //9
