class template, instantiations, multiple overload instantiations, loc, definition file path, line
DoublyLinked::Iterator, //8, //6, //17, //headers/private/kernel/util/DoublyLinkedList.h, //101
DoublyLinked::List, //11, //8, //51, //headers/private/kernel/util/DoublyLinkedList.h, //33
BObjectList, //80, //15, //413, //headers/private/shared/ObjectList.h, //128
TList, //25, //16, //50, //src/tests/kits/midi/synth_file_reader/TList.h, //42
slist, //25, //1, //401, //headers/cpp/stl_slist.h, //300
RtList, //3, //1, //42, //src/add-ons/media/media-add-ons/mixer/RtList.h, //14
Stream, //10, //3, //265, //src/tests/add-ons/kernel/file_systems/bfs/r5/Stream.h, //251
libebml::Endian, //14, //13, //49, //src/add-ons/media/plugins/matroska/libebml/ebml/EbmlEndian.h, //57
valarray, //497, //6, //3311, //headers/cpp/std/std_valarray.h, //117
_Expr, //367, //11, //310, //headers/cpp/std/valarray_meta.h, //636
mask_array, //32, //1, //238, //headers/cpp/std/mask_array.h, //37
Chain, //12, //3, //33, //src/add-ons/kernel/file_systems/bfs/Chain.h, //15
Stack, //31, //5, //227, //src/add-ons/kernel/file_systems/bfs/Stack.h, //13
_BTextViewSupportBuffer_, //5, //0, //80, //headers/private/interface/TextViewSupportBuffer.h, //41
BPrivate::DiskDevice::AutoLocker, //9, //7, //77, //headers/private/kernel/disk_device_manager/KDiskDeviceUtils.h, //133
gslice_array, //33, //1, //248, //headers/cpp/std/gslice_array.h, //37
indirect_array, //32, //1, //241, //headers/cpp/std/indirect_array.h, //37
iapp, //0, //0, //7, //headers/cpp/iomanip.h, //100
imanip, //4, //1, //8, //headers/cpp/iomanip.h, //112
oapp, //0, //0, //7, //headers/cpp/iomanip.h, //132
omanip, //4, //1, //8, //headers/cpp/iomanip.h, //144
sapp, //0, //0, //7, //headers/cpp/iomanip.h, //44
smanip, //17, //1, //10, //headers/cpp/iomanip.h, //58
__default_alloc_template, //28, //4, //194, //headers/cpp/stl_alloc.h, //325
__malloc_alloc_template, //14, //3, //58, //headers/cpp/stl_alloc.h, //147
SinglyLinkedList, //27, //5, //216, //headers/private/kernel/util/SinglyLinkedList.h, //83
SinglyLinkedListIterator, //19, //3, //90, //headers/private/kernel/util/SinglyLinkedList.h, //146
Strategy::SinglyLinkedList::Auto, //0, //0, //34, //headers/private/kernel/util/SinglyLinkedList.h, //29
Strategy::SinglyLinkedList::Private::ListNode, //2, //1, //12, //headers/private/kernel/util/SinglyLinkedList.h, //12
Strategy::SinglyLinkedList::User, //2, //2, //22, //headers/private/kernel/util/SinglyLinkedList.h, //482
Vector, //55, //5, //360, //headers/private/kernel/util/Vector.h, //49
VectorMap, //34, //0, //241, //headers/private/kernel/util/VectorMap.h, //76
VectorMapEntry, //3, //3, //25, //headers/private/kernel/util/VectorMap.h, //141
VectorMapEntryStrategy::ImplicitKey, //4, //4, //32, //headers/private/kernel/util/VectorMap.h, //751
VectorMapEntryStrategy::Pair, //1, //1, //37, //headers/private/kernel/util/VectorMap.h, //702
VectorMapIterator, //3, //3, //81, //headers/private/kernel/util/VectorMap.h, //177
TMessageItemTest, //23, //0, //419, //src/tests/kits/app/bmessage/MessageItemTest.h, //176
TestIterator, //1, //1, //100, //src/tests/kernel/core/util/VectorTest.cpp, //75
TestVector, //21, //1, //321, //src/tests/kernel/core/util/VectorTest.cpp, //191
BPrivate::BMessageFieldImpl, //12, //1, //186, //headers/private/app/MessageField.h, //169
AVLTreeMap, //70, //0, //848, //headers/private/kernel/util/AVLTreeMap.h, //77
AVLTreeMapEntry, //2, //2, //20, //headers/private/kernel/util/AVLTreeMap.h, //216
AVLTreeMapEntryPointer, //1, //1, //16, //headers/private/kernel/util/AVLTreeMap.h, //243
AVLTreeMapIterator, //8, //6, //132, //headers/private/kernel/util/AVLTreeMap.h, //266
AVLTreeMapStrategy::Ascending, //0, //0, //10, //headers/private/kernel/util/AVLTreeMap.h, //1350
AVLTreeMapStrategy::Auto, //0, //0, //49, //headers/private/kernel/util/AVLTreeMap.h, //1383
AVLTreeMapStrategy::Descending, //0, //0, //10, //headers/private/kernel/util/AVLTreeMap.h, //1365
reverse_iterator, //32, //8, //68, //headers/cpp/stl_iterator.h, //570
_Rb_tree, //59, //5, //604, //headers/cpp/stl_tree.h, //523
_Rb_tree_alloc_base, //1, //1, //15, //headers/cpp/stl_tree.h, //440
_Rb_tree_alloc_base, //0, //0, //15, //headers/cpp/stl_tree.h, //461
Constructor, //0, //0, //43, //headers/private/kernel/util/Constructor.h, //7
MallocFreeAllocator, //0, //0, //13, //headers/private/kernel/util/MallocFreeAllocator.h, //9
TemplateList, //39, //11, //233, //src/add-ons/kernel/network/ppp/shared/libkernelppp/headers/TemplateList.h, //54
Map, //11, //8, //145, //headers/private/media/TMap.h, //7
BPrivate::BObjectLocker, //4, //1, //34, //headers/private/shared/ObjectLocker.h, //48
CallStackControl, //0, //0, //19, //src/add-ons/kernel/network/ppp/shared/libkernelppp/KPPPInterface.cpp, //1645
__allocator, //0, //0, //11, //headers/cpp/stl_alloc.h, //862
allocator, //9, //4, //30, //headers/cpp/stl_alloc.h, //742
debug_alloc, //10, //1, //26, //headers/cpp/stl_alloc.h, //248
simple_alloc, //7, //5, //11, //headers/cpp/stl_alloc.h, //229
_Bvector_base, //5, //3, //21, //headers/cpp/stl_bvector.h, //322
VectorSet, //33, //2, //197, //headers/private/kernel/util/VectorSet.h, //60
VectorSetOrder::Ascending, //0, //0, //11, //headers/private/kernel/util/VectorSet.h, //484
VectorSetOrder::Descending, //0, //0, //11, //headers/private/kernel/util/VectorSet.h, //502
CppUnit::Orthodox, //2, //1, //27, //headers/tools/cppunit/cppunit/extensions/Orthodox.h, //41
TestSet, //8, //1, //227, //src/tests/kernel/core/util/VectorSetTest.cpp, //186
_Rope_base, //4, //3, //18, //headers/cpp/stl_rope.h, //1237
_Rope_char_consumer, //2, //1, //5, //headers/cpp/stl_rope.h, //196
_Rope_char_ptr_proxy, //6, //1, //26, //headers/cpp/stl_rope.h, //815
