class template, instantiations, multiple overload instantiations, loc, definition file path, line
icinga::Attribute, //75, //6, //24, //lib/base/attribute.h, //75
icinga::Singleton, //2, //2, //16, //lib/base/singleton.h, //35
icinga::Registry, //3, //1, //51, //lib/base/registry.h, //39
icinga::WeakPtrEqual, //0, //0, //11, //lib/base/object.h, //148

function template, instantiations, multiple overload instantiations, loc, definition file path, line
icinga::String::String, //4, //1, //3, //lib/base/qstring.h, //51
icinga::String::insert, //0, //0, //4, //lib/base/qstring.h, //89
icinga::MessagePart::Get, //7, //1, //8, //lib/remoting/messagepart.h, //55
icinga::MessagePart::Set, //1, //1, //4, //lib/remoting/messagepart.h, //73
icinga::Value::IsObjectType, //14, //1, //6, //lib/base/value.h, //93
icinga::CompatComponent::DumpNameList, //0, //0, //13, //components/compat/compatcomponent.h, //76
icinga::CompatComponent::DumpStringList, //0, //0, //12, //components/compat/compatcomponent.h, //92
icinga::ScriptFunctionWrapperR, //0, //0, //4, //lib/base/scriptfunctionwrapper.h, //37
icinga::Value::Value, //0, //0, //7, //lib/base/value.h, //62

