class template, instantiations, multiple overload instantiations, loc, definition file path, line
icinga::AsyncTask, //0, //0, //64, //lib/base/asynctask.h, //32
icinga::WeakPtrEqual, //0, //0, //11, //lib/base/object.h, //128

function template, instantiations, multiple overload instantiations, loc, definition file path, line
icinga::Value::IsObjectType, //2, //1, //6, //lib/base/value.h, //116
CopyServiceAttributes, //0, //0, //27, //lib/icinga/host.cpp, //141
icinga::String::String, //1, //1, //3, //lib/base/qstring.h, //42
icinga::Value::Value, //0, //0, //10, //lib/base/value.h, //61
icinga::String::Split, //0, //0, //6, //lib/base/qstring.h, //73
icinga::MessagePart::Add, //0, //0, //4, //lib/remoting/messagepart.h, //84
icinga::MessagePart::Get, //4, //1, //8, //lib/remoting/messagepart.h, //52
icinga::MessagePart::Set, //0, //0, //4, //lib/remoting/messagepart.h, //70
icinga::CompatIdoComponent::CreateMessageList, //0, //0, //7, //components/compatido/compatidocomponent.h, //65
icinga::CompatComponent::DumpStringList, //1, //1, //12, //components/compat/compatcomponent.h, //45

