class template, instantiations, multiple overload instantiations, loc, definition file path, line
zim::SmartPtr, //3, //2, //39, //src/zimlib/include/zim/smartptr.h, //35
zim::Cache, //2, //2, //84, //src/zimlib/include/zim/cache.h, //29

function template, instantiations, multiple overload instantiations, loc, definition file path, line
zim::fromBigEndian, //0, //0, //15, //src/zimlib/include/zim/endian.h, //104
zim::fromLittleEndian, //21, //1, //15, //src/zimlib/include/zim/endian.h, //67
zim::toBigEndian, //0, //0, //17, //src/zimlib/include/zim/endian.h, //85
zim::toLittleEndian, //15, //1, //17, //src/zimlib/include/zim/endian.h, //48
zim::mymin, //1, //1, //2, //src/zimlib/src/bunzip2stream.cpp, //47

