class template, instantiations, multiple overload instantiations, loc, definition file path, line
PointPlotter, //7, //1, //16, //plugins/sid/spline.h, //250
dsp::sine_table, //7, //4, //13, //plugins/ladspa_effect/calf/src/calf/primitives.h, //438
basicFilters, //13, //1, //198, //include/basic_filters.h, //45
dsp::fixed_point, //34, //9, //160, //plugins/ladspa_effect/calf/src/calf/fixed_point.h, //38
calf_plugins::audio_module, //7, //2, //65, //plugins/ladspa_effect/calf/src/calf/giface.h, //443
calf_plugins::dual_in_out_metering, //4, //1, //40, //plugins/ladspa_effect/calf/src/calf/plugin_tools.h, //89
calf_plugins::equalizerNband_audio_module, //13, //5, //281, //plugins/ladspa_effect/calf/src/calf/modules_eq.h, //37
dsp::block_voice, //2, //2, //35, //plugins/ladspa_effect/calf/src/calf/synth.h, //139
dsp::inertia, //11, //2, //84, //plugins/ladspa_effect/calf/src/calf/inertia.h, //105
dsp::onepole, //11, //3, //112, //plugins/ladspa_effect/calf/src/calf/onepole.h, //34
dsp::simple_chorus, //0, //0, //42, //plugins/ladspa_effect/calf/src/calf/audio_fx.h, //180
dsp::simple_flanger, //2, //1, //99, //plugins/ladspa_effect/calf/src/calf/audio_fx.h, //229
DSP::LatFilt, //1, //1, //52, //plugins/ladspa_effect/caps/dsp/LatFilt.h, //35
DSP::Eq, //3, //2, //68, //plugins/ladspa_effect/caps/dsp/Eq.h, //61
Descriptor, //38, //0, //510, //plugins/ladspa_effect/caps/Descriptor.h, //82
dsp::fft, //5, //1, //73, //plugins/ladspa_effect/calf/src/calf/fft.h, //33
dsp::biquad_coeffs, //5, //2, //198, //plugins/ladspa_effect/calf/src/calf/biquad.h, //45
calf_plugins::filter_module_with_inertia, //0, //0, //82, //plugins/ladspa_effect/calf/src/calf/modules.h, //84
calf_plugins::plugin_metadata, //76, //1, //28, //plugins/ladspa_effect/calf/src/calf/giface.h, //578
Blip_Synth, //6, //3, //91, //plugins/papu/gb_apu/Blip_Synth.h, //31
calf_plugins::stereo_in_out_metering, //7, //6, //32, //plugins/ladspa_effect/calf/src/calf/plugin_tools.h, //54
effectLib::monoToStereoAdaptor, //3, //3, //31, //include/effect_lib.h, //71
DSP::SVF, //3, //2, //55, //plugins/ladspa_effect/caps/dsp/SVF.h, //79
DSP::StackedSVF, //3, //1, //26, //plugins/ladspa_effect/caps/dsp/SVF.h, //156
SweepOscillator, //1, //1, //30, //include/SweepOscillator.h, //33
effectLib::chain, //0, //0, //18, //include/effect_lib.h, //171
effectLib::monoBase, //0, //0, //12, //include/effect_lib.h, //40
effectLib::stereoBase, //0, //0, //12, //include/effect_lib.h, //55
effectLib::stereoToMonoAdaptor, //1, //1, //16, //include/effect_lib.h, //110
dsp::auto_buffer, //1, //1, //7, //plugins/ladspa_effect/calf/src/calf/buffer.h, //106
dsp::filter_sum, //2, //1, //24, //plugins/ladspa_effect/calf/src/calf/biquad.h, //614
dsp::multichorus, //2, //0, //84, //plugins/ladspa_effect/calf/src/calf/multichorus.h, //111
dsp::sine_multi_lfo, //4, //1, //52, //plugins/ladspa_effect/calf/src/calf/multichorus.h, //31
DSP::TDFII, //1, //1, //30, //plugins/ladspa_effect/caps/dsp/TDFII.h, //37
Blip_Wave, //1, //1, //31, //plugins/papu/gb_apu/Blip_Synth.h, //92
dsp::circular_buffer, //0, //0, //35, //plugins/ladspa_effect/calf/src/calf/buffer.h, //181
dsp::dynamic_buffer, //0, //0, //35, //plugins/ladspa_effect/calf/src/calf/buffer.h, //115
dsp::fixed_size_buffer, //1, //1, //6, //plugins/ladspa_effect/calf/src/calf/buffer.h, //86
dsp::mem_fixed_size_buffer, //0, //0, //10, //plugins/ladspa_effect/calf/src/calf/buffer.h, //94
dsp::mono_auto_buffer, //0, //0, //2, //plugins/ladspa_effect/calf/src/calf/buffer.h, //219
dsp::stereo_auto_buffer, //0, //0, //2, //plugins/ladspa_effect/calf/src/calf/buffer.h, //224
fifoBuffer, //1, //1, //45, //include/fifo_buffer.h, //32
calf_utils::scope_assign, //0, //0, //15, //plugins/ladspa_effect/calf/src/calf/utils.h, //97
transformableAutoModel, //0, //0, //39, //include/transformable_auto_model.h, //44
dsp::filter_compose, //0, //0, //24, //plugins/ladspa_effect/calf/src/calf/biquad.h, //580
Stereo, //50, //6, //9, //plugins/zynaddsubfx/src/Misc/Stereo.h, //25
dsp::stereo_sample, //34, //4, //70, //plugins/ladspa_effect/calf/src/calf/primitives.h, //70
dsp::biquad_d2, //78, //1, //43, //plugins/ladspa_effect/calf/src/calf/biquad.h, //413
calf_plugins::in_out_metering_base, //0, //0, //19, //plugins/ladspa_effect/calf/src/calf/plugin_tools.h, //32
dsp::biquad_d1, //5, //1, //58, //plugins/ladspa_effect/calf/src/calf/biquad.h, //333
dsp::simple_delay, //18, //5, //80, //plugins/ladspa_effect/calf/src/calf/delay.h, //41
calf_plugins::ladspa_wrapper, //47, //1, //18, //plugins/ladspa_effect/calf/src/calf/ladspa_wrap.h, //102
typeInfo, //6, //2, //37, //include/lmms_basics.h, //73
dsp::bandlimiter, //9, //4, //68, //plugins/ladspa_effect/calf/src/calf/osc.h, //70
dsp::waveform_family, //5, //3, //54, //plugins/ladspa_effect/calf/src/calf/osc.h, //157
dsp::waveform_oscillator, //2, //1, //35, //plugins/ladspa_effect/calf/src/calf/osc.h, //240
dsp::biquad_d1_lerp, //3, //1, //87, //plugins/ladspa_effect/calf/src/calf/biquad.h, //477
dsp::buffer_traits, //1, //1, //2, //plugins/ladspa_effect/calf/src/calf/buffer.h, //162
dsp::buffer_traits, //0, //0, //11, //plugins/ladspa_effect/calf/src/calf/buffer.h, //167
dsp::sample_traits, //0, //0, //6, //plugins/ladspa_effect/calf/src/calf/buffer.h, //70
dsp::sample_traits, //0, //0, //7, //plugins/ladspa_effect/calf/src/calf/buffer.h, //78
AutoModelTransformer, //2, //1, //7, //include/transformable_auto_model.h, //34
osctl::osc_stream, //30, //4, //51, //plugins/ladspa_effect/calf/src/calf/osctl.h, //215
osctl::osc_message_dump, //0, //0, //54, //plugins/ladspa_effect/calf/src/calf/osctl.h, //503
osctl::osc_message_sink, //0, //0, //5, //plugins/ladspa_effect/calf/src/calf/osctl.h, //496

function template, instantiations, multiple overload instantiations, loc, definition file path, line
AutomatableModel::castValue, //6, //1, //4, //include/AutomatableModel.h, //112
Sin::one_cycle, //2, //1, //15, //plugins/ladspa_effect/caps/Sin.cc, //42
pointSize, //0, //0, //12, //include/gui_templates.h, //40
tLimit, //21, //12, //4, //include/templates.h, //33
dsp::clip, //17, //1, //5, //plugins/ladspa_effect/calf/src/calf/primitives.h, //218
dsp::lerp, //16, //1, //3, //plugins/ladspa_effect/calf/src/calf/primitives.h, //254
dsp::lerp, //7, //1, //3, //plugins/ladspa_effect/calf/src/calf/primitives.h, //260
dsp::mono, //0, //0, //3, //plugins/ladspa_effect/calf/src/calf/primitives.h, //206
dsp::mono, //0, //0, //3, //plugins/ladspa_effect/calf/src/calf/primitives.h, //212
dsp::operator*, //198, //1, //3, //plugins/ladspa_effect/calf/src/calf/primitives.h, //155
dsp::operator+, //100, //1, //3, //plugins/ladspa_effect/calf/src/calf/primitives.h, //161
dsp::operator-, //74, //1, //3, //plugins/ladspa_effect/calf/src/calf/primitives.h, //167
dsp::sanitize, //25, //1, //5, //plugins/ladspa_effect/calf/src/calf/primitives.h, //423
dsp::shr, //4, //1, //5, //plugins/ladspa_effect/calf/src/calf/primitives.h, //173
dsp::small_value, //0, //0, //3, //plugins/ladspa_effect/calf/src/calf/primitives.h, //188
dsp::stereo_sample::operator*, //0, //0, //3, //plugins/ladspa_effect/calf/src/calf/primitives.h, //118
dsp::stereo_sample::operator=, //0, //0, //5, //plugins/ladspa_effect/calf/src/calf/primitives.h, //93
dsp::stereo_sample::stereo_sample, //0, //0, //4, //plugins/ladspa_effect/calf/src/calf/primitives.h, //84
dsp::zero, //29, //1, //6, //plugins/ladspa_effect/calf/src/calf/primitives.h, //63
dsp::zero, //22, //1, //4, //plugins/ladspa_effect/calf/src/calf/primitives.h, //181
CMT_Instantiate, //0, //0, //5, //plugins/ladspa_effect/cmt/src/cmt.h, //158
dsp::fixed_point::fpart, //1, //1, //6, //plugins/ladspa_effect/calf/src/calf/fixed_point.h, //195
AutomatableModel::maxValue, //3, //1, //4, //include/AutomatableModel.h, //146
AutomatableModel::minValue, //4, //1, //4, //include/AutomatableModel.h, //140
dsp::fixed_point::fixed_point, //0, //0, //5, //plugins/ladspa_effect/calf/src/calf/fixed_point.h, //48
dsp::fixed_point::lerp_by_fract_int, //4, //1, //5, //plugins/ladspa_effect/calf/src/calf/fixed_point.h, //211
dsp::fixed_point::lerp_ptr_lookup_float, //0, //0, //4, //plugins/ladspa_effect/calf/src/calf/fixed_point.h, //252
dsp::fixed_point::lerp_ptr_lookup_int, //0, //0, //4, //plugins/ladspa_effect/calf/src/calf/fixed_point.h, //246
dsp::fixed_point::lerp_table_lookup_float, //0, //0, //4, //plugins/ladspa_effect/calf/src/calf/fixed_point.h, //233
dsp::fixed_point::lerp_table_lookup_float_mask, //0, //0, //4, //plugins/ladspa_effect/calf/src/calf/fixed_point.h, //239
dsp::fixed_point::lerp_table_lookup_int, //0, //0, //4, //plugins/ladspa_effect/calf/src/calf/fixed_point.h, //219
dsp::fixed_point::lerp_table_lookup_int_shift, //0, //0, //4, //plugins/ladspa_effect/calf/src/calf/fixed_point.h, //227
dsp::fixed_point::operator*, //3, //1, //5, //plugins/ladspa_effect/calf/src/calf/fixed_point.h, //128
dsp::fixed_point::operator*=, //0, //0, //4, //plugins/ladspa_effect/calf/src/calf/fixed_point.h, //135
dsp::fixed_point::operator+, //4, //1, //5, //plugins/ladspa_effect/calf/src/calf/fixed_point.h, //115
dsp::fixed_point::operator+=, //9, //1, //4, //plugins/ladspa_effect/calf/src/calf/fixed_point.h, //105
dsp::fixed_point::operator-, //0, //0, //5, //plugins/ladspa_effect/calf/src/calf/fixed_point.h, //121
dsp::fixed_point::operator-=, //0, //0, //4, //plugins/ladspa_effect/calf/src/calf/fixed_point.h, //110
dsp::fixed_point::operator=, //0, //0, //4, //plugins/ladspa_effect/calf/src/calf/fixed_point.h, //100
dsp::fixed_point::rebase, //5, //1, //7, //plugins/ladspa_effect/calf/src/calf/fixed_point.h, //92
dsp::operator*, //73, //1, //4, //plugins/ladspa_effect/calf/src/calf/fixed_point.h, //259
dsp::shr, //1, //1, //4, //plugins/ladspa_effect/calf/src/calf/fixed_point.h, //33
AutomatableModel::value, //6, //1, //9, //include/AutomatableModel.h, //119
max, //22, //5, //4, //plugins/ladspa_effect/caps/basics.h, //125
min, //21, //7, //4, //plugins/ladspa_effect/caps/basics.h, //119
dsp::onepole::copy_coeffs, //4, //1, //6, //plugins/ladspa_effect/calf/src/calf/onepole.h, //164
dsp::simple_chorus::process, //0, //0, //18, //plugins/ladspa_effect/calf/src/calf/audio_fx.h, //203
dsp::simple_flanger::process, //2, //1, //54, //plugins/ladspa_effect/calf/src/calf/audio_fx.h, //259
Eq::one_cycle, //2, //1, //27, //plugins/ladspa_effect/caps/Eq.cc, //71
Eq2x2::one_cycle, //2, //1, //36, //plugins/ladspa_effect/caps/Eq.cc, //205
ClickStub::one_cycle, //2, //1, //39, //plugins/ladspa_effect/caps/Click.cc, //46
White::one_cycle, //2, //1, //13, //plugins/ladspa_effect/caps/White.cc, //35
clamp, //5, //1, //6, //plugins/ladspa_effect/caps/basics.h, //133
JVRev::one_cycle, //2, //1, //24, //plugins/ladspa_effect/caps/Reverb.cc, //119
Plate::one_cycle, //2, //1, //24, //plugins/ladspa_effect/caps/Reverb.cc, //312
Plate2x2::one_cycle, //2, //1, //26, //plugins/ladspa_effect/caps/Reverb.cc, //403
dsp::biquad_coeffs::copy_coeffs, //85, //1, //8, //plugins/ladspa_effect/calf/src/calf/biquad.h, //296
Oscillator::updatePM, //8, //1, //14, //src/core/Oscillator.cpp, //369
Oscillator::updateSync, //8, //1, //16, //src/core/Oscillator.cpp, //429
AutomatableModelView::value, //0, //0, //4, //include/AutomatableModelView.h, //54
ModelView::castModel, //0, //0, //4, //include/ModelView.h, //50
ModelView::castModel, //0, //0, //4, //include/ModelView.h, //56
calf_plugins::get_graph, //9, //1, //10, //plugins/ladspa_effect/calf/src/calf/giface.h, //630
stringTo, //2, //1, //8, //plugins/zynaddsubfx/src/Misc/Util.h, //58
CMT_Delay_Instantiate, //0, //0, //7, //plugins/ladspa_effect/cmt/src/delay.cpp, //232
Clip::one_cycle, //2, //1, //26, //plugins/ladspa_effect/caps/Clip.cc, //77
DSP::kaiser, //4, //1, //13, //plugins/ladspa_effect/caps/dsp/windows.h, //141
sharedObject::ref, //6, //1, //7, //include/shared_object.h, //48
base64::decode, //0, //0, //7, //include/base64.h, //43
DSP::_BP, //0, //0, //15, //plugins/ladspa_effect/caps/dsp/Eq.h, //42
limit, //4, //1, //4, //plugins/zynaddsubfx/src/Misc/Util.h, //68
Compress::one_cycle, //2, //1, //40, //plugins/ladspa_effect/caps/Compress.cc, //36
PreampIII::one_cycle, //2, //1, //27, //plugins/ladspa_effect/caps/Preamp.cc, //43
PreampIV::one_cycle, //2, //1, //27, //plugins/ladspa_effect/caps/Preamp.cc, //144
DSP::RBJ::LoShelve::LoShelve, //7, //1, //13, //plugins/ladspa_effect/caps/dsp/RBJ.h, //176
PhaserI::one_cycle, //2, //1, //38, //plugins/ladspa_effect/caps/Phaser.cc, //38
PhaserII::one_cycle, //2, //1, //34, //plugins/ladspa_effect/caps/Phaser.cc, //139
DSP::RBJ::BP::BP, //0, //0, //11, //plugins/ladspa_effect/caps/dsp/RBJ.h, //98
DSP::RBJ::HP::HP, //0, //0, //11, //plugins/ladspa_effect/caps/dsp/RBJ.h, //118
DSP::RBJ::HiShelve::HiShelve, //1, //1, //13, //plugins/ladspa_effect/caps/dsp/RBJ.h, //219
DSP::RBJ::LP::LP, //3, //1, //11, //plugins/ladspa_effect/caps/dsp/RBJ.h, //78
DSP::RBJ::Notch::Notch, //0, //0, //11, //plugins/ladspa_effect/caps/dsp/RBJ.h, //138
DSP::RBJ::PeakingEQ::PeakingEQ, //0, //0, //11, //plugins/ladspa_effect/caps/dsp/RBJ.h, //199
DSP::RBJ::RBJ::make_direct_I, //7, //1, //10, //plugins/ladspa_effect/caps/dsp/RBJ.h, //53
AutomatableModel::initValue, //1, //1, //4, //include/AutomatableModel.h, //134
AutoWah::one_cycle, //2, //1, //36, //plugins/ladspa_effect/caps/SweepVF.cc, //355
SweepVFI::one_cycle, //2, //1, //35, //plugins/ladspa_effect/caps/SweepVF.cc, //55
SweepVFII::one_cycle, //2, //1, //44, //plugins/ladspa_effect/caps/SweepVF.cc, //184
Pan::one_cycle, //2, //1, //35, //plugins/ladspa_effect/caps/Pan.cc, //60
effectLib::saturate, //0, //0, //4, //include/effect_lib.h, //195
Roessler::one_cycle, //2, //1, //23, //plugins/ladspa_effect/caps/Roessler.cc, //44
AutomatableModel::step, //1, //1, //4, //include/AutomatableModel.h, //152
CabinetI::one_cycle, //2, //1, //26, //plugins/ladspa_effect/caps/Cabinet.cc, //108
CabinetII::one_cycle, //2, //1, //26, //plugins/ladspa_effect/caps/Cabinet.cc, //228
dsp::simple_delay::get, //2, //1, //5, //plugins/ladspa_effect/calf/src/calf/delay.h, //67
dsp::simple_delay::get_interp, //2, //1, //5, //plugins/ladspa_effect/calf/src/calf/delay.h, //94
dsp::wrap_around, //9, //1, //3, //plugins/ladspa_effect/calf/src/calf/buffer.h, //27
ToneStack::one_cycle, //2, //1, //13, //plugins/ladspa_effect/caps/ToneStack.cc, //77
ToneStackLT::one_cycle, //2, //1, //13, //plugins/ladspa_effect/caps/ToneStack.cc, //141
dsp::multichorus::process, //2, //1, //28, //plugins/ladspa_effect/calf/src/calf/multichorus.h, //143
Oscillator::updateAM, //8, //1, //12, //src/core/Oscillator.cpp, //390
Oscillator::updateFM, //8, //1, //15, //src/core/Oscillator.cpp, //452
max, //0, //0, //6, //plugins/papu/gb_apu/blargg_source.h, //58
min, //0, //0, //6, //plugins/papu/gb_apu/blargg_source.h, //50
DSP::blackman, //0, //0, //13, //plugins/ladspa_effect/caps/dsp/windows.h, //64
DSP::blackman_harris, //0, //0, //17, //plugins/ladspa_effect/caps/dsp/windows.h, //82
DSP::hanning, //0, //0, //9, //plugins/ladspa_effect/caps/dsp/windows.h, //51
stringFrom, //0, //0, //6, //plugins/zynaddsubfx/src/Misc/Util.h, //50
HRTF::one_cycle, //2, //1, //29, //plugins/ladspa_effect/caps/HRTF.cc, //72
VCOd::one_cycle, //2, //1, //20, //plugins/ladspa_effect/caps/VCO.cc, //150
VCOs::one_cycle, //2, //1, //17, //plugins/ladspa_effect/caps/VCO.cc, //58
DSP::FIR::upsample, //0, //0, //9, //plugins/ladspa_effect/caps/dsp/FIR.h, //129
Lorenz::one_cycle, //2, //1, //17, //plugins/ladspa_effect/caps/Lorenz.cc, //44
dsp::copy, //0, //0, //4, //plugins/ladspa_effect/calf/src/calf/buffer.h, //64
dsp::copy_buf, //0, //0, //8, //plugins/ladspa_effect/calf/src/calf/buffer.h, //152
dsp::fill, //0, //0, //6, //plugins/ladspa_effect/calf/src/calf/buffer.h, //50
dsp::fill, //0, //0, //4, //plugins/ladspa_effect/calf/src/calf/buffer.h, //58
Scape::one_cycle, //2, //1, //64, //plugins/ladspa_effect/caps/Scape.cc, //62
interpolate, //2, //2, //29, //plugins/sid/spline.h, //207
sharedObject::unref, //3, //1, //10, //include/shared_object.h, //58
AutomatableModel::castValue, //6, //1, //4, //include/AutomatableModel.h, //106
Oscillator::updateNoSub, //8, //1, //11, //src/core/Oscillator.cpp, //351
disintegrator::run, //0, //0, //20, //plugins/ladspa_effect/cmt/src/disintegrator.cpp, //67
ChorusI::one_cycle, //2, //1, //39, //plugins/ladspa_effect/caps/Chorus.cc, //35
ChorusII::one_cycle, //2, //1, //34, //plugins/ladspa_effect/caps/Chorus.cc, //282
