class template, instantiations, multiple overload instantiations, loc, definition file path, line
basicFilters, //2, //1, //195, //include/basic_filters.h, //45
bufferAllocator::autoCleaner, //1, //1, //18, //include/buffer_allocator.h, //56

function template, instantiations, multiple overload instantiations, loc, definition file path, line
tLimit, //7, //6, //5, //include/templates.h, //78
tMax, //15, //7, //8, //include/templates.h, //65
tAbs, //8, //1, //4, //include/templates.h, //43
tMin, //7, //3, //8, //include/templates.h, //52
pointSize, //0, //0, //12, //include/gui_templates.h, //50
readValue, //0, //0, //6, //plugins/vestige/communication.h, //10
writeValue, //0, //0, //4, //plugins/vestige/communication.h, //20

