class template, instantiations, multiple overload instantiations, loc, definition file path, line
oox::RefVector, //38, //34, //65, //oox/inc/oox/helper/containerhelper.hxx, //63
oox::drawingml::chart::ModelRef, //94, //16, //14, //oox/inc/oox/drawingml/chart/modelbase.hxx, //47
oox::drawingml::chart::ModelVector, //8, //7, //13, //oox/inc/oox/drawingml/chart/modelbase.hxx, //68
oox::RefMap, //13, //10, //1, //oox/inc/oox/helper/containerhelper.hxx, //161
oox::OptValue, //60, //7, //20, //oox/inc/oox/helper/helper.hxx, //179
writerfilter::ooxml::OOXMLFastHelper, //6, //1, //138, //writerfilter/source/ooxml/OOXMLFastHelper.hxx, //46
LinkedList, //37, //15, //99, //hwpfilter/source/list.hxx, //49
LinkedListIterator, //23, //7, //64, //hwpfilter/source/list.hxx, //80
writerfilter::OutputWithDepth, //27, //2, //72, //writerfilter/inc/resourcemodel/OutputWithDepth.hxx, //43
oox::drawingml::chart::ContextBase, //2, //2, //9, //oox/inc/oox/drawingml/chart/chartcontextbase.hxx, //45
oox::drawingml::chart::ModelMap, //2, //1, //14, //oox/inc/oox/drawingml/chart/modelbase.hxx, //88
oox::Matrix, //0, //0, //49, //oox/inc/oox/helper/containerhelper.hxx, //238
writerfilter::doctok::PLCF, //10, //2, //79, //writerfilter/source/doctok/PLCF.hxx, //64
oox::drawingml::chart::ConverterBase, //0, //0, //11, //oox/inc/oox/drawingml/chart/converterbase.hxx, //96
writerfilter::doctok::XNoteHelper, //7, //1, //106, //writerfilter/source/doctok/XNoteHelper.hxx, //46
writerfilter::TableManager, //25, //1, //278, //writerfilter/inc/resourcemodel/TableManager.hxx, //117
writerfilter::ooxml::RefAndPointer, //0, //0, //65, //writerfilter/source/ooxml/RefAndPointer.hxx, //44
oox::drawingml::chart::FragmentBase, //0, //0, //9, //oox/inc/oox/drawingml/chart/chartcontextbase.hxx, //59
writerfilter::dmapper::removeExistingElements, //0, //0, //11, //writerfilter/source/dmapper/PropertyMap.cxx, //136
writerfilter::doctok::PLCFHelper, //0, //0, //17, //writerfilter/source/doctok/WW8DocumentImpl.cxx, //53
oox::RefVector::FindFunctor, //0, //0, //6, //oox/inc/oox/helper/containerhelper.hxx, //137
oox::RefVector::ForEachFunctor, //0, //0, //6, //oox/inc/oox/helper/containerhelper.hxx, //129

function template, instantiations, multiple overload instantiations, loc, definition file path, line
oox::vml::ShapeContainer::createShape, //0, //0, //6, //oox/inc/oox/vml/vmlshapecontainer.hxx, //117
oox::vml::ShapeContainer::findShape, //0, //0, //4, //oox/inc/oox/vml/vmlshapecontainer.hxx, //131
oox::vml::ShapeContainer::findShapeType, //0, //0, //4, //oox/inc/oox/vml/vmlshapecontainer.hxx, //125
oox::PropertySet::PropertySet, //0, //0, //1, //oox/inc/oox/helper/propertyset.hxx, //70
oox::PropertySet::getProperty, //0, //0, //5, //oox/inc/oox/helper/propertyset.hxx, //148
oox::PropertySet::set, //1, //1, //2, //oox/inc/oox/helper/propertyset.hxx, //77
oox::PropertySet::setProperty, //0, //0, //4, //oox/inc/oox/helper/propertyset.hxx, //155
oox::ByteOrderConverter::readLittleEndian, //0, //0, //5, //oox/inc/oox/helper/helper.hxx, //267
oox::ByteOrderConverter::writeLittleEndian, //0, //0, //5, //oox/inc/oox/helper/helper.hxx, //274
oox::extractValue, //0, //0, //5, //oox/inc/oox/helper/helper.hxx, //146
oox::getDoubleIntervalValue, //1, //1, //6, //oox/inc/oox/helper/helper.hxx, //115
oox::getFlag, //3, //1, //4, //oox/inc/oox/helper/helper.hxx, //126
oox::getFlagValue, //0, //0, //4, //oox/inc/oox/helper/helper.hxx, //133
oox::getIntervalValue, //0, //0, //6, //oox/inc/oox/helper/helper.hxx, //105
oox::getLimitedValue, //4, //1, //4, //oox/inc/oox/helper/helper.hxx, //99
oox::insertValue, //0, //0, //6, //oox/inc/oox/helper/helper.hxx, //167
oox::setFlag, //0, //0, //4, //oox/inc/oox/helper/helper.hxx, //156
oox::xls::FormulaParserImpl::pushReferenceOperand, //0, //0, //11, //oox/source/xls/formulaparser.cxx, //959
oox::xls::FormulaParserImpl::pushValueOperand, //0, //0, //4, //oox/source/xls/formulaparser.cxx, //902
oox::xls::FormulaParserImpl::pushValueOperand, //2, //1, //2, //oox/source/xls/formulaparser.cxx, //506
oox::xls::FormulaParserImpl::pushValueOperandToken, //0, //0, //7, //oox/source/xls/formulaparser.cxx, //786
oox::xls::FormulaParserImpl::pushValueOperandToken, //0, //0, //2, //oox/source/xls/formulaparser.cxx, //491
writerfilter::doctok::operator<=, //3, //1, //4, //writerfilter/source/doctok/WW8CpAndFc.hxx, //48
writerfilter::dumpLine, //0, //0, //43, //writerfilter/inc/resourcemodel/SubSequence.hxx, //298
oox::xls::lclAppendProperty, //0, //0, //6, //oox/source/xls/condformatbuffer.cxx, //139
oox::drawingml::chart::ModelMap::create, //0, //0, //1, //oox/inc/oox/drawingml/chart/modelbase.hxx, //100
oox::drawingml::chart::ModelRef::create, //0, //0, //1, //oox/inc/oox/drawingml/chart/modelbase.hxx, //58
oox::drawingml::chart::ModelRef::getOrCreate, //0, //0, //1, //oox/inc/oox/drawingml/chart/modelbase.hxx, //62
oox::drawingml::chart::ModelVector::create, //0, //0, //1, //oox/inc/oox/drawingml/chart/modelbase.hxx, //79
oox::xls::ApiTokenVector::append, //0, //0, //1, //oox/inc/oox/xls/formulabase.hxx, //284
oox::RecordInputStream::operator>>, //2, //1, //1, //oox/inc/oox/helper/recordinputstream.hxx, //51
oox::xls::OoxWorksheetContextBase::OoxWorksheetContextBase, //7, //1, //5, //oox/inc/oox/xls/excelhandlers.hxx, //94
oox::drawingml::chart::lclSetValueOrClearAny, //0, //0, //4, //oox/source/drawingml/chart/axisconverter.cxx, //73
oox::xls::OoxBorderContext::OoxBorderContext, //0, //0, //2, //oox/inc/oox/xls/stylesfragment.hxx, //74
oox::xls::OoxDxfContext::OoxDxfContext, //0, //0, //2, //oox/inc/oox/xls/stylesfragment.hxx, //126
oox::xls::OoxFillContext::OoxFillContext, //0, //0, //2, //oox/inc/oox/xls/stylesfragment.hxx, //91
oox::xls::OoxFontContext::OoxFontContext, //0, //0, //2, //oox/inc/oox/xls/stylesfragment.hxx, //58
oox::xls::OoxXfContext::OoxXfContext, //0, //0, //2, //oox/inc/oox/xls/stylesfragment.hxx, //108
oox::xls::OoxWorkbookContextBase::OoxWorkbookContextBase, //3, //1, //5, //oox/inc/oox/xls/excelhandlers.hxx, //57
oox::xls::BiffWorksheetContextBase::BiffWorksheetContextBase, //2, //1, //5, //oox/inc/oox/xls/excelhandlers.hxx, //256
oox::vml::lclMapShapesById, //0, //0, //13, //oox/source/vml/vmlshapecontainer.cxx, //49
oox::BinaryInputStream::operator>>, //0, //0, //1, //oox/inc/oox/helper/binaryinputstream.hxx, //69
oox::BinaryInputStream::readValue, //6, //1, //5, //oox/inc/oox/helper/binaryinputstream.hxx, //127
oox::BinaryInputStream::readValue, //8, //1, //1, //oox/inc/oox/helper/binaryinputstream.hxx, //66
oox::BinaryXInputStream::operator>>, //0, //0, //1, //oox/inc/oox/helper/binaryinputstream.hxx, //168
oox::SequenceInputStream::operator>>, //0, //0, //1, //oox/inc/oox/helper/binaryinputstream.hxx, //215
oox::core::lclRotateLeft, //0, //0, //5, //oox/source/core/binarycodec.cxx, //45
oox::core::lclRotateLeft, //0, //0, //7, //oox/source/core/binarycodec.cxx, //53
oox::PropertyMap::setProperty, //0, //0, //2, //oox/inc/oox/helper/propertymap.hxx, //79
oox::ole::lclAppendHex, //0, //0, //8, //oox/source/ole/olehelper.cxx, //65
swf::findPropertyValue, //0, //0, //15, //filter/source/flash/swffilter.cxx, //221
oox::BinaryOutputStream::operator<<, //0, //0, //1, //oox/inc/oox/helper/binaryoutputstream.hxx, //65
oox::BinaryOutputStream::writeValue, //4, //1, //5, //oox/inc/oox/helper/binaryoutputstream.hxx, //79
oox::BinaryXOutputStream::operator<<, //0, //0, //1, //oox/inc/oox/helper/binaryoutputstream.hxx, //115
oox::SequenceOutputStream::operator<<, //0, //0, //1, //oox/inc/oox/helper/binaryoutputstream.hxx, //159
oox::xls::OoxRichStringContext::OoxRichStringContext, //0, //0, //6, //oox/inc/oox/xls/richstringcontext.hxx, //64
oox::xls::BiffOutputStream::operator<<, //0, //0, //1, //oox/inc/oox/xls/biffoutputstream.hxx, //143
oox::xls::ExternalName::appendResultValue, //0, //0, //2, //oox/inc/oox/xls/externallinkbuffer.hxx, //77
oox::xls::BiffInputStream::operator>>, //0, //0, //1, //oox/inc/oox/xls/biffinputstream.hxx, //272
oox::xls::BiffWorkbookContextBase::BiffWorkbookContextBase, //0, //0, //5, //oox/inc/oox/xls/excelhandlers.hxx, //219
oox::xls::BiffWorksheetContextBase::BiffWorksheetContextBase, //0, //0, //6, //oox/inc/oox/xls/excelhandlers.hxx, //248
oox::xls::OoxWorksheetContextBase::OoxWorksheetContextBase, //0, //0, //6, //oox/inc/oox/xls/excelhandlers.hxx, //86
oox::ContainerHelper::getMapElement, //0, //0, //5, //oox/inc/oox/helper/containerhelper.hxx, //494
oox::ContainerHelper::getMapElement, //0, //0, //5, //oox/inc/oox/helper/containerhelper.hxx, //501
oox::ContainerHelper::getMapElement, //0, //0, //5, //oox/inc/oox/helper/containerhelper.hxx, //508
oox::ContainerHelper::getMapElement, //0, //0, //5, //oox/inc/oox/helper/containerhelper.hxx, //515
oox::ContainerHelper::getVectorElement, //0, //0, //4, //oox/inc/oox/helper/containerhelper.hxx, //470
oox::ContainerHelper::getVectorElement, //0, //0, //4, //oox/inc/oox/helper/containerhelper.hxx, //476
oox::ContainerHelper::getVectorElement, //0, //0, //4, //oox/inc/oox/helper/containerhelper.hxx, //482
oox::ContainerHelper::getVectorElement, //0, //0, //4, //oox/inc/oox/helper/containerhelper.hxx, //488
oox::RefVector::findIf, //0, //0, //5, //oox/inc/oox/helper/containerhelper.hxx, //121
