class template, instantiations, multiple overload instantiations, loc, definition file path, line
com::sun::star::uno::Reference, //11643, //745, //67, //cppu/inc/com/sun/star/uno/Reference.h, //168
ary::TypedId, //8, //4, //28, //autodoc/inc/ary/types.hxx, //83
com::sun::star::uno::Sequence, //6536, //179, //45, //cppu/inc/com/sun/star/uno/Sequence.h, //54
csv::Dyn, //124, //64, //92, //cosv/inc/cosv/tpl/dyn.hxx, //56
com::sun::star::uno::WeakReference, //33, //19, //16, //cppuhelper/inc/cppuhelper/weakref.hxx, //128
dxcanvas::COMReference, //10, //2, //45, //canvas/source/directx/dx_winstuff.hxx, //132
rtl::Reference, //922, //240, //98, //sal/inc/rtl/ref.hxx, //63
comphelper::OAutoRegistration, //7, //1, //14, //comphelper/inc/comphelper/componentmodule.hxx, //188
comphelper::OSingletonRegistration, //7, //1, //16, //comphelper/inc/comphelper/componentmodule.hxx, //221
dba::OAutoRegistration, //0, //0, //3, //dbaccess/source/core/inc/module_dba.hxx, //28
dba::OSingletonRegistration, //0, //0, //3, //dbaccess/source/core/inc/module_dba.hxx, //28
lux::Enum, //26, //5, //59, //autodoc/source/inc/luxenum.hxx, //40
sd::toolpanel::RootControlFactoryWithArg, //0, //0, //15, //sd/source/ui/inc/taskpane/TaskPaneControlFactory.hxx, //65
comphelper::MakeMap, //2, //2, //20, //comphelper/inc/comphelper/InlineContainer.hxx, //116
XclExpRecordList, //44, //32, //43, //sc/source/filter/inc/xerecord.hxx, //334
rtl::Static, //2, //2, //16, //sal/inc/rtl/instance.hxx, //406
comphelper::OPropertyArrayUsageHelper, //32, //27, //42, //comphelper/inc/comphelper/proparrhlp.hxx, //50
o3tl::sorted_vector, //6, //2, //104, //o3tl/inc/o3tl/sorted_vector.hxx, //37
osl::Guard, //53, //4, //21, //sal/inc/osl/mutex.hxx, //132
Collection, //0, //0, //220, //forms/source/xforms/collection.hxx, //51
ary::StdConstIterator, //17, //8, //19, //autodoc/inc/ary/stdconstiter.hxx, //36
ary::Dyn_StdConstIterator, //33, //12, //16, //autodoc/inc/ary/stdconstiter.hxx, //66
HtmlFactory, //0, //0, //16, //autodoc/source/display/inc/toolkit/htmlfactory.hxx, //41
ScBitMaskCompressedArray, //13, //2, //153, //sc/inc/compressedarray.hxx, //351
osl::ClearableGuard, //2, //2, //30, //sal/inc/osl/mutex.hxx, //166
osl::ResettableGuard, //2, //2, //25, //sal/inc/osl/mutex.hxx, //212
salhelper::SingletonRef, //11, //7, //51, //salhelper/inc/salhelper/singletonref.hxx, //72
basebmp::BinarySetterFunctionAccessorAdapter, //3, //2, //68, //basebmp/inc/basebmp/accessoradapters.hxx, //164
basebmp::CompositeIterator2D, //2, //2, //70, //basebmp/inc/basebmp/compositeiterator.hxx, //277
basebmp::ConstantColorBlendSetterAccessorAdapter, //2, //2, //77, //basebmp/inc/basebmp/colorblendaccessoradapter.hxx, //49
basebmp::JoinImageAccessorAdapter, //3, //3, //76, //basebmp/inc/basebmp/accessoradapters.hxx, //416
basebmp::BitmapRenderer, //3, //2, //764, //basebmp/source/bitmapdevice.cxx, //160
basebmp::PixelColumnIterator, //1, //1, //135, //basebmp/inc/basebmp/pixeliterator.hxx, //32
basebmp::PixelIterator, //4, //2, //118, //basebmp/inc/basebmp/pixeliterator.hxx, //198
basebmp::StridedArrayIterator, //4, //1, //42, //basebmp/inc/basebmp/stridedarrayiterator.hxx, //36
svx::FrameBorderIterBase, //4, //1, //30, //svx/source/inc/frmselimpl.hxx, //258
comphelper::ImplementationReference, //0, //0, //50, //comphelper/inc/comphelper/implementationreference.hxx, //97
xmloff::OColumnImport, //2, //1, //33, //xmloff/source/forms/elementimport.hxx, //634
