class template, instantiations, multiple overload instantiations, loc, definition file path, line
com::sun::star::uno::Reference, //12107, //754, //67, //cppu/inc/com/sun/star/uno/Reference.h, //183
com::sun::star::uno::Sequence, //7158, //184, //45, //cppu/inc/com/sun/star/uno/Sequence.h, //63
rtl::Reference, //960, //241, //98, //sal/inc/rtl/ref.hxx, //57
chart::CommonFunctors::FirstOfPairEquals, //0, //0, //13, //chart2/source/inc/CommonFunctors.hxx, //153
chart::CommonFunctors::SecondOfPairEquals, //0, //0, //13, //chart2/source/inc/CommonFunctors.hxx, //174
csv::Dyn, //282, //158, //92, //cosv/inc/cosv/tpl/dyn.hxx, //65
ary::TypedId, //13, //8, //28, //autodoc/inc/ary/types.hxx, //92
XclExpRecordList, //40, //29, //43, //sc/source/filter/inc/xerecord.hxx, //334
List, //117, //15, //130, //xml2cmp/source/support/list.hxx, //37
osl::Guard, //53, //4, //21, //sal/inc/osl/mutex.hxx, //132
slideshow::internal::BinaryFunctionFunctor, //1, //1, //38, //slideshow/source/engine/smilfunctionparser.cxx, //311
slideshow::internal::ExpressionGrammar::definition, //0, //0, //69, //slideshow/source/engine/smilfunctionparser.cxx, //432
slideshow::internal::ShapeBoundsFunctor, //1, //1, //21, //slideshow/source/engine/smilfunctionparser.cxx, //99
slideshow::internal::UnaryFunctionFunctor, //2, //2, //59, //slideshow/source/engine/smilfunctionparser.cxx, //207
rtl::Static, //2, //2, //16, //sal/inc/rtl/instance.hxx, //406
rtl::Allocator, //15, //6, //55, //sal/inc/rtl/allocator.hxx, //54
rtl::StaticWithInit, //1, //0, //7, //sal/inc/rtl/instance.hxx, //599
ary::Dyn_StdConstIterator, //33, //12, //16, //autodoc/inc/ary/stdconstiter.hxx, //75
ary::SortedIds, //25, //5, //138, //autodoc/source/ary/inc/sortedids.hxx, //65
ary::stg::Storage, //25, //1, //160, //autodoc/source/ary/inc/store/s_storage.hxx, //49
store::PageHolderObject, //36, //5, //107, //store/source/storbase.hxx, //673
CrossReferences, //0, //0, //14, //autodoc/source/ary/inc/cross_refs.hxx, //42
com::sun::star::uno::WeakReference, //38, //22, //16, //cppuhelper/inc/cppuhelper/weakref.hxx, //127
comphelper::OPropertyArrayUsageHelper, //34, //28, //42, //comphelper/inc/comphelper/proparrhlp.hxx, //59
basebmp::BinarySetterFunctionAccessorAdapter, //3, //2, //68, //basebmp/inc/basebmp/accessoradapters.hxx, //173
basebmp::TernarySetterFunctionAccessorAdapter, //3, //1, //88, //basebmp/inc/basebmp/accessoradapters.hxx, //289
salhelper::SingletonRef, //7, //4, //51, //salhelper/inc/salhelper/singletonref.hxx, //81
lux::Enum, //26, //5, //59, //autodoc/source/inc/luxenum.hxx, //49
LinkedList, //37, //15, //99, //hwpfilter/source/list.hxx, //48
csv::ConstProcessor, //8, //5, //11, //cosv/inc/cosv/tpl/processor.hxx, //95
DynamicList, //16, //2, //36, //xml2cmp/source/support/list.hxx, //107
comphelper::MakeMap, //5, //4, //20, //comphelper/inc/comphelper/InlineContainer.hxx, //125
comphelper::MakeSequence, //2, //2, //15, //comphelper/inc/comphelper/InlineContainer.hxx, //49
pcr::StlSyntaxSequence, //2, //1, //28, //extensions/source/propctrlr/pcrcommon.hxx, //89
o3tl::heap_ptr, //26, //2, //141, //o3tl/inc/o3tl/heap_ptr.hxx, //84
SubPe, //36, //28, //46, //autodoc/source/parser/inc/semantic/sub_pe.hxx, //43
comphelper::ScalarPredicateLess, //0, //0, //13, //comphelper/inc/comphelper/anycompare.hxx, //84
sd::toolpanel::MethodGuard, //2, //2, //18, //sd/source/ui/toolpanel/MethodGuard.hxx, //42
sd::ShellFactory, //0, //0, //10, //sd/source/ui/inc/ShellFactory.hxx, //47
ary::StdConstIterator, //18, //8, //19, //autodoc/inc/ary/stdconstiter.hxx, //45
HtmlFactory, //0, //0, //16, //autodoc/source/display/inc/toolkit/htmlfactory.hxx, //50
vcl::DeleteOnDeinit, //2, //1, //12, //vcl/inc/vcl/lazydelete.hxx, //247
vcl::DeleteUnoReferenceOnDeinit, //0, //0, //22, //vcl/inc/vcl/lazydelete.hxx, //280
EStack, //8, //6, //34, //autodoc/source/inc/estack.hxx, //43
TreeVisitor, //1, //1, //60, //svx/source/inc/treevisitor.hxx, //34
rtl::StaticAggregate, //1, //0, //7, //sal/inc/rtl/instance.hxx, //533
oox::RefMap, //14, //11, //1, //oox/inc/oox/helper/refmap.hxx, //49
oox::OptValue, //39, //5, //20, //oox/inc/oox/helper/helper.hxx, //203
comphelper::OIdPropertyArrayUsageHelper, //15, //12, //43, //comphelper/inc/comphelper/IdPropArrayHelper.hxx, //51
oox::RefVector, //27, //22, //103, //oox/inc/oox/helper/refvector.hxx, //49
