class template, instantiations, multiple overload instantiations, loc, definition file path, line
VDXVideoFilterDefinition, //0, //0, //58, //include/vd2/VDXFrame/VideoFilter.h, //150
VDXVideoFilterScriptAdapter, //0, //0, //9, //include/vd2/VDXFrame/VideoFilter.h, //122
VDXVideoFilterScriptObjectAdapter, //2, //1, //4, //include/vd2/VDXFrame/VideoFilter.h, //133
AP4_List, //74, //10, //286, //src/filters/parser/MP4Splitter/AP4/Core/Ap4List.h, //47
AP4_Array, //22, //11, //64, //src/filters/parser/MP4Splitter/AP4/Core/Ap4Array.h, //47
CGenericList, //2, //2, //38, //src/filters/BaseClasses/wxlist.h, //500
ssf::Array, //8, //1, //85, //src/Subtitles/libssf/Array.h, //30
vdxunknown, //3, //1, //28, //include/vd2/VDXFrame/Unknown.h, //33
vdxunknown2, //0, //0, //30, //include/vd2/VDXFrame/Unknown.h, //70
CFormat, //7, //1, //9, //src/apps/mplayerc/PlayerCaptureDialog.h, //44
CFormatArray, //0, //0, //86, //src/apps/mplayerc/PlayerCaptureDialog.h, //55
CFormatElem, //4, //1, //6, //src/apps/mplayerc/PlayerCaptureDialog.h, //36
MatroskaWriter::CSimpleVar, //2, //1, //47, //src/filters/muxer/MatroskaMuxer/MatroskaFile.h, //105
CInternalPropertyPageTempl, //0, //0, //16, //src/filters/InternalPropertyPage.h, //116
CBaseSource, //0, //0, //53, //src/filters/source/BaseSource/BaseSource.h, //27
ssf::StringMap, //0, //0, //17, //src/Subtitles/libssf/StringMap.h, //27
ssf::StringMapA, //0, //0, //1, //src/Subtitles/libssf/StringMap.h, //46
ssf::StringMapW, //0, //0, //1, //src/Subtitles/libssf/StringMap.h, //49
CScopeLock::TCLocker, //1, //1, //7, //src/SubPic/DX9SubPic.h, //49
CAtlStringMap, //0, //0, //1, //src/apps/mplayerc/stdafx.h, //39
CFGFilterInternal, //0, //0, //15, //src/apps/mplayerc/FGFilter.h, //102
ssf::Cache, //0, //0, //51, //src/Subtitles/libssf/Renderer.h, //30
CQueue, //0, //0, //53, //src/filters/BaseClasses/wxutil.h, //267
QzCComPtr, //2, //1, //33, //src/filters/BaseClasses/wxutil.h, //489
array_allocator, //5, //5, //41, //src/filters/transform/MPCVideoDec/ffmpeg/array_allocator.h, //4
MatroskaWriter::CNode, //6, //6, //20, //src/filters/muxer/MatroskaMuxer/MatroskaFile.h, //164
vd_row_iter, //8, //1, //41, //include/vd2/plugin/vdvideoutil.h, //10
MatroskaReader::CNode, //19, //19, //16, //src/filters/parser/MatroskaSplitter/MatroskaFile.h, //128
MatroskaReader::CSimpleVar, //1, //1, //37, //src/filters/parser/MatroskaSplitter/MatroskaFile.h, //46
ssf::Definition::Number, //8, //3, //5, //src/Subtitles/libssf/Node.h, //72
text, //12, //2, //90, //src/filters/transform/MPCVideoDec/ffmpeg/char_t.h, //182
GothSync::MYD3DVERTEX, //13, //3, //6, //src/filters/renderer/VideoRenderers/SyncRenderer.h, //88
