class template, instantiations, multiple overload instantiations, loc, definition file path, line
MemoryChannel, //11, //2, //59, //ndb/src/kernel/blocks/ndbfs/MemoryChannelOSE.hpp, //73
List, //503, //21, //21, //sql/sql_list.h, //255
Bitmask, //21, //6, //4, //ndb/include/util/Bitmask.hpp, //792
ArrayList, //44, //13, //4, //ndb/src/kernel/vm/ArrayList.hpp, //25
ArrayPool, //129, //48, //538, //ndb/src/kernel/vm/ArrayPool.hpp, //37
MutexHandle2, //11, //5, //29, //ndb/src/kernel/vm/Mutex.hpp, //46
SocketRegistry, //20, //1, //324, //ndb/src/cw/util/SocketRegistry.hpp, //26
I_List, //44, //10, //14, //sql/sql_list.h, //398
I_List_iterator, //17, //8, //6, //sql/sql_list.h, //414
List_iterator, //73, //14, //10, //sql/sql_list.h, //278
List_iterator_fast, //74, //8, //17, //sql/sql_list.h, //290
Array, //15, //4, //96, //ndb/src/kernel/vm/Array.hpp, //30
DLList, //37, //14, //187, //ndb/src/kernel/vm/DLList.hpp, //28
DataBuffer, //40, //4, //347, //ndb/src/kernel/vm/DataBuffer.hpp, //29
KeyTable, //2, //2, //14, //ndb/src/kernel/vm/KeyTable.hpp, //26
SLList, //27, //10, //155, //ndb/src/kernel/vm/SLList.hpp, //28
Bitmap, //6, //1, //63, //sql/sql_bitmap.h, //25
NdbAutoObjArrayPtr, //2, //2, //7, //ndb/include/util/NdbAutoPtr.hpp, //42
Parser, //54, //7, //149, //ndb/include/util/Parser.hpp, //40
UnsafeArrayPool, //7, //1, //83, //ndb/src/kernel/vm/ArrayPool.hpp, //761
DLFifoList, //21, //2, //190, //ndb/src/kernel/vm/DLFifoList.hpp, //28
DLHashTable, //33, //10, //316, //ndb/src/kernel/vm/DLHashTable.hpp, //34
LocalDLList, //4, //2, //13, //ndb/src/kernel/vm/DLList.hpp, //167
LocalDataBuffer, //23, //2, //14, //ndb/src/kernel/vm/DataBuffer.hpp, //171
Pool, //8, //2, //60, //ndb/src/kernel/blocks/ndbfs/Pool.hpp, //185
ArrayFifoList, //0, //0, //4, //ndb/src/kernel/vm/ArrayFifoList.hpp, //25
MemoryChannelMultipleWriter, //0, //0, //8, //ndb/src/kernel/blocks/ndbfs/MemoryChannelOSE.hpp, //87
WaitQueue, //0, //0, //7, //ndb/src/kernel/vm/WaitQueue.hpp, //26
My_auto_ptr, //7, //1, //7, //ndb/include/util/NdbAutoPtr.hpp, //51
NdbAutoObjPtr, //0, //0, //7, //ndb/include/util/NdbAutoPtr.hpp, //33
NdbLinHash, //21, //3, //286, //ndb/src/ndbapi/NdbLinHash.hpp, //54
DLHashTable2, //21, //1, //325, //ndb/src/kernel/vm/DLHashTable2.hpp, //32
LocalDLFifoList, //5, //2, //13, //ndb/src/kernel/vm/DLFifoList.hpp, //151
MemoryChannel, //5, //1, //68, //ndb/src/kernel/blocks/ndbfs/MemoryChannel.hpp, //81
LocalSLList, //0, //0, //13, //ndb/src/kernel/vm/SLList.hpp, //135
KeyTable2, //13, //13, //14, //ndb/src/kernel/vm/KeyTable2.hpp, //26
CArray, //9, //2, //80, //ndb/src/kernel/vm/CArray.hpp, //24
NdbElement_t, //28, //1, //31, //ndb/src/ndbapi/NdbLinHash.hpp, //36
ConstPtr, //21, //3, //6, //ndb/src/kernel/vm/pc.hpp, //244
Ptr, //317, //127, //6, //ndb/src/kernel/vm/pc.hpp, //236
Vector, //189, //55, //96, //ndb/include/util/Vector.hpp, //24
MutexVector, //26, //10, //128, //ndb/include/util/Vector.hpp, //140
ParserRow, //1057, //8, //19, //ndb/include/util/Parser.hpp, //108
BitmaskPOD, //95, //1, //317, //ndb/include/util/Bitmask.hpp, //337

