class template, instantiations, multiple overload instantiations, loc, definition file path, line
ArrayPool, //154, //58, //660, //storage/ndb/src/kernel/vm/ArrayPool.hpp, //36
LocalDLList, //48, //6, //5, //storage/ndb/src/kernel/vm/DLList.hpp, //431
Bitmap, //7, //1, //74, //sql/sql_bitmap.h, //24
List, //672, //43, //31, //sql/sql_list.h, //490
List_iterator, //194, //28, //14, //sql/sql_list.h, //523
DLListImpl, //25, //5, //236, //storage/ndb/src/kernel/vm/DLList.hpp, //26
LocalDLListImpl, //4, //4, //14, //storage/ndb/src/kernel/vm/DLList.hpp, //162
DataBuffer, //43, //5, //348, //storage/ndb/src/kernel/vm/DataBuffer.hpp, //28
LocalDataBuffer, //32, //2, //14, //storage/ndb/src/kernel/vm/DataBuffer.hpp, //171
I_List, //27, //9, //14, //sql/sql_list.h, //717
I_List_iterator, //19, //7, //6, //sql/sql_list.h, //733
List_iterator_fast, //141, //21, //19, //sql/sql_list.h, //539
ValidatedPointer, //14, //2, //73, //storage/ibmdb2i/db2i_validatedPointer.h, //54
Bitmask, //24, //7, //4, //storage/ndb/include/util/Bitmask.hpp, //913
LocalDLFifoList, //26, //5, //5, //storage/ndb/src/kernel/vm/DLFifoList.hpp, //468
SLList, //17, //15, //5, //storage/ndb/src/kernel/vm/SLList.hpp, //387
KeyTable2, //20, //13, //14, //storage/ndb/src/kernel/vm/KeyTable2.hpp, //25
KeyTable2Ref, //2, //2, //34, //storage/ndb/src/kernel/vm/KeyTable2Ref.hpp, //25
WaitQueue, //0, //0, //7, //storage/ndb/src/kernel/vm/WaitQueue.hpp, //25
LocalSLList, //2, //1, //5, //storage/ndb/src/kernel/vm/SLList.hpp, //394
LocalSLListImpl, //1, //1, //14, //storage/ndb/src/kernel/vm/SLList.hpp, //169
SLListImpl, //18, //2, //226, //storage/ndb/src/kernel/vm/SLList.hpp, //27
My_auto_ptr, //6, //1, //7, //storage/ndb/include/util/NdbAutoPtr.hpp, //50
NdbAutoObjArrayPtr, //2, //2, //7, //storage/ndb/include/util/NdbAutoPtr.hpp, //41
NdbAutoObjPtr, //0, //0, //7, //storage/ndb/include/util/NdbAutoPtr.hpp, //32
Pool, //8, //2, //60, //storage/ndb/src/kernel/blocks/ndbfs/Pool.hpp, //184
