class template, instantiations, multiple overload instantiations, loc, definition file path, line
List, //669, //43, //31, //sql/sql_list.h, //484
Parser, //55, //5, //152, //storage/ndb/include/util/Parser.hpp, //39
Bitmask, //24, //7, //4, //storage/ndb/include/util/Bitmask.hpp, //913
ArrayPool, //154, //58, //660, //storage/ndb/src/kernel/vm/ArrayPool.hpp, //36
DLList, //48, //22, //5, //storage/ndb/src/kernel/vm/DLList.hpp, //424
DataBuffer, //43, //5, //348, //storage/ndb/src/kernel/vm/DataBuffer.hpp, //28
KeyTable, //3, //3, //5, //storage/ndb/src/kernel/vm/KeyTable.hpp, //45
Bitmap, //7, //1, //74, //sql/sql_bitmap.h, //24
List_iterator, //194, //28, //14, //sql/sql_list.h, //517
List_iterator_fast, //141, //21, //19, //sql/sql_list.h, //533
LocalDLList, //48, //6, //5, //storage/ndb/src/kernel/vm/DLList.hpp, //431
I_List, //27, //9, //14, //sql/sql_list.h, //711
MemoryChannel, //13, //2, //77, //storage/ndb/src/kernel/blocks/ndbfs/MemoryChannel.hpp, //75
Pool, //8, //2, //60, //storage/ndb/src/kernel/blocks/ndbfs/Pool.hpp, //184
SQL_I_List, //8, //4, //47, //sql/sql_list.h, //68
RecordPool, //30, //13, //137, //storage/ndb/src/kernel/vm/Pool.hpp, //159
DLHashTable2, //21, //1, //338, //storage/ndb/src/kernel/vm/DLHashTable2.hpp, //30
Array, //15, //3, //96, //storage/ndb/src/kernel/vm/Array.hpp, //29
DLCFifoList, //8, //6, //52, //storage/ndb/src/kernel/vm/DLCFifoList.hpp, //24
DLFifoList, //18, //6, //5, //storage/ndb/src/kernel/vm/DLFifoList.hpp, //461
MutexHandle2, //12, //5, //29, //storage/ndb/src/kernel/vm/Mutex.hpp, //45
SLList, //17, //15, //5, //storage/ndb/src/kernel/vm/SLList.hpp, //387
NdbElement_t, //31, //2, //31, //storage/ndb/src/ndbapi/NdbLinHash.hpp, //35
NdbLinHash, //21, //3, //295, //storage/ndb/src/ndbapi/NdbLinHash.hpp, //53
LocalSLFifoListImpl, //2, //2, //21, //storage/ndb/src/kernel/vm/SLFifoList.hpp, //111
LocalDataBuffer, //32, //2, //14, //storage/ndb/src/kernel/vm/DataBuffer.hpp, //171
DLFifoListImpl, //28, //4, //293, //storage/ndb/src/kernel/vm/DLFifoList.hpp, //28
LocalDLFifoListImpl, //3, //3, //21, //storage/ndb/src/kernel/vm/DLFifoList.hpp, //143
KeyTableImpl, //4, //4, //14, //storage/ndb/src/kernel/vm/KeyTable.hpp, //25
SLFifoListImpl, //19, //3, //193, //storage/ndb/src/kernel/vm/SLFifoList.hpp, //28
KeyTable2, //20, //13, //14, //storage/ndb/src/kernel/vm/KeyTable2.hpp, //25
KeyTable2Ref, //2, //2, //34, //storage/ndb/src/kernel/vm/KeyTable2Ref.hpp, //25
Dynamic_array, //1, //1, //38, //sql/sql_array.h, //22
LocalSLList, //2, //1, //5, //storage/ndb/src/kernel/vm/SLList.hpp, //394
XTList, //8, //4, //35, //storage/pbxt/src/ccutils_xt.h, //175
LocalDLFifoList, //26, //5, //5, //storage/ndb/src/kernel/vm/DLFifoList.hpp, //468
ValidatedPointer, //14, //2, //73, //storage/ibmdb2i/db2i_validatedPointer.h, //54
CArray, //12, //4, //86, //storage/ndb/src/kernel/vm/CArray.hpp, //25
LocalSLListImpl, //1, //1, //14, //storage/ndb/src/kernel/vm/SLList.hpp, //169
SLListImpl, //18, //2, //226, //storage/ndb/src/kernel/vm/SLList.hpp, //27
DLCHashTable, //1, //1, //42, //storage/ndb/src/kernel/vm/DLCHashTable.hpp, //24
DLHashTable, //14, //8, //5, //storage/ndb/src/kernel/vm/DLHashTable.hpp, //512
I_List_iterator, //19, //7, //6, //sql/sql_list.h, //727
ValidatedObject, //0, //0, //8, //storage/ibmdb2i/db2i_validatedPointer.h, //152
LinearPool, //17, //1, //128, //storage/ndb/src/kernel/vm/LinearPool.hpp, //66
UnsafeArrayPool, //7, //1, //83, //storage/ndb/src/kernel/vm/ArrayPool.hpp, //889
LocalDLListImpl, //4, //4, //14, //storage/ndb/src/kernel/vm/DLList.hpp, //162
RecordPool, //5, //0, //31, //storage/ndb/src/kernel/vm/SuperPool.hpp, //437
NdbAutoObjArrayPtr, //2, //2, //7, //storage/ndb/include/util/NdbAutoPtr.hpp, //41
SocketRegistry, //20, //1, //324, //storage/ndb/src/cw/util/SocketRegistry.hpp, //25
LocalDLCFifoList, //0, //0, //21, //storage/ndb/src/kernel/vm/DLCFifoList.hpp, //95
DLListImpl, //25, //5, //236, //storage/ndb/src/kernel/vm/DLList.hpp, //26
KeyTable2C, //4, //4, //60, //storage/ndb/src/kernel/vm/KeyTable2.hpp, //43
DLHashTableImpl, //22, //3, //341, //storage/ndb/src/kernel/vm/DLHashTable.hpp, //33
WaitQueue, //0, //0, //7, //storage/ndb/src/kernel/vm/WaitQueue.hpp, //25
My_auto_ptr, //6, //1, //7, //storage/ndb/include/util/NdbAutoPtr.hpp, //50
NdbAutoObjPtr, //0, //0, //7, //storage/ndb/include/util/NdbAutoPtr.hpp, //32
LocalSLFifoList, //0, //0, //5, //storage/ndb/src/kernel/vm/SLFifoList.hpp, //336
SLFifoList, //1, //1, //5, //storage/ndb/src/kernel/vm/SLFifoList.hpp, //329
