class template, instantiations, multiple overload instantiations, loc, definition file path, line
TextureFilter, //10, //3, //105, //meshlab/src/plugins_unsupported/edit_phototexturing/src/TextureFilter.h, //36
FeatureAlignment, //12, //1, //568, //meshlab/src/meshlabplugins/filter_feature_alignment/feature_alignment.h, //71
GaelMls::APSS, //1, //1, //64, //meshlab/src/meshlabplugins/filter_mls/apss.h, //32
APSSCurvatureFeature, //18, //2, //274, //meshlab/src/meshlabplugins/filter_feature_alignment/feature_msc.h, //520
SmoothCurvatureFeature, //17, //2, //235, //meshlab/src/meshlabplugins/filter_feature_alignment/feature_msc.h, //22
GaelMls::RIMLS, //0, //0, //56, //meshlab/src/meshlabplugins/filter_mls/rimls.h, //32
DoubleHeap, //0, //0, //119, //meshlab/src/plugins_experimental/edit_ocme/src/cache/old/double_heap.h, //26
rgbt::EdgeFI, //5, //1, //14, //meshlab/src/plugins_unsupported/editrgbtri/topologicalOp.h, //44
FgtHole, //13, //2, //397, //meshlab/src/meshlabplugins/edit_hole/fgtHole.h, //65
Cache, //2, //1, //141, //meshlab/src/plugins_experimental/edit_ocme/src/cache/cache.h, //106
Controller, //3, //3, //154, //meshlab/src/plugins_experimental/edit_ocme/src/cache/mapcontroller.h, //16
GPU::TexCoordVBOComponent, //0, //0, //20, //meshlab/src/plugins_experimental/filter_ouput_optical_flow/GPU/VBO.h, //397
vs::PovsGenerator, //0, //0, //118, //meshlab/src/fgt/edit_virtual_scan/vs/povs_generator.h, //16
Surfel, //3, //2, //111, //meshlab/src/plugins_experimental/render_splatpyramid/surfel.hpp, //43
Voxel, //0, //0, //84, //meshlab/src/meshlabplugins/filter_plymc/voxel.h, //22
MCTriEdgeCollapse, //1, //1, //47, //meshlab/src/meshlabplugins/filter_plymc/tri_edge_collapse_mc.h, //33
GaelMls::BallTree, //4, //2, //90, //meshlab/src/meshlabplugins/filter_mls/balltree.h, //55
GaelMls::Neighborhood, //5, //1, //15, //meshlab/src/meshlabplugins/filter_mls/balltree.h, //34
IHeap, //4, //3, //152, //meshlab/src/plugins_experimental/edit_ocme/src/cache/iheap.h, //25
IntervalPtrHeap, //3, //2, //31, //meshlab/src/plugins_experimental/edit_ocme/src/cache/iheap.h, //212
Polynomial, //8, //5, //276, //meshlab/src/meshlabplugins/filter_poisson/src/Polynomial.h, //35
PPolynomial, //16, //5, //374, //meshlab/src/meshlabplugins/filter_poisson/src/PPolynomial.h, //49
StartingPolynomial, //4, //3, //46, //meshlab/src/meshlabplugins/filter_poisson/src/PPolynomial.h, //35
Provider, //4, //1, //14, //meshlab/src/plugins_experimental/edit_ocme/src/cache/cache.h, //83
Token, //0, //0, //39, //meshlab/src/plugins_experimental/edit_ocme/src/cache/cache.h, //24
NearestMidPoint, //1, //1, //1, //meshlab/src/fgt/edit_topo/edit_topomeshbuilder.h, //63
GaelMls::MlsSurface, //4, //1, //97, //meshlab/src/meshlabplugins/filter_mls/mlssurface.h, //47
yy::slice, //1, //1, //18, //meshlab/src/common/script_system/parser/stack.hh, //106
yy::stack, //3, //3, //47, //meshlab/src/common/script_system/parser/stack.hh, //44
PatchesOptimizer, //4, //1, //349, //meshlab/src/meshlabplugins/filter_isoparametrization/opt_patch.h, //8
DiamondParametrizator::EdgePredicate, //1, //1, //27, //meshlab/src/meshlabplugins/filter_isoparametrization/diam_parametrization.h, //273
Volume, //9, //2, //858, //meshlab/src/meshlabplugins/filter_plymc/volume.h, //64
VolumeIterator, //7, //1, //79, //meshlab/src/meshlabplugins/filter_plymc/volume.h, //1264
HoleSetManager, //14, //2, //373, //meshlab/src/meshlabplugins/edit_hole/holeSetManager.h, //41
BaryOptimizatorDual, //2, //1, //476, //meshlab/src/meshlabplugins/filter_isoparametrization/dual_coord_optimization.h, //10
vs::Sampler, //0, //0, //122, //meshlab/src/fgt/edit_virtual_scan/vs/sampler.h, //26
Allocator, //3, //3, //90, //meshlab/src/meshlabplugins/filter_poisson/src/Allocator.h, //46
NVector, //2, //1, //232, //meshlab/src/meshlabplugins/filter_poisson/src/Vector.h, //88
Vector, //24, //2, //232, //meshlab/src/meshlabplugins/filter_poisson/src/Vector.h, //36
