class template, instantiations, multiple overload instantiations, loc, definition file path, line
TestList, //3, //3, //18, //mmc_updater/src/tests/TestUtils.h, //9
Win32xx::Shared_Ptr, //16, //15, //80, //mmc_updater/depends/win32cpp/shared_ptr.h, //101
QObjectPtr, //2, //2, //41, //logic/QObjectPtr.h, //10
RWStorage, //0, //0, //58, //logic/RWStorage.h, //3
DefaultVariable, //2, //2, //32, //logic/DefaultVariable.h, //4
HexString, //3, //1, //19, //depends/iconfix/internal/qhexstring_p.h, //62
QConcatenable, //0, //0, //17, //depends/iconfix/internal/qhexstring_p.h, //84

function template, instantiations, multiple overload instantiations, loc, definition file path, line
TestUtils::compare, //11, //1, //9, //mmc_updater/src/tests/TestUtils.h, //35
TestUtils::runTest, //2, //1, //34, //mmc_updater/src/tests/TestUtils.h, //52
TestUtils::toString, //4, //1, //4, //mmc_updater/src/tests/TestUtils.h, //46
intToStr, //12, //4, //6, //mmc_updater/src/StringUtils.h, //9
MMCJson::writeObjectList, //0, //0, //12, //logic/MMCJson.h, //88
MMCJson::writeObjectList, //0, //0, //12, //logic/MMCJson.h, //75
XcbCallVoid, //0, //0, //4, //gui/Platform_X11.cpp, //25
ShowPageDialog, //0, //0, //8, //gui/MainWindow.cpp, //1330
util::membuffer::read, //2, //1, //5, //depends/classparser/src/membuffer.h, //26
util::membuffer::read_be, //36, //1, //5, //depends/classparser/src/membuffer.h, //35
Bindable::bind, //0, //0, //9, //depends/LogicalGui/LogicalGui.h, //67
Bindable::bind, //0, //0, //8, //depends/LogicalGui/LogicalGui.h, //76
Bindable::wait, //0, //0, //56, //depends/LogicalGui/LogicalGui.h, //121
Bindable::waitVoid, //0, //0, //37, //depends/LogicalGui/LogicalGui.h, //179

