class template, instantiations, multiple overload instantiations, loc, definition file path, line
MemoryChannel, //13, //2, //77, //ndb/src/kernel/blocks/ndbfs/MemoryChannel.hpp, //81
List, //605, //41, //26, //sql/sql_list.h, //335
ArrayList, //41, //12, //4, //ndb/src/kernel/vm/ArrayList.hpp, //25
DLFifoList, //21, //2, //190, //ndb/src/kernel/vm/DLFifoList.hpp, //28
SLList, //26, //10, //155, //ndb/src/kernel/vm/SLList.hpp, //28
Bitmask, //22, //7, //4, //ndb/include/util/Bitmask.hpp, //808
ArrayPool, //127, //47, //538, //ndb/src/kernel/vm/ArrayPool.hpp, //37
UnsafeArrayPool, //7, //1, //83, //ndb/src/kernel/vm/ArrayPool.hpp, //761
DLHashTable, //31, //9, //316, //ndb/src/kernel/vm/DLHashTable.hpp, //34
DLList, //39, //15, //187, //ndb/src/kernel/vm/DLList.hpp, //28
LocalDLList, //4, //2, //13, //ndb/src/kernel/vm/DLList.hpp, //167
DataBuffer, //40, //4, //347, //ndb/src/kernel/vm/DataBuffer.hpp, //29
Bitmap, //5, //1, //69, //sql/sql_bitmap.h, //25
List_iterator_fast, //152, //27, //17, //sql/sql_list.h, //377
List_iterator, //101, //20, //12, //sql/sql_list.h, //363
Parser, //54, //7, //149, //ndb/include/util/Parser.hpp, //40
MutexHandle2, //12, //5, //29, //ndb/src/kernel/vm/Mutex.hpp, //46
NdbElement_t, //29, //2, //31, //ndb/src/ndbapi/NdbLinHash.hpp, //36
NdbAutoObjArrayPtr, //2, //2, //7, //ndb/include/util/NdbAutoPtr.hpp, //42
Dynamic_array, //1, //1, //38, //sql/sql_array.h, //23
I_List, //39, //11, //14, //sql/sql_list.h, //490
RecordPool, //7, //1, //93, //ndb/src/kernel/vm/SuperPool.hpp, //446
I_List_iterator, //19, //9, //6, //sql/sql_list.h, //506
MemoryChannel, //5, //1, //59, //ndb/src/kernel/blocks/ndbfs/MemoryChannelOSE.hpp, //73
MemoryChannelMultipleWriter, //0, //0, //8, //ndb/src/kernel/blocks/ndbfs/MemoryChannelOSE.hpp, //87
KeyTable, //2, //2, //14, //ndb/src/kernel/vm/KeyTable.hpp, //26
Pool, //8, //2, //60, //ndb/src/kernel/blocks/ndbfs/Pool.hpp, //185
LocalDataBuffer, //23, //2, //14, //ndb/src/kernel/vm/DataBuffer.hpp, //171
NdbLinHash, //21, //3, //287, //ndb/src/ndbapi/NdbLinHash.hpp, //54
CArray, //12, //4, //80, //ndb/src/kernel/vm/CArray.hpp, //24
ArrayFifoList, //0, //0, //4, //ndb/src/kernel/vm/ArrayFifoList.hpp, //25
Array, //17, //4, //96, //ndb/src/kernel/vm/Array.hpp, //30
My_auto_ptr, //7, //1, //7, //ndb/include/util/NdbAutoPtr.hpp, //51
NdbAutoObjPtr, //0, //0, //7, //ndb/include/util/NdbAutoPtr.hpp, //33
KeyTable2, //13, //13, //14, //ndb/src/kernel/vm/KeyTable2.hpp, //26
LocalDLFifoList, //5, //2, //13, //ndb/src/kernel/vm/DLFifoList.hpp, //151
LocalSLList, //0, //0, //13, //ndb/src/kernel/vm/SLList.hpp, //135
DLHashTable2, //21, //1, //325, //ndb/src/kernel/vm/DLHashTable2.hpp, //32
SocketRegistry, //20, //1, //324, //ndb/src/cw/util/SocketRegistry.hpp, //26
WaitQueue, //0, //0, //7, //ndb/src/kernel/vm/WaitQueue.hpp, //26
Vector, //236, //63, //99, //ndb/include/util/Vector.hpp, //24
Ptr, //334, //127, //6, //ndb/src/kernel/vm/pc.hpp, //236
Ndb_free_list_t, //25, //13, //89, //ndb/src/ndbapi/NdbImpl.hpp, //36
ConstPtr, //21, //3, //6, //ndb/src/kernel/vm/pc.hpp, //244
MutexVector, //26, //10, //131, //ndb/include/util/Vector.hpp, //144
Free_list_element, //0, //0, //7, //ndb/src/ndbapi/NdbUtil.hpp, //39
BitmaskPOD, //95, //1, //317, //ndb/include/util/Bitmask.hpp, //353
ParserRow, //1120, //8, //19, //ndb/include/util/Parser.hpp, //108
A, //1, //1, //18, //ndb/src/kernel/vm/testSuperPool.cpp, //29

function template, instantiations, multiple overload instantiations, loc, definition file path, line
operator<<, //6, //1, //9, //ndb/src/kernel/blocks/ndbfs/MemoryChannel.hpp, //105
SignalQueue::waitFor, //0, //0, //22, //ndb/src/old_files/rep/SignalQueue.hpp, //90
put, //2, //2, //22, //ndb/src/common/util/Properties.cpp, //149
SignalSender::waitFor, //0, //0, //24, //ndb/src/ndbapi/SignalSender.cpp, //143
AssignRefNumValues, //2, //2, //25, //ndb/test/odbc/SQL99_test/SQL99_test.h, //231
VerifyArthOp, //0, //0, //29, //ndb/test/odbc/SQL99_test/SQL99_test.h, //198
RequestTracker::init, //0, //0, //7, //ndb/src/kernel/vm/RequestTracker.hpp, //29
append, //0, //0, //10, //ndb/src/kernel/vm/LongSignal.hpp, //69
update, //0, //0, //12, //ndb/src/ndbapi/Ndblist.cpp, //491
SignalSender::waitFor, //0, //0, //23, //ndb/src/ndbapi/signal-sender/SignalSender.cpp, //139
SafeCounter::init, //0, //0, //29, //ndb/src/kernel/vm/SafeCounter.hpp, //196
SafeCounter::init, //0, //0, //8, //ndb/src/kernel/vm/SafeCounter.hpp, //231
SafeCounter::init, //0, //0, //8, //ndb/src/kernel/vm/SafeCounter.hpp, //242
Mutex::Mutex, //0, //0, //9, //ndb/src/kernel/vm/Mutex.hpp, //152
sp_test, //0, //0, //97, //ndb/src/kernel/vm/testSuperPool.cpp, //86
compare, //0, //0, //20, //ndb/src/kernel/vm/testDataBuffer/testDataBuffer.cpp, //42
test, //0, //0, //89, //ndb/src/kernel/vm/testDataBuffer/testDataBuffer.cpp, //65
