class template, instantiations, multiple overload instantiations, loc, definition file path, line
AdvancedSelectionDlg, //5, //3, //707, //src/ui/wxWidgets/AdvancedSelectionDlg.h, //167
CExportTextWarningDlg, //1, //1, //13, //src/ui/wxWidgets/ExportTextWarningDlg.h, //27
AdvancedSelectionImpl, //1, //1, //16, //src/ui/wxWidgets/AdvancedSelectionDlg.h, //146
EventDataInjector, //0, //0, //33, //src/ui/wxWidgets/wxutils.h, //150
dereference, //0, //0, //6, //src/core/Util.h, //166
get_second, //0, //0, //6, //src/core/Util.h, //158
S_Alloc::SecureAlloc, //15, //5, //58, //src/core/StringX.h, //34
S_Alloc::SecureAlloc::rebind, //0, //0, //3, //src/core/StringX.h, //88

function template, instantiations, multiple overload instantiations, loc, definition file path, line
Format, //63, //20, //19, //src/core/StringX.cpp, //197
LoadAString, //161, //112, //10, //src/core/StringX.cpp, //145
PWSMatch::Match, //5, //1, //16, //src/core/Match.h, //58
TrimLeft, //2, //2, //13, //src/core/StringX.cpp, //73
TrimRight, //4, //2, //13, //src/core/StringX.cpp, //58
Format, //70, //44, //18, //src/core/StringX.cpp, //221
Replace, //5, //2, //15, //src/core/StringX.cpp, //96
ToLower, //16, //1, //5, //src/core/StringX.cpp, //30
PasswordSafeFrame::DoExportText, //2, //1, //56, //src/ui/wxWidgets/passwordsafeframe.cpp, //2871
CompareNoCase, //6, //2, //4, //src/core/StringX.cpp, //24
EmptyIfOnlyWhiteSpace, //2, //1, //7, //src/core/StringX.cpp, //88
Remove, //1, //1, //13, //src/core/StringX.cpp, //131
Replace, //3, //3, //18, //src/core/StringX.cpp, //112
ToUpper, //2, //1, //5, //src/core/StringX.cpp, //36
Trim, //1, //1, //14, //src/core/StringX.cpp, //42
S_Alloc::SecureAlloc::SecureAlloc, //0, //0, //1, //src/core/StringX.h, //52
PasswordSafeSearch::FindMatches, //0, //0, //7, //src/ui/wxWidgets/PasswordSafeSearch.cpp, //360
PasswordSafeSearch::FindMatches, //0, //0, //56, //src/ui/wxWidgets/PasswordSafeSearch.cpp, //382
PasswordSafeSearch::OnDoSearchT, //2, //1, //33, //src/ui/wxWidgets/PasswordSafeSearch.cpp, //89
TiXmlElement::QueryValueAttribute, //0, //0, //11, //src/core/tinyxml/tinyxml.h, //1031
S_Alloc::operator!=, //0, //0, //4, //src/core/StringX.h, //135
S_Alloc::operator==, //0, //0, //4, //src/core/StringX.h, //129
RestoreTreeItem, //0, //0, //12, //src/ui/wxWidgets/guiinfo.cpp, //190
VisitGroupItems, //0, //0, //24, //src/ui/wxWidgets/guiinfo.cpp, //164

