class template, instantiations, multiple overload instantiations, loc, definition file path, line
std::vector, //14369, //602, //3, //tests/CompileTests/Cxx_tests/test2007_80.C, //43
LCS::vector_start_at_one, //11, //2, //12, //src/roseExtensions/qtWidgets/util/LCS.h, //15
AstTopDownProcessing, //16, //3, //74, //src/midend/astProcessing/AstProcessing.h, //237
SgTreeTraversal, //33, //5, //229, //src/midend/astProcessing/AstProcessing.h, //97
std::basic_string, //16, //3, //3, //tests/CompileTests/mergeAST_tests/mergeTest_122.C, //38
std::list, //1310, //143, //7, //tests/CompileTests/mergeAST_tests/mergeTest_122.C, //21
ROSE_Callbacks::List, //21, //11, //139, //src/roseSupport/callbacks.h, //79
X, //93, //4, //6, //tests/CompileTests/C++Code/test2004_139.C, //26
SgTopDownProcessing, //3, //1, //1, //src/midend/astProcessing/AstProcessing.h, //362
std::basic_ostream, //3, //2, //3, //tests/CompileTests/Cxx_tests/test2009_31.C, //23
__gnu_cxx::__normal_iterator, //4, //2, //7, //tests/CompileTests/ElsaTestCases/t0283.cc, //66
X1, //1, //1, //4, //tests/CompileTests/C++Code/test2005_173.C, //16
Y1, //1, //1, //4, //tests/CompileTests/C++Code/test2005_173.C, //10
A::B1, //3, //3, //1, //tests/CompileTests/copyAST_tests/copytest2007_49.C, //3
A::B2, //4, //3, //1, //tests/CompileTests/copyAST_tests/copytest2007_49.C, //4
Expression, //44, //11, //32, //projects/PolyhedralModel/src/maths/Expression.hpp, //11
VirtualCFG::FilteredCFGEdge, //74, //11, //68, //src/frontend/SageIII/virtualCFG/filteredCFG.h, //82
basic_filebuf, //1, //1, //5, //tests/CompileTests/Cxx_tests/test2004_69.C, //38
basic_streambuf, //0, //0, //7, //tests/CompileTests/Cxx_tests/test2004_69.C, //20
AstBottomUpProcessing, //19, //5, //86, //src/midend/astProcessing/AstProcessing.h, //289
StackFrameVector, //74, //4, //305, //src/midend/astProcessing/StackFrameVector.h, //43
R, //1, //1, //3, //tests/CompileTests/ElsaTestCases/d0018.cc, //3
templateClassType, //0, //0, //4, //tests/CompileTests/Cxx_tests/test2004_109.C, //86
Stack, //1, //1, //14, //tests/CompileTests/hiddenTypeAndDeclarationListTests/test56.C, //12
QCE::Registar, //0, //0, //8, //src/roseExtensions/qtWidgets/QCodeEditWidget/QCodeEdit/qce-config.h, //55
A, //1, //0, //1, //tests/CompileTests/C++Code/test2004_113.C, //10
MidLevelRewrite, //64, //2, //1905, //src/midend/astRewriteMechanism/midLevelRewriteInterface.h, //9
IteratorImpl, //24, //14, //13, //src/util/support/IteratorTmpl.h, //10
IteratorWrap, //13, //10, //32, //src/util/support/IteratorTmpl.h, //61
GraphAccessTemplate, //17, //7, //18, //src/util/graphs/GraphAccess.h, //25
GraphAccessWrapTemplate, //7, //6, //27, //src/util/graphs/GraphAccess.h, //48
AttributeMechanism, //12, //1, //122, //src/3rdPartyLibraries/MSTL/AttributeMechanism.h, //50
Foo, //0, //0, //2, //tests/CompileTests/ElsaTestCases/t0046.cc, //5
qrs::QRAttribSpec, //0, //0, //52, //src/3rdPartyLibraries/qrose/Components/Common/QRAttribute.h, //69
AstVisitor, //2, //2, //15, //exampleTranslators/graphicalUserInterfaceExamples/attributes/attrib.cpp, //61
Stack, //2, //2, //13, //tests/CompileTests/hiddenTypeAndDeclarationListTests/test43.C, //3
GraphReverseEdge, //2, //1, //21, //src/util/graphs/GraphScope.h, //9
GraphCrossEdgeIterator, //19, //8, //28, //src/util/graphs/GraphUtils.h, //48
MultiGraphElemTemplate, //6, //3, //11, //src/util/graphs/MultiGraphCreate.h, //52
PtrMapWrap, //20, //13, //52, //src/util/support/PtrMap.h, //17
SinglyLinkedListWrap, //22, //11, //104, //src/util/support/SinglyLinkedList.h, //21
X, //1, //0, //1, //tests/CompileTests/C++Code/test2004_100.C, //13
std::templateInNamespace, //4, //3, //6, //tests/CompileTests/C++Code/test2004_64.C, //5
BinaryAnalysis::InstructionSemantics::NullSemantics::Policy, //1, //1, //170, //src/midend/binaryAnalyses/instructionSemantics/NullSemantics.h, //54
RiscTracingPolicy, //0, //0, //202, //projects/simulator/demos/RiscTracingPolicy.h, //55
TermPrinter, //19, //2, //772, //projects/SATIrE/src/termite/satire/TermPrinter.h, //56
templateClass, //1, //1, //7, //tutorial/inputCode_ExampleTraversals_13.C, //4
ArtificialViscosity, //4, //1, //16, //tests/CompileTests/Cxx_tests/test2005_135.C, //9
