class template, instantiations, multiple overload instantiations, loc, definition file path, line
DestinationHolder, //15, //2, //182, //src/game/DestinationHolder.h, //33
MovementGeneratorMedium, //1, //1, //25, //src/game/MovementGenerator.h, //53
PathMovementBase, //0, //0, //14, //src/game/WaypointMovementGenerator.h, //45
WaypointMovementGenerator, //16, //3, //174, //src/game/WaypointMovementGenerator.h, //65
ACE_Array_Base, //26, //3, //266, //dep/ACE_wrappers/ace/Array_Base.h, //43
ACE_Array_Map, //37, //2, //318, //dep/ACE_wrappers/ace/Array_Map.h, //88
ACE_Dynamic_Service, //5, //1, //58, //dep/ACE_wrappers/ace/Dynamic_Service.h, //42
ACE_Guard, //123, //5, //96, //dep/ACE_wrappers/ace/Guard_T.h, //42
ACE_Refcountable_T, //3, //1, //39, //dep/ACE_wrappers/ace/Refcountable_T.h, //29
ACE_String_Base, //117, //3, //555, //dep/ACE_wrappers/ace/String_Base.h, //58
ACE_Vector, //31, //5, //118, //dep/ACE_wrappers/ace/Vector_T.h, //70
ACE_Typed_SV_Message, //3, //1, //109, //dep/ACE_wrappers/ace/Typed_SV_Message.h, //34
Trinity::Singleton, //5861, //5, //54, //src/framework/Policies/Singleton.h, //41
LinkedListHead::Iterator, //6, //6, //87, //src/framework/Utilities/LinkedList.h, //136
Reference, //33, //5, //45, //src/framework/Utilities/LinkedReference/Reference.h, //28
ACE_Intrusive_List_Node, //1, //0, //39, //dep/ACE_wrappers/ace/Intrusive_List_Node.h, //43
ACE_Event_Handler_Handle_Timeout_Upcall, //25, //2, //161, //dep/ACE_wrappers/ace/Timer_Queue_T.h, //475
ACE_Timer_Wheel_Iterator_T, //10, //2, //77, //dep/ACE_wrappers/ace/Timer_Wheel_T.h, //39
ACE_Timer_Wheel_T, //32, //2, //592, //dep/ACE_wrappers/ace/Timer_Wheel_T.h, //92
ACE_Message_Queue, //84, //2, //961, //dep/ACE_wrappers/ace/Message_Queue_T.h, //65
ACE_Task, //49, //4, //188, //dep/ACE_wrappers/ace/Task_T.h, //42
G3D::Array, //133, //18, //573, //dep/include/g3dlite/G3D/Array.h, //87
G3D::Table, //23, //10, //321, //dep/include/g3dlite/G3D/Table.h, //112
ACE_Array_Iterator, //5, //2, //58, //dep/ACE_wrappers/ace/Array_Base.h, //207
ACE_Unbounded_Set_Ex, //37, //1, //243, //dep/ACE_wrappers/ace/Unbounded_Set_Ex.h, //195
ACE_Unbounded_Set_Ex_Const_Iterator, //25, //2, //95, //dep/ACE_wrappers/ace/Unbounded_Set_Ex.h, //102
ACE_Unbounded_Set_Ex_Iterator, //25, //2, //94, //dep/ACE_wrappers/ace/Unbounded_Set_Ex.h, //43
Grid, //5, //3, //47, //src/framework/GameSystem/Grid.h, //50
GridLoader, //5, //1, //25, //src/framework/GameSystem/GridLoader.h, //45
Trinity::ObjectLifeTime, //25, //1, //14, //src/framework/Policies/ObjectLifeTime.h, //34
Trinity::OperatorNew, //31, //7, //6, //src/framework/Policies/CreationPolicy.h, //33
