class template, instantiations, multiple overload instantiations, loc, definition file path, line
ACE_Refcounted_Auto_Ptr, //6, //1, //120, //dep/ACE_wrappers/ace/Refcounted_Auto_Ptr.h, //47
Reference, //33, //5, //45, //src/framework/Utilities/LinkedReference/Reference.h, //28
ACE_Lock_Adapter, //12, //1, //87, //dep/ACE_wrappers/ace/Lock_Adapter_T.h, //39
ACE_Select_Reactor_T, //71, //2, //1488, //dep/ACE_wrappers/ace/Select_Reactor_T.h, //55
ACE_Guard, //126, //5, //96, //dep/ACE_wrappers/ace/Guard_T.h, //42
ACE_Async_Timer_Queue_Adapter, //7, //0, //103, //dep/ACE_wrappers/ace/Timer_Queue_Adapters.h, //53
ACE_Thread_Timer_Queue_Adapter, //8, //0, //179, //dep/ACE_wrappers/ace/Timer_Queue_Adapters.h, //123
ACE_Auto_Basic_Ptr, //4, //1, //74, //dep/ACE_wrappers/ace/Auto_Ptr.h, //45
ACE_Auto_Ptr, //4, //4, //13, //dep/ACE_wrappers/ace/Auto_Ptr.h, //114
ACE_Svc_Handler, //28, //1, //302, //dep/ACE_wrappers/ace/Svc_Handler.h, //57
ACE_Unbounded_Queue, //35, //8, //251, //dep/ACE_wrappers/ace/Unbounded_Queue.h, //150
Trinity::Singleton, //5515, //5, //54, //src/framework/Policies/Singleton.h, //41
ACE_Equal_To, //43, //6, //53, //dep/ACE_wrappers/ace/Functor_T.h, //118
ACE_Hash, //43, //6, //75, //dep/ACE_wrappers/ace/Functor_T.h, //91
ACE_Less_Than, //0, //0, //28, //dep/ACE_wrappers/ace/Functor_T.h, //134
ACE_Pointer_Hash, //0, //0, //17, //dep/ACE_wrappers/ace/Functor_T.h, //104
HashMapHolder, //83, //7, //24, //src/game/ObjectAccessor.h, //49
DBCStorage, //178, //81, //53, //src/shared/Database/DBCStore.h, //25
ACE_Atomic_Op, //12, //4, //170, //dep/ACE_wrappers/ace/Atomic_Op_T.h, //262
ACE_Atomic_Op_Ex, //10, //1, //190, //dep/ACE_wrappers/ace/Atomic_Op_T.h, //151
ACE_Free_List, //14, //2, //13, //dep/ACE_wrappers/ace/Free_List.h, //37
ACE_Locked_Free_List, //14, //5, //126, //dep/ACE_wrappers/ace/Free_List.h, //69
ACE_Timer_Node_Dispatch_Info_T, //14, //2, //7, //dep/ACE_wrappers/ace/Timer_Queue_T.h, //37
ACE_Timer_Node_T, //173, //2, //179, //dep/ACE_wrappers/ace/Timer_Queue_T.h, //56
ACE_Timer_Queue_Iterator_T, //14, //4, //18, //dep/ACE_wrappers/ace/Timer_Queue_T.h, //174
ACE_Timer_Queue_T, //29, //3, //327, //dep/ACE_wrappers/ace/Timer_Queue_T.h, //207
ACE_Timer_Hash_Iterator_T, //9, //3, //71, //dep/ACE_wrappers/ace/Timer_Hash_T.h, //122
ACE_Timer_Hash_T, //26, //3, //471, //dep/ACE_wrappers/ace/Timer_Hash_T.h, //162
ACE_Timer_Hash_Upcall, //16, //2, //131, //dep/ACE_wrappers/ace/Timer_Hash_T.h, //42
Hash_Token, //25, //1, //30, //dep/ACE_wrappers/ace/Timer_Hash_T.cpp, //23
LinkedListHead::Iterator, //6, //6, //87, //src/framework/Utilities/LinkedList.h, //136
NGrid, //3, //2, //84, //src/framework/GameSystem/NGrid.h, //73
ACE_Write_Guard, //16, //0, //54, //dep/ACE_wrappers/ace/Guard_T.h, //119
ACE_Hash_Map_Const_Iterator_Base_Ex, //8, //1, //165, //dep/ACE_wrappers/ace/Hash_Map_Manager_T.h, //688
ACE_Hash_Map_Entry, //83, //7, //87, //dep/ACE_wrappers/ace/Hash_Map_Manager_T.h, //36
ACE_Hash_Map_Iterator_Base_Ex, //8, //1, //215, //dep/ACE_wrappers/ace/Hash_Map_Manager_T.h, //589
ACE_Hash_Map_Manager_Ex, //52, //5, //806, //dep/ACE_wrappers/ace/Hash_Map_Manager_T.h, //123
ACE_Refcountable_T, //3, //1, //39, //dep/ACE_wrappers/ace/Refcountable_T.h, //29
ACE_String_Base, //117, //3, //555, //dep/ACE_wrappers/ace/String_Base.h, //58
ConfusedMovementGenerator, //7, //1, //128, //src/game/ConfusedMovementGenerator.h, //31
ACE_Locked_Data_Block, //3, //1, //18, //dep/ACE_wrappers/ace/Message_Block_T.h, //38
ACE_Timer_Wheel_Iterator_T, //10, //2, //77, //dep/ACE_wrappers/ace/Timer_Wheel_T.h, //39
ACE_Timer_Wheel_T, //32, //2, //592, //dep/ACE_wrappers/ace/Timer_Wheel_T.h, //92
ACE_Module, //72, //2, //251, //dep/ACE_wrappers/ace/Module.h, //78
ACE_Stream, //28, //2, //502, //dep/ACE_wrappers/ace/Stream.h, //49
ACE_Stream_Iterator, //2, //1, //36, //dep/ACE_wrappers/ace/Stream.h, //201
ACE_Task, //49, //4, //188, //dep/ACE_wrappers/ace/Task_T.h, //42
ARHCLE, //3, //0, //18, //dep/ACE_wrappers/ace/Cleanup_Strategies_T.h, //66
AHCMM, //10, //0, //235, //dep/ACE_wrappers/ace/Hash_Cache_Map_Manager_T.h, //65
ACE_Pair, //25, //4, //66, //dep/ACE_wrappers/ace/Pair_T.h, //34
ACE_Cached_Connect_Strategy, //31, //1, //643, //dep/ACE_wrappers/ace/Strategies_T.h, //829
ACE_Concurrency_Strategy, //41, //1, //52, //dep/ACE_wrappers/ace/Strategies_T.h, //251
ACE_Creation_Strategy, //31, //1, //58, //dep/ACE_wrappers/ace/Strategies_T.h, //84
ACE_Recycling_Strategy, //15, //1, //29, //dep/ACE_wrappers/ace/Strategies_T.h, //49
ARHR, //16, //0, //61, //dep/ACE_wrappers/ace/Strategies_T.h, //788
ABCCS, //3, //0, //137, //dep/ACE_wrappers/ace/Cached_Connect_Strategy_T.h, //204
ACCSE, //17, //0, //432, //dep/ACE_wrappers/ace/Cached_Connect_Strategy_T.h, //48
ACE_Accept_Strategy, //13, //1, //100, //dep/ACE_wrappers/ace/Strategies_T.h, //498
ACE_Connect_Strategy, //15, //1, //95, //dep/ACE_wrappers/ace/Strategies_T.h, //565
ACE_DLL_Strategy, //3, //0, //111, //dep/ACE_wrappers/ace/Strategies_T.h, //181
ACE_Process_Strategy, //4, //0, //89, //dep/ACE_wrappers/ace/Strategies_T.h, //426
ACE_Reactive_Strategy, //4, //0, //91, //dep/ACE_wrappers/ace/Strategies_T.h, //299
ACE_Schedule_All_Reactive_Strategy, //3, //0, //43, //dep/ACE_wrappers/ace/Strategies_T.h, //670
ACE_Schedule_All_Threaded_Strategy, //3, //0, //43, //dep/ACE_wrappers/ace/Strategies_T.h, //709
ACE_Scheduling_Strategy, //14, //1, //43, //dep/ACE_wrappers/ace/Strategies_T.h, //631
ACE_Singleton_Strategy, //4, //0, //70, //dep/ACE_wrappers/ace/Strategies_T.h, //141
