class template, instantiations, multiple overload instantiations, loc, definition file path, line
TemplateVector, //29, //2, //97, //src/libs/libnewton/include/dMath/dVector.h, //20
dHierarchy, //17, //1, //106, //src/libs/libnewton/include/dContainers/dBaseHierarchy.h, //68
rcScopedDelete, //29, //7, //10, //src/libs/recast/RecastAlloc.h, //105
dTree, //46, //1, //540, //src/libs/libnewton/include/dContainers/dTree.h, //80
ModelComponent, //5, //4, //6, //src/libs/libnewton/include/dAnimation/dModel.h, //39
ModelComponentList, //23, //3, //3, //src/libs/libnewton/include/dAnimation/dModel.h, //47
dList, //73, //3, //374, //src/libs/libnewton/include/dContainers/dList.h, //20
dtFixedArray, //12, //6, //14, //src/libs/detour/DetourTileCacheBuilder.cpp, //29

function template, instantiations, multiple overload instantiations, loc, definition file path, line
dtMax, //14, //5, //1, //src/libs/detour/DetourCommon.h, //50
dtMin, //14, //6, //1, //src/libs/detour/DetourCommon.h, //44
dtSqr, //19, //4, //1, //src/libs/detour/DetourCommon.h, //60
dtAbs, //4, //2, //1, //src/libs/detour/DetourCommon.h, //55
dtClamp, //16, //1, //1, //src/libs/detour/DetourCommon.h, //67
dtSwap, //11, //3, //1, //src/libs/detour/DetourCommon.h, //38
SwapArray, //9, //8, //10, //src/engine/botlib/nav.h, //52
rcMax, //30, //8, //1, //src/libs/recast/Recast.h, //567
GLShaderManager::load, //26, //1, //7, //src/engine/rendererGL/gl_shader.h, //220
rcMin, //47, //8, //1, //src/libs/recast/Recast.h, //561
ClipCopy, //0, //0, //38, //src/libs/libsdl/src/video/symbian/EKA2/dsa_new.cpp, //50
rcAbs, //11, //4, //1, //src/libs/recast/Recast.h, //572
rcClamp, //10, //3, //1, //src/libs/recast/Recast.h, //584
ClipCopy, //0, //0, //38, //src/libs/libsdl/src/video/symbian/EKA2/dsa.cpp, //392
rcSqr, //7, //2, //1, //src/libs/recast/Recast.h, //577
rcSwap, //12, //4, //1, //src/libs/recast/Recast.h, //555

