class template, instantiations, multiple overload instantiations, loc, definition file path, line

function template, instantiations, multiple overload instantiations, loc, definition file path, line
lex_cast_qstring, //1, //1, //18, //staptree.cxx, //22
resolve_2types, //4, //1, //33, //elaborate.cxx, //2124
lex_cast, //18, //4, //9, //tapsets.cxx, //55
stringify, //3, //2, //7, //buildrun.cxx, //54
lex_cast, //1, //1, //9, //staptree.cxx, //42
provide, //36, //1, //6, //staptree.h, //856
require, //46, //6, //12, //staptree.h, //817
lex_cast_qstring, //1, //1, //18, //buildrun.cxx, //33
lex_cast_hex, //0, //0, //9, //tapsets.cxx, //65
stringify, //1, //1, //7, //main.cxx, //108
stringify, //15, //4, //7, //translate.cxx, //28
lex_cast_qstring, //18, //2, //18, //translate.cxx, //37
lex_cast_qstring, //10, //3, //18, //tapsets.cxx, //77
lex_cast, //3, //1, //9, //elaborate.cxx, //34

