class template, instantiations, multiple overload instantiations, loc, definition file path, line
save_and_restore, //2, //1, //9, //util.h, //212
auto_free_ref, //0, //0, //17, //auto_free.h, //39
generic_dpg, //0, //0, //8, //tapsets.h, //41
__sdt_type, //0, //0, //4, //includes/sys/sdt.h, //76
__sdt_type, //0, //0, //2, //includes/sys/sdt.h, //119
__sdt_type, //0, //0, //2, //includes/sys/sdt.h, //122
__gnu_cxx::hash, //0, //0, //4, //unordered.h, //42

function template, instantiations, multiple overload instantiations, loc, definition file path, line
lex_cast, //104, //16, //7, //util.h, //86
lex_cast, //23, //4, //8, //util.h, //96
lex_cast_qstring, //24, //6, //8, //util.h, //159
hex_dump, //1, //1, //16, //util.h, //138
delete_map, //3, //2, //6, //util.h, //201
lex_cast_hex, //0, //0, //8, //util.h, //127
deep_copy_visitor::deep_copy, //5, //1, //5, //staptree.h, //1019
update_visitor::provide, //137, //1, //4, //staptree.h, //954
update_visitor::replace, //97, //1, //4, //staptree.h, //959
update_visitor::require, //11, //1, //13, //staptree.h, //940
eval_comparison, //5, //2, //17, //parse.cxx, //296
resolve_2types, //4, //1, //33, //elaborate.cxx, //4198

