class template, instantiations, multiple overload instantiations, loc, definition file path, line
auto_free_ref, //0, //0, //17, //auto_free.h, //39
generic_dpg, //0, //0, //8, //tapsets.h, //36
stap_map, //1, //1, //5, //dwflpp.h, //58

function template, instantiations, multiple overload instantiations, loc, definition file path, line
lex_cast, //33, //8, //8, //util.h, //35
lex_cast_qstring, //38, //9, //30, //util.h, //63
eval_comparison, //2, //2, //17, //parse.cxx, //163
update_visitor::provide, //87, //1, //4, //staptree.h, //846
update_visitor::require, //74, //1, //13, //staptree.h, //832
stringify, //22, //6, //7, //util.h, //26
deep_copy_visitor::deep_copy, //7, //1, //5, //staptree.h, //902
dwarf_assert, //1, //1, //5, //dwarf_wrappers.h, //42
dwfl_assert, //0, //0, //5, //dwarf_wrappers.h, //20
dwfl_assert, //0, //0, //5, //dwarf_wrappers.h, //28
resolve_2types, //4, //1, //33, //elaborate.cxx, //3357
lex_cast_hex, //0, //0, //9, //util.h, //48

