total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
15, 753, 59, 2492

STL type, instantiations
std::binary_function, 1
std::deque, 17
std::vector, 588
std::iterator, 1
std::multimap, 9
std::tr1::hash, 1
std::tr1::alignment_of, 1
std::bitset, 7
std::basic_string, 1
std::allocator, 1
std::tr1::aligned_storage, 1
std::tr1::unordered_map, 10
std::map, 103
std::char_traits, 1
std::set, 11

STL function, function calls
std::tr1::__detail::operator!=, 59
std::vector::assign, 2
std::remove_if, 1
std::remove, 1
std::pair::pair, 2
std::tr1::__detail::operator==, 10
std::swap, 1
std::operator<, 1
std::operator<<, 333
std::transform, 10
std::operator==, 250
std::make_pair, 36
std::operator>=, 1
std::reverse, 1
std::operator!=, 161
std::set_difference, 1
std::sort, 4
std::find, 11
std::map::insert, 6
std::distance, 2
std::operator+, 1549
std::upper_bound, 4
std::operator>, 1
std::multimap::insert, 7
std::vector::vector, 5
std::basic_string::append, 3
std::min, 3
std::basic_string::assign, 4
std::getline, 3
std::for_each, 1
std::count, 1
std::lower_bound, 12
std::equal_range, 4
std::vector::insert, 2

