total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
7, 100, 23, 4875

STL type, instantiations
std::binary_function, 16
std::vector, 52
std::tr1::unordered_map, 1
std::queue, 1
std::map, 3
std::pair, 19
std::set, 8

STL function, function calls
std::basic_string::basic_string, 1
std::sort, 10
std::return_temporary_buffer, 4
std::operator+, 23
std::get_temporary_buffer, 2
std::vector::vector, 2
std::swap, 1
std::operator<<, 4683
std::random_shuffle, 14
std::min, 73
std::operator==, 11
std::getline, 1
std::make_pair, 6
std::max, 41
std::stable_sort, 1
std::operator!=, 2

