total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
5, 473, 32, 288

STL type, instantiations
std::deque, 3
std::vector, 413
std::queue, 2
std::map, 29
std::set, 26

STL function, function calls
std::basic_string::basic_string, 1
std::sort, 5
std::map::insert, 7
std::upper_bound, 1
std::operator+, 127
std::basic_string::append, 5
std::swap, 2
std::nth_element, 1
std::operator<, 3
std::operator<<, 12
std::min, 8
std::transform, 3
std::operator==, 66
std::make_pair, 14
std::operator>=, 2
std::max, 3
std::operator<=, 1
std::vector::insert, 1
std::operator!=, 26

