total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
38, 722, 104, 1459

STL type, instantiations
std::numeric_limits, 17
std::deque, 3
std::atomic, 2
std::list, 5
std::uniform_int_distribution, 1
std::queue, 11
std::decay, 5
std::enable_if, 6
std::integral_constant, 1
std::shared_ptr, 54
std::multimap, 3
std::basic_string, 8
std::map, 58
std::aligned_storage, 1
std::pair, 48
std::reverse_iterator, 2
std::vector, 246
std::initializer_list, 8
std::hash, 3
std::iterator, 1
std::function, 9
std::tuple_size, 4
std::is_floating_point, 1
std::unordered_map, 37
std::unique_lock, 2
std::unordered_set, 11
std::lock_guard, 5
std::is_integral, 1
std::stack, 10
std::result_of, 9
std::tuple, 6
std::is_pod, 4
std::alignment_of, 1
std::array, 75
std::is_array, 1
std::unique_ptr, 43
std::set, 17
std::char_traits, 3

STL function, function calls
std::uniform_int_distribution::operator(), 2
std::declval, 2
std::get, 53
std::equal, 1
std::basic_string::basic_string, 2
std::addressof, 4
std::forward_as_tuple, 2
std::tie, 3
std::chrono::operator<, 1
std::thread::thread, 3
std::pair::pair, 3
std::this_thread::sleep_for, 1
std::search, 2
std::swap, 14
std::operator<<, 26
std::chrono::duration_cast, 5
std::copy, 1
std::chrono::operator>=, 1
std::transform, 2
std::operator==, 78
std::make_pair, 11
std::find_end, 2
std::move, 439
std::shared_ptr::shared_ptr, 2
std::fill, 1
std::operator!=, 10
std::set_difference, 1
std::mismatch, 2
std::chrono::duration::duration, 6
std::__detail::operator!=, 60
std::forward, 298
std::tuple_cat, 1
std::__detail::operator==, 23
std::sort, 11
std::find, 13
std::tuple::operator=, 3
std::unique, 1
std::map::insert, 10
std::upper_bound, 4
std::operator+, 76
std::copy_n, 4
std::function::operator=, 8
std::unordered_map::emplace, 2
std::make_shared, 9
std::operator*, 8
std::condition_variable::wait_for, 1
std::chrono::operator-, 6
std::min, 101
std::basic_string::assign, 3
std::for_each, 2
std::vector::emplace_back, 8
std::stable_sort, 3
std::max, 113
std::lower_bound, 4
std::vector::insert, 4
std::back_inserter, 3

