total STL types, total instantiations of STL types, total STL functions, total instantiations of STL functions
21, 355, 46, 270

STL type, instantiations
std::numeric_limits, 1
std::hash, 15
std::vector, 93
std::function, 37
std::unique_lock, 16
std::enable_shared_from_this, 2
std::unordered_map, 18
std::weak_ptr, 5
std::queue, 5
std::unordered_set, 8
std::lock_guard, 3
std::underlying_type, 3
std::stack, 1
std::shared_ptr, 104
std::tuple, 3
std::bitset, 1
std::array, 1
std::map, 4
std::pair, 1
std::unique_ptr, 33
std::set, 1

STL function, function calls
std::hypot, 12
std::get, 2
std::forward, 8
std::__detail::operator!=, 14
std::__detail::operator==, 5
std::end, 26
std::map::insert, 1
std::thread::thread, 2
std::operator+, 12
std::remove_if, 4
std::begin, 12
std::pow, 1
std::function::operator=, 9
std::make_shared, 20
std::swap, 4
std::operator<<, 73
std::min, 11
std::make_tuple, 1
std::operator==, 3
std::for_each, 1
std::vector::emplace_back, 5
std::move, 26
std::max, 12
std::weak_ptr::operator=, 2
std::operator!=, 3
std::find_if, 1

