class implementing CRTP, uses, developer, email, edit time, definition file path, line

virtual function, calls, developer, email, edit time, definition file path, line
AmbientOcclusionPlugin::filterInfo, //0, //cpp, //, //, //meshlab/src/meshlabplugins/filter_ao/filter_ao.cpp, //92
AmbientOcclusionPlugin::filterName, //0, //cpp, //, //, //meshlab/src/meshlabplugins/filter_ao/filter_ao.cpp, //81
AmbientOcclusionPlugin::pluginInfo, //0, //cpp, //, //, //meshlab/src/meshlabplugins/filter_ao/filter_ao.cpp, //103
GLLogStream::Logf, //0, //cpp, //, //, //meshlab/src/meshlab/GLLogStream.cpp, //73
EditMeasurePlugin::EndEdit, //0, //h, //, //, //meshlab/src/meshlabplugins/editmeasure/editmeasure.h, //47
EditMeasurePlugin::Info, //0, //cpp, //, //, //meshlab/src/meshlabplugins/editmeasure/editmeasure.cpp, //61
EditMeasurePlugin::mousePressEvent, //0, //h, //, //, //meshlab/src/meshlabplugins/editmeasure/editmeasure.h, //49
SampleEditPlugin::EndEdit, //0, //h, //, //, //meshlab/src/sampleplugins/sampleedit/sampleedit.h, //47
SampleEditPlugin::Info, //0, //cpp, //, //, //meshlab/src/sampleplugins/sampleedit/sampleedit.cpp, //58
SampleEditPlugin::mouseMoveEvent, //0, //h, //, //, //meshlab/src/sampleplugins/sampleedit/sampleedit.h, //50
SampleEditPlugin::mousePressEvent, //0, //h, //, //, //meshlab/src/sampleplugins/sampleedit/sampleedit.h, //49
CoredVectorMeshData::addOutOfCorePoint, //0, //cpp, //, //, //meshlab/src/meshlabplugins/filter_poisson/src/Geometry.cpp, //43
CoredVectorMeshData::addTriangle, //0, //cpp, //, //, //meshlab/src/meshlabplugins/filter_poisson/src/Geometry.cpp, //47
CoredVectorMeshData::nextOutOfCorePoint, //0, //cpp, //, //, //meshlab/src/meshlabplugins/filter_poisson/src/Geometry.cpp, //58
CoredVectorMeshData::nextTriangle, //0, //cpp, //, //, //meshlab/src/meshlabplugins/filter_poisson/src/Geometry.cpp, //65
CoredVectorMeshData::outOfCorePointCount, //0, //cpp, //, //, //meshlab/src/meshlabplugins/filter_poisson/src/Geometry.cpp, //79
CoredVectorMeshData::resetIterator, //0, //cpp, //, //, //meshlab/src/meshlabplugins/filter_poisson/src/Geometry.cpp, //42
CoredVectorMeshData::triangleCount, //0, //cpp, //, //, //meshlab/src/meshlabplugins/filter_poisson/src/Geometry.cpp, //80
ExtraMeshColorizePlugin::filterInfo, //0, //cpp, //, //, //meshlab/src/meshlabplugins/meshcolorize/meshcolorize.cpp, //210
ExtraMeshColorizePlugin::filterName, //0, //cpp, //, //, //meshlab/src/meshlabplugins/meshcolorize/meshcolorize.cpp, //190
ExtraMeshColorizePlugin::pluginInfo, //0, //cpp, //, //, //meshlab/src/meshlabplugins/meshcolorize/meshcolorize.cpp, //231
RmMeshShaderRenderPlugin::Info, //0, //cpp, //, //, //meshlab/src/meshlabplugins/render_rm/rmmeshrender.cpp, //51
ExtraMeshFilterPlugin::filterInfo, //0, //cpp, //, //, //meshlab/src/meshlabplugins/meshfilter/meshfilter.cpp, //186
ExtraMeshFilterPlugin::filterName, //0, //cpp, //, //, //meshlab/src/meshlabplugins/meshfilter/meshfilter.cpp, //146
ExtraMeshFilterPlugin::pluginInfo, //0, //cpp, //, //, //meshlab/src/meshlabplugins/meshfilter/meshfilter.cpp, //216
EditSegment::Info, //0, //cpp, //, //, //meshlab/src/meshlabplugins/editsegment/editsegment.cpp, //258
ExtraMeshEditPlugin::EndEdit, //0, //h, //, //, //meshlab/src/meshlabplugins/meshedit/meshedit.h, //48
ExtraMeshEditPlugin::Info, //0, //cpp, //, //, //meshlab/src/meshlabplugins/meshedit/meshedit.cpp, //96
ExtraMeshSlidePlugin::Info, //0, //cpp, //, //, //meshlab/src/meshlabplugins/editslice/editslice.cpp, //76
ExtraMeshColorizePlugin::customDialog, //0, //h, //, //, //meshlab/src/meshlabplugins/meshcolorize/meshcolorize.h, //118
EditAlignPlugin::EndEdit, //0, //h, //, //, //meshlab/src/meshlabplugins/editalign/editalign.h, //63
EditAlignPlugin::Info, //0, //cpp, //, //, //meshlab/src/meshlabplugins/editalign/editalign.cpp, //66
EpochIO::GetExportMaskCapability, //0, //h, //, //, //meshlab/src/meshlabplugins/epoch_io/epoch_io.h, //68
EpochIO::Info, //0, //cpp, //, //, //meshlab/src/meshlabplugins/epoch_io/epoch_io.cpp, //754
