function template, instantiations, multiple overload instantiations, developer, email, edit time, definition file path, line
ui::priv::unwind, //0, //0, //cpp, //, //, //meshlab/src/meshlabplugins/io_epoch/maskRenderWidget.cpp, //54
FilterFeatureAlignment::ComputeFeatureOperation, //0, //0, //cpp, //, //, //meshlab/src/meshlabplugins/filter_feature_alignment/filter_feature_alignment.cpp, //514
FilterFeatureAlignment::ConsensusOperation, //0, //0, //cpp, //, //, //meshlab/src/meshlabplugins/filter_feature_alignment/filter_feature_alignment.cpp, //642
FilterFeatureAlignment::ExtractionOperation, //0, //0, //cpp, //, //, //meshlab/src/meshlabplugins/filter_feature_alignment/filter_feature_alignment.cpp, //527
FilterFeatureAlignment::MatchingOperation, //0, //0, //cpp, //, //, //meshlab/src/meshlabplugins/filter_feature_alignment/filter_feature_alignment.cpp, //550
FilterFeatureAlignment::RansacDiagramOperation, //0, //0, //cpp, //, //, //meshlab/src/meshlabplugins/filter_feature_alignment/filter_feature_alignment.cpp, //691
FilterFeatureAlignment::RansacOperation, //0, //0, //cpp, //, //, //meshlab/src/meshlabplugins/filter_feature_alignment/filter_feature_alignment.cpp, //664
FilterFeatureAlignment::RigidTransformationOperation, //0, //0, //cpp, //, //, //meshlab/src/meshlabplugins/filter_feature_alignment/filter_feature_alignment.cpp, //589
FilterFeatureAlignment::logResult, //0, //0, //cpp, //, //, //meshlab/src/meshlabplugins/filter_feature_alignment/filter_feature_alignment.cpp, //252
FilterFeatureAlignment::setAlignmentParameters, //0, //0, //cpp, //, //, //meshlab/src/meshlabplugins/filter_feature_alignment/filter_feature_alignment.cpp, //233
SmartOptimizeStar, //5, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/local_optimization.h, //278
EstimateLenghtByParam, //4, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/local_parametrization.h, //254
GetBaryFaceFromUV, //9, //5, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/local_parametrization.h, //1161
GetBaryFaceFromUV, //9, //5, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/local_parametrization.h, //1105
GetBaryFaceFromUV, //9, //5, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/local_parametrization.h, //1057
GetUV, //10, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/local_parametrization.h, //1039
ParametrizeDiamondEquilateral, //2, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/local_parametrization.h, //938
testBaryCoords, //3, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/local_parametrization.h, //696
CopySubMeshLevels, //1, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/mesh_operators.h, //288
UpdateTopologies, //19, //7, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/mesh_operators.h, //26
getHresVertex, //7, //2, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/mesh_operators.h, //273
rgbt::isMatch, //11, //1, //h, //, //, //meshlab/src/meshlabplugins/editrgbtri/rgbPrimitives.h, //303
Area, //7, //2, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/mesh_operators.h, //95
Area, //7, //2, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/mesh_operators.h, //76
AreaUV, //1, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/mesh_operators.h, //64
ApproxAngleDistortion, //4, //2, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/statistics.h, //226
ApproxAreaDistortion, //4, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/statistics.h, //194
ApproxL2Error, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/statistics.h, //272
geomAverage, //6, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/statistics.h, //7
testParametrization, //1, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/local_parametrization.h, //710
UpdateStructures, //5, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/mesh_operators.h, //13
NumRegular, //1, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/stat_remeshing.h, //319
IsoParametrizator::InitBaseMesh, //1, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/parametrizator.h, //282
IsoParametrizator::InitializeStructures, //1, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/parametrizator.h, //67
IsoParametrizator::Parametrize, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/parametrizator.h, //550
IsoParametrizator::Preconditions, //1, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/parametrizator.h, //507
CopyMeshFromFaces, //7, //4, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/mesh_operators.h, //208
EdgeIndex, //1, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/mesh_operators.h, //556
FindSortedBorderVertices, //2, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/mesh_operators.h, //177
getSharedFace, //17, //10, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/mesh_operators.h, //381
