class template, instantiations, multiple overload instantiations, developer, email, edit time, definition file path, line
CraterFunctor, //1, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_fractal/filter_functors.h, //374
NoiseFunctor, //4, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_fractal/filter_functors.h, //163
RadialFunctor, //6, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_fractal/filter_functors.h, //25
CratersUtils, //3, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_fractal/craters_utils.h, //10
BinaryNode, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/filter_poisson/src/BinaryNode.h, //33
rgbt::RgbTriangle, //10, //3, //h, //, //, //meshlab/src/meshlabplugins/editrgbtri/rgbInfo.h, //298
rgbt::RgbVertex, //10, //3, //h, //, //, //meshlab/src/meshlabplugins/editrgbtri/rgbInfo.h, //820
IHeap, //4, //3, //h, //, //, //meshlab/src/meshlabplugins/edit_ocme/src/cache/iheap.h, //25
Texture2D, //11, //4, //h, //, //, //meshlab/src/meshlabplugins/render_radiance_scaling/texture2D.h, //33
TextureFilter, //10, //3, //h, //, //, //meshlab/src/meshlabplugins/edit_phototexturing/src/TextureFilter.h, //36
MinMaxHeap, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/edit_ocme/src/cache/old/mmheap.h, //24
VertexSampler, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/local_parametrization.h, //501
PatchesOptimizer, //4, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/opt_patch.h, //8
BaryOptimizatorDual, //2, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/dual_coord_optimization.h, //6
Cache, //2, //1, //h, //, //, //meshlab/src/meshlabplugins/edit_ocme/src/cache/cache.h, //106
Provider, //4, //1, //h, //, //, //meshlab/src/meshlabplugins/edit_ocme/src/cache/cache.h, //83
Controller, //3, //3, //h, //, //, //meshlab/src/meshlabplugins/edit_ocme/src/cache/controller.h, //7
Particle, //3, //1, //h, //, //, //meshlab/src/fgt/filter_dirt/particle.h, //35
ScalarImage, //4, //3, //h, //, //, //meshlab/src/meshlabplugins/io_epoch/scalar_image.h, //33
PlanarRegion, //19, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_vsa/planar_region.h, //24
RegionGrower, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/filter_vsa/region_growing.h, //12
SimpleMeshProvider, //1, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_plymc/simplemeshprovider.h, //85
HoleSetManager, //14, //2, //h, //, //, //meshlab/src/fgt/edit_hole/holeSetManager.h, //41
FgtHole, //13, //2, //h, //, //, //meshlab/src/fgt/edit_hole/fgtHole.h, //65
vs::SimpleRenderer, //1, //1, //h, //, //, //meshlab/src/fgt/edit_virtual_scan/vs/simple_renderer.h, //19
DoubleHeap, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/edit_ocme/src/cache/old/double_heap.h, //26
vs::PovsGenerator, //0, //0, //h, //, //, //meshlab/src/fgt/edit_virtual_scan/vs/povs_generator.h, //16
Surfel, //3, //2, //hpp, //, //, //meshlab/src/meshlabplugins/render_splatpyramid/surfel.hpp, //43
ParamEdgeFlip, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/param_flip.h, //8
ConstDataWrapper, //4, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_mls/mlsutils.h, //28
GaelMls::BallTree, //7, //2, //h, //, //, //meshlab/src/meshlabplugins/filter_mls/balltree.h, //55
GaelMls::Neighborhood, //5, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_mls/balltree.h, //34
rgbt::EdgeFI, //5, //1, //h, //, //, //meshlab/src/meshlabplugins/editrgbtri/topologicalOp.h, //44
ParamEdgeCollapse, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/param_collapse.h, //24
KdTree, //6, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_mls/kdtree.h, //34
PPolynomial, //16, //5, //h, //, //, //meshlab/src/meshlabplugins/filter_poisson/src/PPolynomial.h, //49
StartingPolynomial, //4, //3, //h, //, //, //meshlab/src/meshlabplugins/filter_poisson/src/PPolynomial.h, //35
Polynomial, //8, //5, //h, //, //, //meshlab/src/meshlabplugins/filter_poisson/src/Polynomial.h, //35
MeshCache, //1, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_plymc/simplemeshprovider.h, //14
FeatureAlignment, //18, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_feature_alignment/feature_alignment.h, //81
FeatureRGB, //15, //2, //h, //, //, //meshlab/src/meshlabplugins/filter_feature_alignment/feature_rgb.h, //11
FunctionData, //1, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_poisson/src/FunctionData.h, //36
NVector, //2, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_poisson/src/Vector.h, //88
Vector, //24, //2, //h, //, //, //meshlab/src/meshlabplugins/filter_poisson/src/Vector.h, //36
Allocator, //3, //3, //h, //, //, //meshlab/src/meshlabplugins/filter_poisson/src/Allocator.h, //46
OctNode, //4, //3, //h, //, //, //meshlab/src/meshlabplugins/filter_poisson/src/Octree.h, //39
Volume, //9, //2, //h, //, //, //meshlab/src/meshlabplugins/filter_plymc/volume.h, //64
VolumeIterator, //7, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_plymc/volume.h, //1264
SparseMatrix, //13, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_poisson/src/SparseMatrix.h, //52
SparseNMatrix, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/filter_poisson/src/SparseMatrix.h, //103
SparseSymmetricMatrix, //4, //2, //h, //, //, //meshlab/src/meshlabplugins/filter_poisson/src/SparseMatrix.h, //139
Extrude, //0, //0, //h, //, //, //meshlab/src/fgt/filter_shape/extrude.h, //2
FractalUtils, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/filter_fractal/fractal_utils.h, //17
IntervalPtrHeap, //3, //2, //h, //, //, //meshlab/src/meshlabplugins/edit_ocme/src/cache/iheap.h, //212
Octree, //5, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_poisson/src/MultiGridOctreeData.h, //85
Triangulation, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/filter_poisson/src/Geometry.h, //135
Token, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/edit_ocme/src/cache/cache.h, //24
GaelMls::RIMLS, //1, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_mls/rimls.h, //32
GaelMls::APSS, //4, //2, //h, //, //, //meshlab/src/meshlabplugins/filter_mls/apss.h, //32
GaelMls::MlsSurface, //6, //2, //h, //, //, //meshlab/src/meshlabplugins/filter_mls/mlssurface.h, //46
Voxel, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/filter_plymc/voxel.h, //22
ExponentialBlending, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/filter_fractal/filter_functors.h, //91
F3Blending, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/filter_fractal/filter_functors.h, //79
FBMNoiseFunctor, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/filter_fractal/filter_functors.h, //227
GaussianBlending, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/filter_fractal/filter_functors.h, //57
HeteroMFNoiseFunctor, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/filter_fractal/filter_functors.h, //272
HybridMFNoiseFunctor, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/filter_fractal/filter_functors.h, //302
LinearBlending, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/filter_fractal/filter_functors.h, //111
MultiquadricBlending, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/filter_fractal/filter_functors.h, //68
Normalized3DFunctor, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/filter_fractal/filter_functors.h, //15
RidgedMFNoiseFunctor, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/filter_fractal/filter_functors.h, //336
StandardMFNoiseFunctor, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/filter_fractal/filter_functors.h, //247
Controller, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/edit_ocme/src/cache/mapcontroller.h, //16
HeapMaxPriorityQueue, //3, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_mls/priorityqueue.h, //30
MinMaxHeap, //21, //1, //h, //, //, //meshlab/src/meshlabplugins/edit_ocme/src/cache/old/mmheap_orig.h, //23
rgbt::RgbEdge, //2, //2, //h, //, //, //meshlab/src/meshlabplugins/editrgbtri/rgbInfo.h, //800
MCTriEdgeCollapse, //1, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_plymc/tri_edge_collapse_mc.h, //14
rgbt::TopologicalOp, //0, //0, //h, //, //, //meshlab/src/meshlabplugins/editrgbtri/topologicalOp.h, //66
UVGrid, //1, //1, //h, //, //, //meshlab/src/meshlabplugins/filter_isoparametrization/uv_grid.h, //5
DustSampler, //0, //0, //h, //, //, //meshlab/src/fgt/filter_dirt/dustsampler.h, //35
APSSCurvatureFeature, //20, //2, //h, //, //, //meshlab/src/meshlabplugins/filter_feature_alignment/feature_msc.h, //520
SmoothCurvatureFeature, //19, //2, //h, //, //, //meshlab/src/meshlabplugins/filter_feature_alignment/feature_msc.h, //22
MinMaxHeap, //15, //1, //h, //, //, //meshlab/src/meshlabplugins/edit_ocme/src/cache/old/mmtreeheap.h, //23
